year,player,country,club,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1956,Stanley Matthews,England,Blackpool,53329487-83f5-480a-afce-659f09e14153,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1957,Alfredo Di Stéfano,Spain,Real Madrid,39cde27e-4312-421d-a51c-1baaf607bdd8,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1958,Raymond Kopa,France,Real Madrid,1c71b829-4ddd-46b4-8574-803943093845,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1959,Alfredo Di Stéfano,Spain,Real Madrid,e0e53746-0ddf-4fda-8f22-5b46d062480b,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1960,Luis Suárez,Spain,Barcelona,6bdbc149-05e5-4473-b071-90e3d95de966,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1961,Omar Sívori,Italy,Juventus,6d80d820-0b31-41a5-b3de-fba12f509af5,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1962,Josef Masopust,Czechoslovakia,Dukla Prague,c3017494-7f81-463e-958c-d1b5868cec96,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1963,Lev Yashin,Soviet Union,Dynamo Moscow,4f2e4066-7643-4086-a70a-7bb4cf7c4c64,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1964,Denis Law,Scotland,Manchester United,5c209f9f-90de-4c90-897c-51a6420b68d8,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1965,Eusébio,Portugal,Benfica,04196d5b-b406-4608-942e-d08cf843e262,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1966,Bobby Charlton,England,Manchester United,2476f2c5-81ee-401e-9572-352dd9430338,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1967,Flórián Albert,Hungary,Ferencváros,60ab3448-d6a4-47a0-b773-d89d3522a50f,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1968,George Best,Northern Ireland,Manchester United,224bab52-dfbf-43ec-a252-fc8960be778e,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1969,Gianni Rivera,Italy,AC Milan,921a9236-8498-473d-a94f-c506f2822831,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1970,Gerd Müller,West Germany,Bayern Munich,8a976b15-5c91-43f8-af8e-b5596d475f7a,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1971,Johan Cruyff,Netherlands,Ajax,c22d4727-ef98-4373-8ddf-2e97c7e6f61e,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1972,Franz Beckenbauer,West Germany,Bayern Munich,ca1eeb53-cda0-4b53-b219-92d2490d7636,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1973,Johan Cruyff,Netherlands,Barcelona,9836685a-25fb-4bfe-b2fa-a12d06fd82ba,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1974,Johan Cruyff,Netherlands,Barcelona,5bc47c96-0888-42f6-881a-d0b348c4b502,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1975,Oleg Blokhin,Soviet Union,Dynamo Kyiv,84f2bd87-ffe1-4f93-bdf0-930c54546cdd,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1976,Franz Beckenbauer,West Germany,Bayern Munich,c0941f7c-03ad-4b90-960d-f99fad3436c7,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1977,Allan Simonsen,Denmark,Borussia Mönchengladbach,9fadc78c-1c55-437c-bb2c-194c0ec00de5,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1978,Kevin Keegan,England,Hamburg,298512c5-6eb9-4ff1-b10e-e2d509694514,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1979,Kevin Keegan,England,Hamburg,fffc6b3b-7b7d-477d-aa54-e92165d1587f,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1980,Karl-Heinz Rummenigge,West Germany,Bayern Munich,515ef49f-4f05-4b85-8b89-821aedd4bf79,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1981,Karl-Heinz Rummenigge,West Germany,Bayern Munich,ffecbdac-4422-411f-9f27-ed45b7109590,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
