year,player,country,club,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1956,Stanley Matthews,England,Blackpool,a6a2e13e-c683-47e7-a03f-db0d47875b70,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1957,Alfredo Di Stéfano,Spain,Real Madrid,2fd51dd2-5f4e-4452-8d47-1dc392f57987,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1958,Raymond Kopa,France,Real Madrid,29c1d6af-9d61-4ce7-bf52-53ff6f549ae0,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1959,Alfredo Di Stéfano,Spain,Real Madrid,82f3c0d7-d663-4220-b1c7-77a6c5a68a00,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1960,Luis Suárez,Spain,Barcelona,5d1c7bc6-643f-4c79-9af1-3e6a6b14bc06,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1961,Omar Sívori,Italy,Juventus,6ec93874-b2bd-4099-a908-a22f5a00472a,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1962,Josef Masopust,Czechoslovakia,Dukla Prague,8d9dfeca-3672-47df-9cb9-c37f6cace754,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1963,Lev Yashin,Soviet Union,Dynamo Moscow,ea2d791e-36c1-42d3-83e6-417ce3ab5eca,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1964,Denis Law,Scotland,Manchester United,307c01f4-fdeb-4eda-811e-ac50d7638cb7,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1965,Eusébio,Portugal,Benfica,fa1000ea-c0ec-4869-846e-d5b67b620fca,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1966,Bobby Charlton,England,Manchester United,31781d6f-a968-463d-b368-0a0f961cb495,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1967,Flórián Albert,Hungary,Ferencváros,84b51907-e0a8-4887-bcf2-949f2536ea47,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1968,George Best,Northern Ireland,Manchester United,94b4daf4-36f2-498f-87ca-517134367d3c,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1969,Gianni Rivera,Italy,AC Milan,072258b7-7ccf-4ca0-91bd-52484a5433c9,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1970,Gerd Müller,West Germany,Bayern Munich,c06dcd4f-278f-4cf8-8817-8b8b8c193bd5,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1971,Johan Cruyff,Netherlands,Ajax,58fd5e98-9001-440b-a838-6b16ec1f9047,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1972,Franz Beckenbauer,West Germany,Bayern Munich,9accaef2-27ae-4b67-8355-68920026f262,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1973,Johan Cruyff,Netherlands,Barcelona,895160cf-ab20-4d2c-bf4e-6d130fa9d3a7,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1974,Johan Cruyff,Netherlands,Barcelona,a531f1fc-a4be-45c1-9026-ed55c3e68e68,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1975,Oleg Blokhin,Soviet Union,Dynamo Kyiv,01370694-814b-4f37-b014-282d46f65726,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1976,Franz Beckenbauer,West Germany,Bayern Munich,b27a45c4-1661-4663-b490-fd6b948b19cd,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1977,Allan Simonsen,Denmark,Borussia Mönchengladbach,6c78475b-5830-4684-a697-b9e06f4aa780,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1978,Kevin Keegan,England,Hamburg,2c2fede0-5529-43dc-9b3e-20f46dd3877f,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1979,Kevin Keegan,England,Hamburg,f3f01558-a6fb-4dc9-9b16-8b515dcb40df,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1980,Karl-Heinz Rummenigge,West Germany,Bayern Munich,bea5ba1d-9b42-467e-b746-037546e8e010,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1981,Karl-Heinz Rummenigge,West Germany,Bayern Munich,3b7270c2-f742-4bf3-9756-701ce7764188,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1982,Paolo Rossi,Italy,Juventus,0d855378-1f01-4c70-bd8b-b0e66b24266c,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1983,Michel Platini,France,Juventus,b0d12261-81bc-42ab-a9d1-18003d73a056,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1984,Michel Platini,France,Juventus,0b9810a0-aadb-4c4d-b9b2-32879e37830f,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1985,Michel Platini,France,Juventus,4eea8e66-4a7b-4976-bd64-637335737fd8,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1986,Igor Belanov,Soviet Union,Dynamo Kyiv,eb424286-832b-4604-a869-94fa49aa08a3,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1987,Ruud Gullit,Netherlands,AC Milan,0f39e526-2d7d-43a7-aa2b-737b0d35e4d0,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1988,Marco van Basten,Netherlands,AC Milan,13a1f8d1-24a8-4b8b-a449-210841e18de5,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1989,Marco van Basten,Netherlands,AC Milan,682e3adf-75d0-4233-b448-676bae1bef15,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1990,Lothar Matthäus,Germany,Inter Milan,2757e114-c759-417d-8d30-bf692fb1488c,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
