year,player,country,club,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1956,Stanley Matthews,England,Blackpool,c123c6b7-06b0-40cd-a8db-bc830b813f98,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1957,Alfredo Di Stéfano,Spain,Real Madrid,cf275046-7581-4cfe-9b06-e74206758078,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1958,Raymond Kopa,France,Real Madrid,fdbfae47-9d98-47ed-98e6-9b3c9f0b76ae,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1959,Alfredo Di Stéfano,Spain,Real Madrid,89967bcc-cc27-4523-b8eb-faaaeae07766,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1960,Luis Suárez,Spain,Barcelona,7c02c8b2-f233-4aa8-8647-b612965062fd,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1961,Omar Sívori,Italy,Juventus,0062859e-1a6f-40a8-bad2-265d08759333,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1962,Josef Masopust,Czechoslovakia,Dukla Prague,50e5c6cf-9579-4934-9c43-f7deb9edd4ed,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1963,Lev Yashin,Soviet Union,Dynamo Moscow,bc6bc507-123a-471b-a136-aba2bcf0ee90,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1964,Denis Law,Scotland,Manchester United,d713f161-f61b-40e8-8f0b-ca3e42f1fa45,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1965,Eusébio,Portugal,Benfica,e27d0171-1b92-4cf3-aa71-b934a7bf2880,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1966,Bobby Charlton,England,Manchester United,5a40102b-c8b7-4e9c-8b3d-8f939dbf9e72,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1967,Flórián Albert,Hungary,Ferencváros,f8019c72-658e-425a-8ba4-49a795e28385,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1968,George Best,Northern Ireland,Manchester United,ea0d753e-e85f-4252-b9ce-e0848a2716db,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1969,Gianni Rivera,Italy,AC Milan,85d2ec52-16e5-4099-8116-7413e5840d4d,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1970,Gerd Müller,West Germany,Bayern Munich,1cdc65c0-c9b0-4842-9093-a36eb6dc4dcf,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1971,Johan Cruyff,Netherlands,Ajax,cfb7d53a-8a1a-40b3-8d8e-1745acaea907,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1972,Franz Beckenbauer,West Germany,Bayern Munich,57944b03-5a54-4e38-86f9-0dab9eb4965b,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1973,Johan Cruyff,Netherlands,Barcelona,0c72e0fd-e56b-4557-894a-7593a3d5d715,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1974,Johan Cruyff,Netherlands,Barcelona,85a94805-48ef-4956-bc86-44eef60b310e,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1975,Oleg Blokhin,Soviet Union,Dynamo Kyiv,2b987418-4106-4649-941b-f7f9c4844d72,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1976,Franz Beckenbauer,West Germany,Bayern Munich,6e398c98-a5ca-42a6-ab29-1b34da32a8f5,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1977,Allan Simonsen,Denmark,Borussia Mönchengladbach,9de2ffde-e662-41fc-a760-fd04ea8273bd,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1978,Kevin Keegan,England,Hamburg,d58f4250-5417-4830-803b-e28f36f752cf,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1979,Kevin Keegan,England,Hamburg,f5cc201f-68db-44da-808b-5f68f26b4b85,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1980,Karl-Heinz Rummenigge,West Germany,Bayern Munich,46a0eece-c32b-4c8d-aef0-62f4275428b2,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1981,Karl-Heinz Rummenigge,West Germany,Bayern Munich,9bc3f021-001d-45ee-8fb0-8315d624e5e6,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1982,Paolo Rossi,Italy,Juventus,21befff8-ab41-4022-94f1-372648d57cb7,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1983,Michel Platini,France,Juventus,a699efd5-6405-47fa-9ac5-ca8afac14f37,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1984,Michel Platini,France,Juventus,3fd5557e-0b52-49cc-b11a-4f79dd890a61,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1985,Michel Platini,France,Juventus,aa0cf278-8573-40bf-bef7-1a89382fe5d9,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1986,Igor Belanov,Soviet Union,Dynamo Kyiv,55cf7d2d-0b13-4075-81f0-682b8fbfff9d,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1987,Ruud Gullit,Netherlands,AC Milan,b7b61ce4-2a05-4374-ac35-3a6dd4840894,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1988,Marco van Basten,Netherlands,AC Milan,e5d63104-1202-4b1f-aa98-fd163c5fd8f2,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1989,Marco van Basten,Netherlands,AC Milan,0af8b813-8805-4191-9978-e8a2879d79d0,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1990,Lothar Matthäus,Germany,Inter Milan,dcfec40f-bbb5-4ee9-ba8e-69bf79468756,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1991,Jean-Pierre Papin,France,Marseille,0d312e14-a49e-4330-8e3e-b2dd101c638a,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1992,Marco van Basten,Netherlands,AC Milan,70fb7b74-1116-4cd1-bfb0-a077bfaf9e88,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1993,Roberto Baggio,Italy,Juventus,8998365c-335d-4045-8e36-69178bace50a,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1994,Hristo Stoichkov,Bulgaria,Barcelona,2980cf62-7276-4842-a60a-b54df1bb7dc4,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1995,George Weah,Liberia,AC Milan,f878a285-4deb-4063-bdfd-b06ae86af19b,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1996,Matthias Sammer,Germany,Borussia Dortmund,acd03432-5338-45f4-a8b3-ada9d5692f31,2026-08-18T15:31:28.784739,ballon_dor_awards.xml,XML_BALLON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
