edition,year,host,champion,runner_up,third_place,fourth_place,teams,matches,goals,goals_per_match,attendance,top_scorer,top_scorer_country,top_scorer_goals,start_date,end_date,final_city,host_won,format,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1,1930,Uruguay,Uruguay,Argentina,United States,Yugoslavia,13,18,70,3.89,590549,Guillermo Stábile,Argentina,8,July 13,July 30,Montevideo,No,Round Robin,372290ee-3a72-4f8b-844d-8ff605f28088,2026-07-15T20:07:02.224882,wc_all_editions.xml,XML,a0c057a4-b088-4e07-b92e-24af0610a303
2,1934,Italy,Italy,Czechoslovakia,Germany,Austria,16,17,70,4.12,363000,Oldřich Nejedlý,Czechoslovakia,5,May 27,June 10,Rome,Yes,Knockout,a6840c83-a5c7-43fa-b4d1-b04eff72c37b,2026-07-15T20:07:02.224882,wc_all_editions.xml,XML,a0c057a4-b088-4e07-b92e-24af0610a303
3,1938,France,Italy,Hungary,Brazil,Sweden,15,18,84,4.67,375700,Leônidas,Brazil,7,June 4,June 19,Paris,Yes,Knockout,07b4bfe8-0219-4afb-b71d-8647e0482ada,2026-07-15T20:07:02.224882,wc_all_editions.xml,XML,a0c057a4-b088-4e07-b92e-24af0610a303
4,1950,Brazil,Uruguay,Brazil,Sweden,Spain,13,22,88,4.0,1045246,Ademir,Brazil,8,June 24,July 16,Rio de Janeiro,No,Round Robin Final,74e14c8f-b0d4-4ccb-9dec-0176e49b0a20,2026-07-15T20:07:02.224882,wc_all_editions.xml,XML,a0c057a4-b088-4e07-b92e-24af0610a303
5,1954,Switzerland,West Germany,Hungary,Austria,Uruguay,16,26,140,5.38,768607,Sándor Kocsis,Hungary,11,June 16,July 4,Bern,No,Knockout,aa558827-4925-4458-befc-e5811ecddabd,2026-07-15T20:07:02.224882,wc_all_editions.xml,XML,a0c057a4-b088-4e07-b92e-24af0610a303
6,1958,Sweden,Brazil,Sweden,France,West Germany,16,35,126,3.6,819810,Just Fontaine,France,13,June 8,June 29,Stockholm,No,Knockout,cce99ed0-93b4-4bba-8bb6-c08f4a3abc3e,2026-07-15T20:07:02.224882,wc_all_editions.xml,XML,a0c057a4-b088-4e07-b92e-24af0610a303
7,1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,16,32,89,2.78,893172,Florian Albert / Garrincha / Valentin Ivanov / Leonel Sánchez / Dražan Jerković / Vavá,Multiple,4,May 30,June 17,Santiago,No,Knockout,e79c3b50-09b4-4820-be75-d61cb2621357,2026-07-15T20:07:02.224882,wc_all_editions.xml,XML,a0c057a4-b088-4e07-b92e-24af0610a303
8,1966,England,England,West Germany,Portugal,Soviet Union,16,32,89,2.78,1563135,Eusébio,Portugal,9,July 11,July 30,London,Yes,Knockout,7a2b87ba-00a7-4363-99ee-289f709b3a43,2026-07-15T20:07:02.224882,wc_all_editions.xml,XML,a0c057a4-b088-4e07-b92e-24af0610a303
9,1970,Mexico,Brazil,Italy,West Germany,Uruguay,16,32,95,2.97,1603975,Gerd Müller,West Germany,10,May 31,June 21,Mexico City,No,Knockout,c0feadc9-e1e1-427a-867a-e4bc4685023a,2026-07-15T20:07:02.224882,wc_all_editions.xml,XML,a0c057a4-b088-4e07-b92e-24af0610a303
10,1974,West Germany,West Germany,Netherlands,Poland,Brazil,16,38,97,2.55,1865753,Grzegorz Lato,Poland,7,June 13,July 7,Munich,Yes,Knockout,548b0117-8b1f-4ac5-a945-b6f374342fea,2026-07-15T20:07:02.224882,wc_all_editions.xml,XML,a0c057a4-b088-4e07-b92e-24af0610a303
