edition,year,host,champion,runner_up,third_place,fourth_place,teams,matches,goals,goals_per_match,attendance,top_scorer,top_scorer_country,top_scorer_goals,start_date,end_date,final_city,host_won,format,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1,1930,Uruguay,Uruguay,Argentina,United States,Yugoslavia,13,18,70,3.89,590549,Guillermo Stábile,Argentina,8,July 13,July 30,Montevideo,No,Round Robin,c3ead4b9-2d13-4f28-984e-ab4382d1e6fc,2026-07-16T12:03:55.247422,wc_all_editions.xml,XML,5da7bfee-8ea8-4657-bec3-981f66c30d55
2,1934,Italy,Italy,Czechoslovakia,Germany,Austria,16,17,70,4.12,363000,Oldřich Nejedlý,Czechoslovakia,5,May 27,June 10,Rome,Yes,Knockout,3fb3cbaa-847c-40ce-af38-29ffbf30dd9e,2026-07-16T12:03:55.247422,wc_all_editions.xml,XML,5da7bfee-8ea8-4657-bec3-981f66c30d55
3,1938,France,Italy,Hungary,Brazil,Sweden,15,18,84,4.67,375700,Leônidas,Brazil,7,June 4,June 19,Paris,Yes,Knockout,0e865416-0f0c-4347-8b11-aaf5bfafed55,2026-07-16T12:03:55.247422,wc_all_editions.xml,XML,5da7bfee-8ea8-4657-bec3-981f66c30d55
4,1950,Brazil,Uruguay,Brazil,Sweden,Spain,13,22,88,4.0,1045246,Ademir,Brazil,8,June 24,July 16,Rio de Janeiro,No,Round Robin Final,e90d9e87-0734-4147-b796-1b837428091b,2026-07-16T12:03:55.247422,wc_all_editions.xml,XML,5da7bfee-8ea8-4657-bec3-981f66c30d55
5,1954,Switzerland,West Germany,Hungary,Austria,Uruguay,16,26,140,5.38,768607,Sándor Kocsis,Hungary,11,June 16,July 4,Bern,No,Knockout,9b26e8b4-68bb-419a-8038-49a917d9156e,2026-07-16T12:03:55.247422,wc_all_editions.xml,XML,5da7bfee-8ea8-4657-bec3-981f66c30d55
6,1958,Sweden,Brazil,Sweden,France,West Germany,16,35,126,3.6,819810,Just Fontaine,France,13,June 8,June 29,Stockholm,No,Knockout,d6c36eb2-3b9d-440d-83ad-3a34db31f527,2026-07-16T12:03:55.247422,wc_all_editions.xml,XML,5da7bfee-8ea8-4657-bec3-981f66c30d55
7,1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,16,32,89,2.78,893172,Florian Albert / Garrincha / Valentin Ivanov / Leonel Sánchez / Dražan Jerković / Vavá,Multiple,4,May 30,June 17,Santiago,No,Knockout,d509096c-000b-48d0-9108-0c6c23325996,2026-07-16T12:03:55.247422,wc_all_editions.xml,XML,5da7bfee-8ea8-4657-bec3-981f66c30d55
8,1966,England,England,West Germany,Portugal,Soviet Union,16,32,89,2.78,1563135,Eusébio,Portugal,9,July 11,July 30,London,Yes,Knockout,7b715d83-802c-46d4-b621-dd84e4297156,2026-07-16T12:03:55.247422,wc_all_editions.xml,XML,5da7bfee-8ea8-4657-bec3-981f66c30d55
9,1970,Mexico,Brazil,Italy,West Germany,Uruguay,16,32,95,2.97,1603975,Gerd Müller,West Germany,10,May 31,June 21,Mexico City,No,Knockout,a06fbd06-f87e-4f93-b6bb-a605cc78f1da,2026-07-16T12:03:55.247422,wc_all_editions.xml,XML,5da7bfee-8ea8-4657-bec3-981f66c30d55
10,1974,West Germany,West Germany,Netherlands,Poland,Brazil,16,38,97,2.55,1865753,Grzegorz Lato,Poland,7,June 13,July 7,Munich,Yes,Knockout,1fb5baad-7b68-4c48-85e3-4f50968a48e2,2026-07-16T12:03:55.247422,wc_all_editions.xml,XML,5da7bfee-8ea8-4657-bec3-981f66c30d55
11,1978,Argentina,Argentina,Netherlands,Brazil,Italy,16,38,102,2.68,1545791,Mario Kempes,Argentina,6,June 1,June 25,Buenos Aires,Yes,Knockout,7e737c69-6a1c-401d-9e22-82f6dcca5403,2026-07-16T12:03:55.247422,wc_all_editions.xml,XML,5da7bfee-8ea8-4657-bec3-981f66c30d55
12,1982,Spain,Italy,West Germany,Poland,France,24,52,146,2.81,1766277,Paolo Rossi,Italy,6,June 13,July 11,Madrid,No,Knockout,6fb957c0-eb3b-43f5-bde4-076027f6db9b,2026-07-16T12:03:55.247422,wc_all_editions.xml,XML,5da7bfee-8ea8-4657-bec3-981f66c30d55
13,1986,Mexico,Argentina,West Germany,France,Belgium,24,52,132,2.54,2394031,Gary Lineker,England,6,May 31,June 29,Mexico City,No,Knockout,3f462885-27a8-460e-bd22-1e740e277b74,2026-07-16T12:03:55.247422,wc_all_editions.xml,XML,5da7bfee-8ea8-4657-bec3-981f66c30d55
14,1990,Italy,West Germany,Argentina,Italy,England,24,52,115,2.21,2516215,Salvatore Schillaci,Italy,6,June 8,July 8,Rome,No,Knockout,bd9fd27c-24d3-4120-8789-f9df0f2b7a84,2026-07-16T12:03:55.247422,wc_all_editions.xml,XML,5da7bfee-8ea8-4657-bec3-981f66c30d55
15,1994,United States,Brazil,Italy,Sweden,Bulgaria,24,52,141,2.71,3587538,Hristo Stoichkov / Oleg Salenko,Bulgaria / Russia,6,June 17,July 17,Pasadena,No,Knockout,479447e9-1afd-4056-83ea-7d1df56c02ac,2026-07-16T12:03:55.247422,wc_all_editions.xml,XML,5da7bfee-8ea8-4657-bec3-981f66c30d55
16,1998,France,France,Brazil,Croatia,Netherlands,32,64,171,2.67,2785100,Davor Šuker,Croatia,6,June 10,July 12,Paris,Yes,Knockout,8587fc52-95b9-49fc-aee6-af5908b8cb50,2026-07-16T12:03:55.247422,wc_all_editions.xml,XML,5da7bfee-8ea8-4657-bec3-981f66c30d55
17,2002,South Korea / Japan,Brazil,Germany,Turkey,South Korea,32,64,161,2.52,2705197,Ronaldo,Brazil,8,May 31,June 30,Yokohama,No,Knockout,706fb4a4-db23-4a96-9e8c-42edb9faa4a7,2026-07-16T12:03:55.247422,wc_all_editions.xml,XML,5da7bfee-8ea8-4657-bec3-981f66c30d55
18,2006,Germany,Italy,France,Germany,Portugal,32,64,147,2.3,3359439,Miroslav Klose,Germany,5,June 9,July 9,Berlin,No,Knockout,d2365778-7b66-46fc-95b1-a177648194b9,2026-07-16T12:03:55.247422,wc_all_editions.xml,XML,5da7bfee-8ea8-4657-bec3-981f66c30d55
