edition,year,host,champion,runner_up,third_place,fourth_place,teams,matches,goals,goals_per_match,attendance,top_scorer,top_scorer_country,top_scorer_goals,start_date,end_date,final_city,host_won,format,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1,1930,Uruguay,Uruguay,Argentina,United States,Yugoslavia,13,18,70,3.89,590549,Guillermo Stábile,Argentina,8,July 13,July 30,Montevideo,No,Round Robin,03cffd59-352b-4a12-b7c6-d134e830b870,2026-07-16T12:05:18.882838,wc_all_editions.xml,XML,62695da6-0afe-45a5-bf99-759e008fc2a3
2,1934,Italy,Italy,Czechoslovakia,Germany,Austria,16,17,70,4.12,363000,Oldřich Nejedlý,Czechoslovakia,5,May 27,June 10,Rome,Yes,Knockout,ab235a70-550d-431a-bc3b-1d881bf04071,2026-07-16T12:05:18.882838,wc_all_editions.xml,XML,62695da6-0afe-45a5-bf99-759e008fc2a3
3,1938,France,Italy,Hungary,Brazil,Sweden,15,18,84,4.67,375700,Leônidas,Brazil,7,June 4,June 19,Paris,Yes,Knockout,f1a7f9ee-d33d-4573-adff-8190a3f6419a,2026-07-16T12:05:18.882838,wc_all_editions.xml,XML,62695da6-0afe-45a5-bf99-759e008fc2a3
4,1950,Brazil,Uruguay,Brazil,Sweden,Spain,13,22,88,4.0,1045246,Ademir,Brazil,8,June 24,July 16,Rio de Janeiro,No,Round Robin Final,5fe7ae88-6b0f-4701-bb41-018c758d8c57,2026-07-16T12:05:18.882838,wc_all_editions.xml,XML,62695da6-0afe-45a5-bf99-759e008fc2a3
5,1954,Switzerland,West Germany,Hungary,Austria,Uruguay,16,26,140,5.38,768607,Sándor Kocsis,Hungary,11,June 16,July 4,Bern,No,Knockout,82266e50-e061-4dc2-ab33-156cba1561e8,2026-07-16T12:05:18.882838,wc_all_editions.xml,XML,62695da6-0afe-45a5-bf99-759e008fc2a3
6,1958,Sweden,Brazil,Sweden,France,West Germany,16,35,126,3.6,819810,Just Fontaine,France,13,June 8,June 29,Stockholm,No,Knockout,16999e5d-2dae-4ca9-99ff-7fc6c02d78f5,2026-07-16T12:05:18.882838,wc_all_editions.xml,XML,62695da6-0afe-45a5-bf99-759e008fc2a3
7,1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,16,32,89,2.78,893172,Florian Albert / Garrincha / Valentin Ivanov / Leonel Sánchez / Dražan Jerković / Vavá,Multiple,4,May 30,June 17,Santiago,No,Knockout,e858dcac-e56e-4dbb-969c-d7d1d997b008,2026-07-16T12:05:18.882838,wc_all_editions.xml,XML,62695da6-0afe-45a5-bf99-759e008fc2a3
8,1966,England,England,West Germany,Portugal,Soviet Union,16,32,89,2.78,1563135,Eusébio,Portugal,9,July 11,July 30,London,Yes,Knockout,473f5dc4-d041-4853-a221-b6df597cddf5,2026-07-16T12:05:18.882838,wc_all_editions.xml,XML,62695da6-0afe-45a5-bf99-759e008fc2a3
9,1970,Mexico,Brazil,Italy,West Germany,Uruguay,16,32,95,2.97,1603975,Gerd Müller,West Germany,10,May 31,June 21,Mexico City,No,Knockout,c6b5ffbc-cdd4-417b-813b-c90da35e0919,2026-07-16T12:05:18.882838,wc_all_editions.xml,XML,62695da6-0afe-45a5-bf99-759e008fc2a3
10,1974,West Germany,West Germany,Netherlands,Poland,Brazil,16,38,97,2.55,1865753,Grzegorz Lato,Poland,7,June 13,July 7,Munich,Yes,Knockout,8c3902c3-4463-41d6-9497-3103d185306c,2026-07-16T12:05:18.882838,wc_all_editions.xml,XML,62695da6-0afe-45a5-bf99-759e008fc2a3
11,1978,Argentina,Argentina,Netherlands,Brazil,Italy,16,38,102,2.68,1545791,Mario Kempes,Argentina,6,June 1,June 25,Buenos Aires,Yes,Knockout,5673f399-2587-42f2-b059-870c896be471,2026-07-16T12:05:18.882838,wc_all_editions.xml,XML,62695da6-0afe-45a5-bf99-759e008fc2a3
12,1982,Spain,Italy,West Germany,Poland,France,24,52,146,2.81,1766277,Paolo Rossi,Italy,6,June 13,July 11,Madrid,No,Knockout,93a4a202-ac05-499c-9b7e-ef63b7bab1ab,2026-07-16T12:05:18.882838,wc_all_editions.xml,XML,62695da6-0afe-45a5-bf99-759e008fc2a3
13,1986,Mexico,Argentina,West Germany,France,Belgium,24,52,132,2.54,2394031,Gary Lineker,England,6,May 31,June 29,Mexico City,No,Knockout,b8d34a81-3e0a-4626-b286-19a2cd7673c2,2026-07-16T12:05:18.882838,wc_all_editions.xml,XML,62695da6-0afe-45a5-bf99-759e008fc2a3
14,1990,Italy,West Germany,Argentina,Italy,England,24,52,115,2.21,2516215,Salvatore Schillaci,Italy,6,June 8,July 8,Rome,No,Knockout,23ad85e7-c9db-4fd5-a364-7b747c9e0e8f,2026-07-16T12:05:18.882838,wc_all_editions.xml,XML,62695da6-0afe-45a5-bf99-759e008fc2a3
15,1994,United States,Brazil,Italy,Sweden,Bulgaria,24,52,141,2.71,3587538,Hristo Stoichkov / Oleg Salenko,Bulgaria / Russia,6,June 17,July 17,Pasadena,No,Knockout,e38e0f1a-bdc5-4d22-b5da-02652ce793fa,2026-07-16T12:05:18.882838,wc_all_editions.xml,XML,62695da6-0afe-45a5-bf99-759e008fc2a3
16,1998,France,France,Brazil,Croatia,Netherlands,32,64,171,2.67,2785100,Davor Šuker,Croatia,6,June 10,July 12,Paris,Yes,Knockout,9bd239ae-84be-44f1-8fba-6d9ce47d2569,2026-07-16T12:05:18.882838,wc_all_editions.xml,XML,62695da6-0afe-45a5-bf99-759e008fc2a3
17,2002,South Korea / Japan,Brazil,Germany,Turkey,South Korea,32,64,161,2.52,2705197,Ronaldo,Brazil,8,May 31,June 30,Yokohama,No,Knockout,aa6f5b6c-33f5-4823-9884-522810f826af,2026-07-16T12:05:18.882838,wc_all_editions.xml,XML,62695da6-0afe-45a5-bf99-759e008fc2a3
18,2006,Germany,Italy,France,Germany,Portugal,32,64,147,2.3,3359439,Miroslav Klose,Germany,5,June 9,July 9,Berlin,No,Knockout,bf774be5-d0fd-4f81-8c9b-bcb08a2e41e4,2026-07-16T12:05:18.882838,wc_all_editions.xml,XML,62695da6-0afe-45a5-bf99-759e008fc2a3
19,2010,South Africa,Spain,Netherlands,Germany,Uruguay,32,64,145,2.27,3178856,Thomas Müller / Wesley Sneijder / David Villa / Diego Forlán,Multiple,5,June 11,July 11,Johannesburg,No,Knockout,d0ca00f4-b37f-4e2f-832c-da7163f6cd4c,2026-07-16T12:05:18.882838,wc_all_editions.xml,XML,62695da6-0afe-45a5-bf99-759e008fc2a3
20,2014,Brazil,Germany,Argentina,Netherlands,Brazil,32,64,171,2.67,3429873,James Rodríguez,Colombia,6,June 12,July 13,Rio de Janeiro,No,Knockout,418a4e21-29d9-4a18-b174-6c8a93c78c3d,2026-07-16T12:05:18.882838,wc_all_editions.xml,XML,62695da6-0afe-45a5-bf99-759e008fc2a3
21,2018,Russia,France,Croatia,Belgium,England,32,64,169,2.64,3031768,Harry Kane,England,6,June 14,July 15,Moscow,No,Knockout,5d944c95-55d5-49db-bacd-17e34d2bf63d,2026-07-16T12:05:18.882838,wc_all_editions.xml,XML,62695da6-0afe-45a5-bf99-759e008fc2a3
22,2022,Qatar,Argentina,France,Croatia,Morocco,32,64,172,2.69,3404252,Kylian Mbappé,France,8,November 20,December 18,Lusail,No,Knockout,ab024338-adb6-43d3-a552-96476635ae30,2026-07-16T12:05:18.882838,wc_all_editions.xml,XML,62695da6-0afe-45a5-bf99-759e008fc2a3
