edition,year,host,champion,runner_up,third_place,fourth_place,teams,matches,goals,goals_per_match,attendance,top_scorer,top_scorer_country,top_scorer_goals,start_date,end_date,final_city,host_won,format,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1,1930,Uruguay,Uruguay,Argentina,United States,Yugoslavia,13,18,70,3.89,590549,Guillermo Stábile,Argentina,8,July 13,July 30,Montevideo,No,Round Robin,b1775097-0336-4b80-b258-b156b982b282,2026-07-18T10:35:43.865932,wc_all_editions.xml,XML,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
2,1934,Italy,Italy,Czechoslovakia,Germany,Austria,16,17,70,4.12,363000,Oldřich Nejedlý,Czechoslovakia,5,May 27,June 10,Rome,Yes,Knockout,fa4ace07-80bf-47b1-bd2a-8376fd19fada,2026-07-18T10:35:43.865932,wc_all_editions.xml,XML,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
3,1938,France,Italy,Hungary,Brazil,Sweden,15,18,84,4.67,375700,Leônidas,Brazil,7,June 4,June 19,Paris,Yes,Knockout,7d23a2c8-3570-4221-908e-0a262216515c,2026-07-18T10:35:43.865932,wc_all_editions.xml,XML,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
4,1950,Brazil,Uruguay,Brazil,Sweden,Spain,13,22,88,4.0,1045246,Ademir,Brazil,8,June 24,July 16,Rio de Janeiro,No,Round Robin Final,8f0f4fb7-0b9a-49a0-87b9-41c6a0c65746,2026-07-18T10:35:43.865932,wc_all_editions.xml,XML,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
5,1954,Switzerland,West Germany,Hungary,Austria,Uruguay,16,26,140,5.38,768607,Sándor Kocsis,Hungary,11,June 16,July 4,Bern,No,Knockout,4667cc7a-3480-4a72-b578-eccbc0e4f9b5,2026-07-18T10:35:43.865932,wc_all_editions.xml,XML,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
6,1958,Sweden,Brazil,Sweden,France,West Germany,16,35,126,3.6,819810,Just Fontaine,France,13,June 8,June 29,Stockholm,No,Knockout,a4a5a0f8-841f-4f4a-9c6b-c791888cc882,2026-07-18T10:35:43.865932,wc_all_editions.xml,XML,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
7,1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,16,32,89,2.78,893172,Florian Albert / Garrincha / Valentin Ivanov / Leonel Sánchez / Dražan Jerković / Vavá,Multiple,4,May 30,June 17,Santiago,No,Knockout,0609cd7b-3d74-4d97-a45e-46f2699847f5,2026-07-18T10:35:43.865932,wc_all_editions.xml,XML,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
8,1966,England,England,West Germany,Portugal,Soviet Union,16,32,89,2.78,1563135,Eusébio,Portugal,9,July 11,July 30,London,Yes,Knockout,42f86c00-ccb2-417d-b4f1-9976f9bc5948,2026-07-18T10:35:43.865932,wc_all_editions.xml,XML,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
9,1970,Mexico,Brazil,Italy,West Germany,Uruguay,16,32,95,2.97,1603975,Gerd Müller,West Germany,10,May 31,June 21,Mexico City,No,Knockout,795534b6-f74e-4366-ba36-637de3d75b3a,2026-07-18T10:35:43.865932,wc_all_editions.xml,XML,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
10,1974,West Germany,West Germany,Netherlands,Poland,Brazil,16,38,97,2.55,1865753,Grzegorz Lato,Poland,7,June 13,July 7,Munich,Yes,Knockout,b03eead9-214e-468e-84a2-13edcaeede13,2026-07-18T10:35:43.865932,wc_all_editions.xml,XML,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
11,1978,Argentina,Argentina,Netherlands,Brazil,Italy,16,38,102,2.68,1545791,Mario Kempes,Argentina,6,June 1,June 25,Buenos Aires,Yes,Knockout,7d79bf1b-9532-46be-82ae-960d5219c677,2026-07-18T10:35:43.865932,wc_all_editions.xml,XML,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
12,1982,Spain,Italy,West Germany,Poland,France,24,52,146,2.81,1766277,Paolo Rossi,Italy,6,June 13,July 11,Madrid,No,Knockout,cc1f3604-dfc8-439b-a70b-673cf378ac0e,2026-07-18T10:35:43.865932,wc_all_editions.xml,XML,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
13,1986,Mexico,Argentina,West Germany,France,Belgium,24,52,132,2.54,2394031,Gary Lineker,England,6,May 31,June 29,Mexico City,No,Knockout,07097a5c-07f3-41c7-87ab-b6a947e85247,2026-07-18T10:35:43.865932,wc_all_editions.xml,XML,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
14,1990,Italy,West Germany,Argentina,Italy,England,24,52,115,2.21,2516215,Salvatore Schillaci,Italy,6,June 8,July 8,Rome,No,Knockout,372c7bdc-6c2f-46dd-9200-763ca716abf3,2026-07-18T10:35:43.865932,wc_all_editions.xml,XML,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
15,1994,United States,Brazil,Italy,Sweden,Bulgaria,24,52,141,2.71,3587538,Hristo Stoichkov / Oleg Salenko,Bulgaria / Russia,6,June 17,July 17,Pasadena,No,Knockout,475eed39-155f-4238-b050-de839af9f87f,2026-07-18T10:35:43.865932,wc_all_editions.xml,XML,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
16,1998,France,France,Brazil,Croatia,Netherlands,32,64,171,2.67,2785100,Davor Šuker,Croatia,6,June 10,July 12,Paris,Yes,Knockout,434c7b86-c893-480f-abbc-8963bf6b0029,2026-07-18T10:35:43.865932,wc_all_editions.xml,XML,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
17,2002,South Korea / Japan,Brazil,Germany,Turkey,South Korea,32,64,161,2.52,2705197,Ronaldo,Brazil,8,May 31,June 30,Yokohama,No,Knockout,260a4b4a-eb9f-40f2-99f6-e387a342bce0,2026-07-18T10:35:43.865932,wc_all_editions.xml,XML,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
18,2006,Germany,Italy,France,Germany,Portugal,32,64,147,2.3,3359439,Miroslav Klose,Germany,5,June 9,July 9,Berlin,No,Knockout,731e87fe-a9dc-4b18-b821-e862704114c6,2026-07-18T10:35:43.865932,wc_all_editions.xml,XML,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
19,2010,South Africa,Spain,Netherlands,Germany,Uruguay,32,64,145,2.27,3178856,Thomas Müller / Wesley Sneijder / David Villa / Diego Forlán,Multiple,5,June 11,July 11,Johannesburg,No,Knockout,41a1690d-9df9-4728-ad9e-d413031c0167,2026-07-18T10:35:43.865932,wc_all_editions.xml,XML,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
20,2014,Brazil,Germany,Argentina,Netherlands,Brazil,32,64,171,2.67,3429873,James Rodríguez,Colombia,6,June 12,July 13,Rio de Janeiro,No,Knockout,a416f830-a827-4b26-8e15-96ceb776a694,2026-07-18T10:35:43.865932,wc_all_editions.xml,XML,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
21,2018,Russia,France,Croatia,Belgium,England,32,64,169,2.64,3031768,Harry Kane,England,6,June 14,July 15,Moscow,No,Knockout,b8ccae42-1f45-48b5-9f98-ed7b26a1008d,2026-07-18T10:35:43.865932,wc_all_editions.xml,XML,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
22,2022,Qatar,Argentina,France,Croatia,Morocco,32,64,172,2.69,3404252,Kylian Mbappé,France,8,November 20,December 18,Lusail,No,Knockout,90639a24-d363-453b-b762-a967a4b2225d,2026-07-18T10:35:43.865932,wc_all_editions.xml,XML,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
