edition,year,host,champion,runner_up,third_place,fourth_place,teams,matches,goals,goals_per_match,attendance,top_scorer,top_scorer_country,top_scorer_goals,start_date,end_date,final_city,host_won,format,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1,1930,Uruguay,Uruguay,Argentina,United States,Yugoslavia,13,18,70,3.89,590549,Guillermo Stábile,Argentina,8,July 13,July 30,Montevideo,No,Round Robin,3a8a2ed5-2ba9-45ec-9402-9f1eac537f8c,2026-07-18T10:34:08.089194,wc_all_editions.xml,XML,8a8f68d0-e75c-49df-b397-b290425459a3
2,1934,Italy,Italy,Czechoslovakia,Germany,Austria,16,17,70,4.12,363000,Oldřich Nejedlý,Czechoslovakia,5,May 27,June 10,Rome,Yes,Knockout,b2282538-4db1-4054-b8b1-140a4c252edc,2026-07-18T10:34:08.089194,wc_all_editions.xml,XML,8a8f68d0-e75c-49df-b397-b290425459a3
3,1938,France,Italy,Hungary,Brazil,Sweden,15,18,84,4.67,375700,Leônidas,Brazil,7,June 4,June 19,Paris,Yes,Knockout,f4a3d37e-e4cf-479b-bb85-b6a0e82b92d3,2026-07-18T10:34:08.089194,wc_all_editions.xml,XML,8a8f68d0-e75c-49df-b397-b290425459a3
4,1950,Brazil,Uruguay,Brazil,Sweden,Spain,13,22,88,4.0,1045246,Ademir,Brazil,8,June 24,July 16,Rio de Janeiro,No,Round Robin Final,b7734d92-6c8f-4943-a9d8-fc51004816dd,2026-07-18T10:34:08.089194,wc_all_editions.xml,XML,8a8f68d0-e75c-49df-b397-b290425459a3
5,1954,Switzerland,West Germany,Hungary,Austria,Uruguay,16,26,140,5.38,768607,Sándor Kocsis,Hungary,11,June 16,July 4,Bern,No,Knockout,1abf1ba2-961c-4ea1-990f-37a99eb7244d,2026-07-18T10:34:08.089194,wc_all_editions.xml,XML,8a8f68d0-e75c-49df-b397-b290425459a3
6,1958,Sweden,Brazil,Sweden,France,West Germany,16,35,126,3.6,819810,Just Fontaine,France,13,June 8,June 29,Stockholm,No,Knockout,a0cd040d-3a63-4be7-9e51-519606de761b,2026-07-18T10:34:08.089194,wc_all_editions.xml,XML,8a8f68d0-e75c-49df-b397-b290425459a3
7,1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,16,32,89,2.78,893172,Florian Albert / Garrincha / Valentin Ivanov / Leonel Sánchez / Dražan Jerković / Vavá,Multiple,4,May 30,June 17,Santiago,No,Knockout,bf1bb482-db62-4b8d-b267-5d078c6dfb7d,2026-07-18T10:34:08.089194,wc_all_editions.xml,XML,8a8f68d0-e75c-49df-b397-b290425459a3
8,1966,England,England,West Germany,Portugal,Soviet Union,16,32,89,2.78,1563135,Eusébio,Portugal,9,July 11,July 30,London,Yes,Knockout,4e32ed5a-37f1-4fbb-a1e0-35838c91b959,2026-07-18T10:34:08.089194,wc_all_editions.xml,XML,8a8f68d0-e75c-49df-b397-b290425459a3
9,1970,Mexico,Brazil,Italy,West Germany,Uruguay,16,32,95,2.97,1603975,Gerd Müller,West Germany,10,May 31,June 21,Mexico City,No,Knockout,be7beffc-cfcf-4603-8f20-a7ff53499e25,2026-07-18T10:34:08.089194,wc_all_editions.xml,XML,8a8f68d0-e75c-49df-b397-b290425459a3
10,1974,West Germany,West Germany,Netherlands,Poland,Brazil,16,38,97,2.55,1865753,Grzegorz Lato,Poland,7,June 13,July 7,Munich,Yes,Knockout,475ea436-17bd-43d3-9f23-3622801cc793,2026-07-18T10:34:08.089194,wc_all_editions.xml,XML,8a8f68d0-e75c-49df-b397-b290425459a3
11,1978,Argentina,Argentina,Netherlands,Brazil,Italy,16,38,102,2.68,1545791,Mario Kempes,Argentina,6,June 1,June 25,Buenos Aires,Yes,Knockout,87296ef4-d124-42bd-9448-fbd7d90fcedd,2026-07-18T10:34:08.089194,wc_all_editions.xml,XML,8a8f68d0-e75c-49df-b397-b290425459a3
12,1982,Spain,Italy,West Germany,Poland,France,24,52,146,2.81,1766277,Paolo Rossi,Italy,6,June 13,July 11,Madrid,No,Knockout,1b09de4c-72fa-4149-84bb-acf49d2e3fd4,2026-07-18T10:34:08.089194,wc_all_editions.xml,XML,8a8f68d0-e75c-49df-b397-b290425459a3
13,1986,Mexico,Argentina,West Germany,France,Belgium,24,52,132,2.54,2394031,Gary Lineker,England,6,May 31,June 29,Mexico City,No,Knockout,7a86b18b-43cc-4fd5-918f-4c9a033ed675,2026-07-18T10:34:08.089194,wc_all_editions.xml,XML,8a8f68d0-e75c-49df-b397-b290425459a3
14,1990,Italy,West Germany,Argentina,Italy,England,24,52,115,2.21,2516215,Salvatore Schillaci,Italy,6,June 8,July 8,Rome,No,Knockout,237b1133-34fe-4f05-bdcb-65e04801ac82,2026-07-18T10:34:08.089194,wc_all_editions.xml,XML,8a8f68d0-e75c-49df-b397-b290425459a3
