edition,year,host,champion,runner_up,third_place,fourth_place,teams,matches,goals,goals_per_match,attendance,top_scorer,top_scorer_country,top_scorer_goals,start_date,end_date,final_city,host_won,format,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1,1930,Uruguay,Uruguay,Argentina,United States,Yugoslavia,13,18,70,3.89,590549,Guillermo Stábile,Argentina,8,July 13,July 30,Montevideo,No,Round Robin,f503f862-3d3c-4348-879d-ecbd17bb9254,2026-07-18T11:00:25.660023,wc_all_editions.xml,XML,d718908e-5365-4276-87bb-adf3cf5aa870
2,1934,Italy,Italy,Czechoslovakia,Germany,Austria,16,17,70,4.12,363000,Oldřich Nejedlý,Czechoslovakia,5,May 27,June 10,Rome,Yes,Knockout,47f79348-955b-431a-98c2-90c0fbfaae6a,2026-07-18T11:00:25.660023,wc_all_editions.xml,XML,d718908e-5365-4276-87bb-adf3cf5aa870
3,1938,France,Italy,Hungary,Brazil,Sweden,15,18,84,4.67,375700,Leônidas,Brazil,7,June 4,June 19,Paris,Yes,Knockout,9962e4ca-fcde-43f2-b01a-f495c803b077,2026-07-18T11:00:25.660023,wc_all_editions.xml,XML,d718908e-5365-4276-87bb-adf3cf5aa870
4,1950,Brazil,Uruguay,Brazil,Sweden,Spain,13,22,88,4.0,1045246,Ademir,Brazil,8,June 24,July 16,Rio de Janeiro,No,Round Robin Final,1a5daa39-1bdc-45fb-b677-abb67be3c39c,2026-07-18T11:00:25.660023,wc_all_editions.xml,XML,d718908e-5365-4276-87bb-adf3cf5aa870
5,1954,Switzerland,West Germany,Hungary,Austria,Uruguay,16,26,140,5.38,768607,Sándor Kocsis,Hungary,11,June 16,July 4,Bern,No,Knockout,9c74e4f1-d06e-4f98-bf5f-db32972de10b,2026-07-18T11:00:25.660023,wc_all_editions.xml,XML,d718908e-5365-4276-87bb-adf3cf5aa870
6,1958,Sweden,Brazil,Sweden,France,West Germany,16,35,126,3.6,819810,Just Fontaine,France,13,June 8,June 29,Stockholm,No,Knockout,c0e10ee0-e9f5-4728-a388-c4596980e561,2026-07-18T11:00:25.660023,wc_all_editions.xml,XML,d718908e-5365-4276-87bb-adf3cf5aa870
7,1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,16,32,89,2.78,893172,Florian Albert / Garrincha / Valentin Ivanov / Leonel Sánchez / Dražan Jerković / Vavá,Multiple,4,May 30,June 17,Santiago,No,Knockout,b24554e8-efd0-4fbd-822f-581d51c7cc09,2026-07-18T11:00:25.660023,wc_all_editions.xml,XML,d718908e-5365-4276-87bb-adf3cf5aa870
8,1966,England,England,West Germany,Portugal,Soviet Union,16,32,89,2.78,1563135,Eusébio,Portugal,9,July 11,July 30,London,Yes,Knockout,8a2b1cac-ccb8-4bbc-a51c-1b5e611fecc8,2026-07-18T11:00:25.660023,wc_all_editions.xml,XML,d718908e-5365-4276-87bb-adf3cf5aa870
9,1970,Mexico,Brazil,Italy,West Germany,Uruguay,16,32,95,2.97,1603975,Gerd Müller,West Germany,10,May 31,June 21,Mexico City,No,Knockout,e71f7956-d5db-489e-b9f6-c60f9ad37699,2026-07-18T11:00:25.660023,wc_all_editions.xml,XML,d718908e-5365-4276-87bb-adf3cf5aa870
10,1974,West Germany,West Germany,Netherlands,Poland,Brazil,16,38,97,2.55,1865753,Grzegorz Lato,Poland,7,June 13,July 7,Munich,Yes,Knockout,fddf3190-5b51-410d-bd2c-9adc4aacbc9e,2026-07-18T11:00:25.660023,wc_all_editions.xml,XML,d718908e-5365-4276-87bb-adf3cf5aa870
11,1978,Argentina,Argentina,Netherlands,Brazil,Italy,16,38,102,2.68,1545791,Mario Kempes,Argentina,6,June 1,June 25,Buenos Aires,Yes,Knockout,7a19fc30-87a6-4d1c-bfd5-a901be355e53,2026-07-18T11:00:25.660023,wc_all_editions.xml,XML,d718908e-5365-4276-87bb-adf3cf5aa870
12,1982,Spain,Italy,West Germany,Poland,France,24,52,146,2.81,1766277,Paolo Rossi,Italy,6,June 13,July 11,Madrid,No,Knockout,d2515df0-af40-40e5-8df0-de93c940acd5,2026-07-18T11:00:25.660023,wc_all_editions.xml,XML,d718908e-5365-4276-87bb-adf3cf5aa870
13,1986,Mexico,Argentina,West Germany,France,Belgium,24,52,132,2.54,2394031,Gary Lineker,England,6,May 31,June 29,Mexico City,No,Knockout,68fb3855-7b09-4001-b912-0629b7af216f,2026-07-18T11:00:25.660023,wc_all_editions.xml,XML,d718908e-5365-4276-87bb-adf3cf5aa870
14,1990,Italy,West Germany,Argentina,Italy,England,24,52,115,2.21,2516215,Salvatore Schillaci,Italy,6,June 8,July 8,Rome,No,Knockout,35561da0-ee9a-43c2-bee1-3b603aa7e935,2026-07-18T11:00:25.660023,wc_all_editions.xml,XML,d718908e-5365-4276-87bb-adf3cf5aa870
15,1994,United States,Brazil,Italy,Sweden,Bulgaria,24,52,141,2.71,3587538,Hristo Stoichkov / Oleg Salenko,Bulgaria / Russia,6,June 17,July 17,Pasadena,No,Knockout,d3f41d9b-064d-4eb1-a1fd-db9f0157e5c4,2026-07-18T11:00:25.660023,wc_all_editions.xml,XML,d718908e-5365-4276-87bb-adf3cf5aa870
16,1998,France,France,Brazil,Croatia,Netherlands,32,64,171,2.67,2785100,Davor Šuker,Croatia,6,June 10,July 12,Paris,Yes,Knockout,9b20be46-2ed8-4afb-91b7-bd6d799eca32,2026-07-18T11:00:25.660023,wc_all_editions.xml,XML,d718908e-5365-4276-87bb-adf3cf5aa870
17,2002,South Korea / Japan,Brazil,Germany,Turkey,South Korea,32,64,161,2.52,2705197,Ronaldo,Brazil,8,May 31,June 30,Yokohama,No,Knockout,1dafc3a9-60bb-4e54-829d-581e9a8c5229,2026-07-18T11:00:25.660023,wc_all_editions.xml,XML,d718908e-5365-4276-87bb-adf3cf5aa870
18,2006,Germany,Italy,France,Germany,Portugal,32,64,147,2.3,3359439,Miroslav Klose,Germany,5,June 9,July 9,Berlin,No,Knockout,9f91abc7-4a43-4933-ae06-b628768f61ac,2026-07-18T11:00:25.660023,wc_all_editions.xml,XML,d718908e-5365-4276-87bb-adf3cf5aa870
19,2010,South Africa,Spain,Netherlands,Germany,Uruguay,32,64,145,2.27,3178856,Thomas Müller / Wesley Sneijder / David Villa / Diego Forlán,Multiple,5,June 11,July 11,Johannesburg,No,Knockout,99858250-70b6-42e2-80a3-fa916df2c255,2026-07-18T11:00:25.660023,wc_all_editions.xml,XML,d718908e-5365-4276-87bb-adf3cf5aa870
20,2014,Brazil,Germany,Argentina,Netherlands,Brazil,32,64,171,2.67,3429873,James Rodríguez,Colombia,6,June 12,July 13,Rio de Janeiro,No,Knockout,68f4b353-baf5-4164-a531-7ff4385ca5f2,2026-07-18T11:00:25.660023,wc_all_editions.xml,XML,d718908e-5365-4276-87bb-adf3cf5aa870
21,2018,Russia,France,Croatia,Belgium,England,32,64,169,2.64,3031768,Harry Kane,England,6,June 14,July 15,Moscow,No,Knockout,0613d949-cb99-4594-97fa-91182e841d93,2026-07-18T11:00:25.660023,wc_all_editions.xml,XML,d718908e-5365-4276-87bb-adf3cf5aa870
22,2022,Qatar,Argentina,France,Croatia,Morocco,32,64,172,2.69,3404252,Kylian Mbappé,France,8,November 20,December 18,Lusail,No,Knockout,837b6250-07db-4e01-be52-c84e3229a69b,2026-07-18T11:00:25.660023,wc_all_editions.xml,XML,d718908e-5365-4276-87bb-adf3cf5aa870
