edition,year,host,champion,runner_up,third_place,fourth_place,teams,matches,goals,goals_per_match,attendance,top_scorer,top_scorer_country,top_scorer_goals,start_date,end_date,final_city,host_won,format,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1,1930,Uruguay,Uruguay,Argentina,United States,Yugoslavia,13,18,70,3.89,590549,Guillermo Stábile,Argentina,8,July 13,July 30,Montevideo,No,Round Robin,d0663d83-dc3b-4f58-9524-ce9b7e41be54,2026-07-18T10:55:41.932720,wc_all_editions.xml,XML,f4baacd1-078b-4952-a47b-082060e69a66
2,1934,Italy,Italy,Czechoslovakia,Germany,Austria,16,17,70,4.12,363000,Oldřich Nejedlý,Czechoslovakia,5,May 27,June 10,Rome,Yes,Knockout,5fd97dcb-e2e5-4a90-98e3-efd301cac2f8,2026-07-18T10:55:41.932720,wc_all_editions.xml,XML,f4baacd1-078b-4952-a47b-082060e69a66
3,1938,France,Italy,Hungary,Brazil,Sweden,15,18,84,4.67,375700,Leônidas,Brazil,7,June 4,June 19,Paris,Yes,Knockout,bcd876dc-ae62-4795-9e60-f2dc33482c81,2026-07-18T10:55:41.932720,wc_all_editions.xml,XML,f4baacd1-078b-4952-a47b-082060e69a66
4,1950,Brazil,Uruguay,Brazil,Sweden,Spain,13,22,88,4.0,1045246,Ademir,Brazil,8,June 24,July 16,Rio de Janeiro,No,Round Robin Final,fe466435-27ec-445d-9e47-ef4a74a4af4b,2026-07-18T10:55:41.932720,wc_all_editions.xml,XML,f4baacd1-078b-4952-a47b-082060e69a66
5,1954,Switzerland,West Germany,Hungary,Austria,Uruguay,16,26,140,5.38,768607,Sándor Kocsis,Hungary,11,June 16,July 4,Bern,No,Knockout,fea09210-3eb0-4421-86f6-ef72fe434438,2026-07-18T10:55:41.932720,wc_all_editions.xml,XML,f4baacd1-078b-4952-a47b-082060e69a66
6,1958,Sweden,Brazil,Sweden,France,West Germany,16,35,126,3.6,819810,Just Fontaine,France,13,June 8,June 29,Stockholm,No,Knockout,46759b6b-fdf1-4180-9fe8-068b9759aff6,2026-07-18T10:55:41.932720,wc_all_editions.xml,XML,f4baacd1-078b-4952-a47b-082060e69a66
7,1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,16,32,89,2.78,893172,Florian Albert / Garrincha / Valentin Ivanov / Leonel Sánchez / Dražan Jerković / Vavá,Multiple,4,May 30,June 17,Santiago,No,Knockout,4d1d5551-d3fd-4971-ae3f-b50df20804ce,2026-07-18T10:55:41.932720,wc_all_editions.xml,XML,f4baacd1-078b-4952-a47b-082060e69a66
8,1966,England,England,West Germany,Portugal,Soviet Union,16,32,89,2.78,1563135,Eusébio,Portugal,9,July 11,July 30,London,Yes,Knockout,87f31d4d-2ed6-42c7-98a7-16cb58819ba5,2026-07-18T10:55:41.932720,wc_all_editions.xml,XML,f4baacd1-078b-4952-a47b-082060e69a66
9,1970,Mexico,Brazil,Italy,West Germany,Uruguay,16,32,95,2.97,1603975,Gerd Müller,West Germany,10,May 31,June 21,Mexico City,No,Knockout,63fed0aa-580e-4284-8ddc-bacd3aaa2d30,2026-07-18T10:55:41.932720,wc_all_editions.xml,XML,f4baacd1-078b-4952-a47b-082060e69a66
10,1974,West Germany,West Germany,Netherlands,Poland,Brazil,16,38,97,2.55,1865753,Grzegorz Lato,Poland,7,June 13,July 7,Munich,Yes,Knockout,4d35d282-0d1b-4a8c-9865-1bf0abb4b949,2026-07-18T10:55:41.932720,wc_all_editions.xml,XML,f4baacd1-078b-4952-a47b-082060e69a66
11,1978,Argentina,Argentina,Netherlands,Brazil,Italy,16,38,102,2.68,1545791,Mario Kempes,Argentina,6,June 1,June 25,Buenos Aires,Yes,Knockout,80a45eaf-59a3-4614-a6d1-053a07748db4,2026-07-18T10:55:41.932720,wc_all_editions.xml,XML,f4baacd1-078b-4952-a47b-082060e69a66
12,1982,Spain,Italy,West Germany,Poland,France,24,52,146,2.81,1766277,Paolo Rossi,Italy,6,June 13,July 11,Madrid,No,Knockout,10843be4-a0a5-457a-90a6-e958111fc85f,2026-07-18T10:55:41.932720,wc_all_editions.xml,XML,f4baacd1-078b-4952-a47b-082060e69a66
13,1986,Mexico,Argentina,West Germany,France,Belgium,24,52,132,2.54,2394031,Gary Lineker,England,6,May 31,June 29,Mexico City,No,Knockout,b405136a-ef16-4249-a985-aa68d1dc61f9,2026-07-18T10:55:41.932720,wc_all_editions.xml,XML,f4baacd1-078b-4952-a47b-082060e69a66
14,1990,Italy,West Germany,Argentina,Italy,England,24,52,115,2.21,2516215,Salvatore Schillaci,Italy,6,June 8,July 8,Rome,No,Knockout,bfc90577-238f-4e89-bfc5-dc8d6aca24f2,2026-07-18T10:55:41.932720,wc_all_editions.xml,XML,f4baacd1-078b-4952-a47b-082060e69a66
15,1994,United States,Brazil,Italy,Sweden,Bulgaria,24,52,141,2.71,3587538,Hristo Stoichkov / Oleg Salenko,Bulgaria / Russia,6,June 17,July 17,Pasadena,No,Knockout,a3ec4220-ffd5-46e2-af02-731fdfe4923e,2026-07-18T10:55:41.932720,wc_all_editions.xml,XML,f4baacd1-078b-4952-a47b-082060e69a66
16,1998,France,France,Brazil,Croatia,Netherlands,32,64,171,2.67,2785100,Davor Šuker,Croatia,6,June 10,July 12,Paris,Yes,Knockout,a2af2a9e-4134-4478-84ae-16611e107241,2026-07-18T10:55:41.932720,wc_all_editions.xml,XML,f4baacd1-078b-4952-a47b-082060e69a66
17,2002,South Korea / Japan,Brazil,Germany,Turkey,South Korea,32,64,161,2.52,2705197,Ronaldo,Brazil,8,May 31,June 30,Yokohama,No,Knockout,f48d7bf0-a68b-4735-a4fb-31502453aa49,2026-07-18T10:55:41.932720,wc_all_editions.xml,XML,f4baacd1-078b-4952-a47b-082060e69a66
18,2006,Germany,Italy,France,Germany,Portugal,32,64,147,2.3,3359439,Miroslav Klose,Germany,5,June 9,July 9,Berlin,No,Knockout,d28d3a2d-d0a7-488d-967e-9b755841688f,2026-07-18T10:55:41.932720,wc_all_editions.xml,XML,f4baacd1-078b-4952-a47b-082060e69a66
19,2010,South Africa,Spain,Netherlands,Germany,Uruguay,32,64,145,2.27,3178856,Thomas Müller / Wesley Sneijder / David Villa / Diego Forlán,Multiple,5,June 11,July 11,Johannesburg,No,Knockout,75a6f672-0bac-4b1a-b310-41aac5bd482b,2026-07-18T10:55:41.932720,wc_all_editions.xml,XML,f4baacd1-078b-4952-a47b-082060e69a66
20,2014,Brazil,Germany,Argentina,Netherlands,Brazil,32,64,171,2.67,3429873,James Rodríguez,Colombia,6,June 12,July 13,Rio de Janeiro,No,Knockout,8d618c2e-d8b5-4c58-8dea-d82dd08829c0,2026-07-18T10:55:41.932720,wc_all_editions.xml,XML,f4baacd1-078b-4952-a47b-082060e69a66
21,2018,Russia,France,Croatia,Belgium,England,32,64,169,2.64,3031768,Harry Kane,England,6,June 14,July 15,Moscow,No,Knockout,2956aa69-26c5-4774-abb9-e04ce23941d5,2026-07-18T10:55:41.932720,wc_all_editions.xml,XML,f4baacd1-078b-4952-a47b-082060e69a66
22,2022,Qatar,Argentina,France,Croatia,Morocco,32,64,172,2.69,3404252,Kylian Mbappé,France,8,November 20,December 18,Lusail,No,Knockout,abe96494-befd-47ff-b923-60fadcafa4a5,2026-07-18T10:55:41.932720,wc_all_editions.xml,XML,f4baacd1-078b-4952-a47b-082060e69a66
