edition,year,host,champion,runner_up,third_place,fourth_place,teams,matches,goals,goals_per_match,attendance,top_scorer,top_scorer_country,top_scorer_goals,start_date,end_date,final_city,host_won,format,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1,1930,Uruguay,Uruguay,Argentina,United States,Yugoslavia,13,18,70,3.89,590549,Guillermo Stábile,Argentina,8,July 13,July 30,Montevideo,No,Round Robin,1b938f10-b9b8-4bfd-bb1e-e672a3eb822d,2026-07-21T14:38:45.570807,wc_all_editions.xml,XML,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
2,1934,Italy,Italy,Czechoslovakia,Germany,Austria,16,17,70,4.12,363000,Oldřich Nejedlý,Czechoslovakia,5,May 27,June 10,Rome,Yes,Knockout,98e2cbe7-4ab5-4378-b82a-b9fb639afaa5,2026-07-21T14:38:45.570807,wc_all_editions.xml,XML,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
3,1938,France,Italy,Hungary,Brazil,Sweden,15,18,84,4.67,375700,Leônidas,Brazil,7,June 4,June 19,Paris,Yes,Knockout,0cdc092f-5590-4752-9a3e-59f3dd502f14,2026-07-21T14:38:45.570807,wc_all_editions.xml,XML,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
4,1950,Brazil,Uruguay,Brazil,Sweden,Spain,13,22,88,4.0,1045246,Ademir,Brazil,8,June 24,July 16,Rio de Janeiro,No,Round Robin Final,707fda37-5936-4eaa-8e7f-2b9d2fec9420,2026-07-21T14:38:45.570807,wc_all_editions.xml,XML,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
5,1954,Switzerland,West Germany,Hungary,Austria,Uruguay,16,26,140,5.38,768607,Sándor Kocsis,Hungary,11,June 16,July 4,Bern,No,Knockout,942f0978-6290-4dfe-8c5e-640a18febf1b,2026-07-21T14:38:45.570807,wc_all_editions.xml,XML,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
6,1958,Sweden,Brazil,Sweden,France,West Germany,16,35,126,3.6,819810,Just Fontaine,France,13,June 8,June 29,Stockholm,No,Knockout,4fda592c-8abc-485e-a99e-83b0783dd4fb,2026-07-21T14:38:45.570807,wc_all_editions.xml,XML,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
7,1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,16,32,89,2.78,893172,Florian Albert / Garrincha / Valentin Ivanov / Leonel Sánchez / Dražan Jerković / Vavá,Multiple,4,May 30,June 17,Santiago,No,Knockout,e0d0f507-90f1-402c-89e9-379e0e83b5f3,2026-07-21T14:38:45.570807,wc_all_editions.xml,XML,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
8,1966,England,England,West Germany,Portugal,Soviet Union,16,32,89,2.78,1563135,Eusébio,Portugal,9,July 11,July 30,London,Yes,Knockout,78e8a1cc-2a94-419f-afad-7c9996180ccb,2026-07-21T14:38:45.570807,wc_all_editions.xml,XML,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
9,1970,Mexico,Brazil,Italy,West Germany,Uruguay,16,32,95,2.97,1603975,Gerd Müller,West Germany,10,May 31,June 21,Mexico City,No,Knockout,31091b49-8cca-45f5-b25d-f0cbacbe0b91,2026-07-21T14:38:45.570807,wc_all_editions.xml,XML,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
10,1974,West Germany,West Germany,Netherlands,Poland,Brazil,16,38,97,2.55,1865753,Grzegorz Lato,Poland,7,June 13,July 7,Munich,Yes,Knockout,1b75c88c-b740-4ca2-86b6-26850f43a1d6,2026-07-21T14:38:45.570807,wc_all_editions.xml,XML,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
11,1978,Argentina,Argentina,Netherlands,Brazil,Italy,16,38,102,2.68,1545791,Mario Kempes,Argentina,6,June 1,June 25,Buenos Aires,Yes,Knockout,4f99c57e-53ff-42a0-9b76-36f756be34d0,2026-07-21T14:38:45.570807,wc_all_editions.xml,XML,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
12,1982,Spain,Italy,West Germany,Poland,France,24,52,146,2.81,1766277,Paolo Rossi,Italy,6,June 13,July 11,Madrid,No,Knockout,f2f4e96e-36ca-472f-adc8-da6f999042cf,2026-07-21T14:38:45.570807,wc_all_editions.xml,XML,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
