edition,year,host,champion,runner_up,third_place,fourth_place,teams,matches,goals,goals_per_match,attendance,top_scorer,top_scorer_country,top_scorer_goals,start_date,end_date,final_city,host_won,format,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1,1930,Uruguay,Uruguay,Argentina,United States,Yugoslavia,13,18,70,3.89,590549,Guillermo Stábile,Argentina,8,July 13,July 30,Montevideo,No,Round Robin,d084cadc-b1db-46fb-b66e-9205fe0520f2,2026-07-26T12:10:03.383558,wc_all_editions.xml,XML,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
2,1934,Italy,Italy,Czechoslovakia,Germany,Austria,16,17,70,4.12,363000,Oldřich Nejedlý,Czechoslovakia,5,May 27,June 10,Rome,Yes,Knockout,37a8ffdd-2c7b-410a-a9de-137fafb11510,2026-07-26T12:10:03.383558,wc_all_editions.xml,XML,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
3,1938,France,Italy,Hungary,Brazil,Sweden,15,18,84,4.67,375700,Leônidas,Brazil,7,June 4,June 19,Paris,Yes,Knockout,245f28fc-94ad-4e56-83ec-a651640200be,2026-07-26T12:10:03.383558,wc_all_editions.xml,XML,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
4,1950,Brazil,Uruguay,Brazil,Sweden,Spain,13,22,88,4.0,1045246,Ademir,Brazil,8,June 24,July 16,Rio de Janeiro,No,Round Robin Final,2dc31c8c-7276-44fb-b8fc-542b3a81321a,2026-07-26T12:10:03.383558,wc_all_editions.xml,XML,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
5,1954,Switzerland,West Germany,Hungary,Austria,Uruguay,16,26,140,5.38,768607,Sándor Kocsis,Hungary,11,June 16,July 4,Bern,No,Knockout,2138bbbc-ee27-4173-91b2-ccefa243eed1,2026-07-26T12:10:03.383558,wc_all_editions.xml,XML,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
6,1958,Sweden,Brazil,Sweden,France,West Germany,16,35,126,3.6,819810,Just Fontaine,France,13,June 8,June 29,Stockholm,No,Knockout,506e88be-5d50-46b5-a583-4623c67a5a31,2026-07-26T12:10:03.383558,wc_all_editions.xml,XML,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
7,1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,16,32,89,2.78,893172,Florian Albert / Garrincha / Valentin Ivanov / Leonel Sánchez / Dražan Jerković / Vavá,Multiple,4,May 30,June 17,Santiago,No,Knockout,4c7678ac-d18b-438f-ba8a-e73aae1e3e1d,2026-07-26T12:10:03.383558,wc_all_editions.xml,XML,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
8,1966,England,England,West Germany,Portugal,Soviet Union,16,32,89,2.78,1563135,Eusébio,Portugal,9,July 11,July 30,London,Yes,Knockout,b3ddfbe7-0205-472c-a9ec-7d859b8fe383,2026-07-26T12:10:03.383558,wc_all_editions.xml,XML,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
9,1970,Mexico,Brazil,Italy,West Germany,Uruguay,16,32,95,2.97,1603975,Gerd Müller,West Germany,10,May 31,June 21,Mexico City,No,Knockout,af26a635-c7f4-42a4-a7f3-cd0e96c555a1,2026-07-26T12:10:03.383558,wc_all_editions.xml,XML,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
10,1974,West Germany,West Germany,Netherlands,Poland,Brazil,16,38,97,2.55,1865753,Grzegorz Lato,Poland,7,June 13,July 7,Munich,Yes,Knockout,e0edf861-725e-4747-8e04-f7fbfa1352af,2026-07-26T12:10:03.383558,wc_all_editions.xml,XML,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
11,1978,Argentina,Argentina,Netherlands,Brazil,Italy,16,38,102,2.68,1545791,Mario Kempes,Argentina,6,June 1,June 25,Buenos Aires,Yes,Knockout,e2c53a04-9212-4b0a-b779-ffc706607607,2026-07-26T12:10:03.383558,wc_all_editions.xml,XML,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
12,1982,Spain,Italy,West Germany,Poland,France,24,52,146,2.81,1766277,Paolo Rossi,Italy,6,June 13,July 11,Madrid,No,Knockout,f7341dd5-99e0-4e4b-9096-e55cdd9803c4,2026-07-26T12:10:03.383558,wc_all_editions.xml,XML,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
13,1986,Mexico,Argentina,West Germany,France,Belgium,24,52,132,2.54,2394031,Gary Lineker,England,6,May 31,June 29,Mexico City,No,Knockout,378184f2-beb5-4df6-b088-f3dda913ab06,2026-07-26T12:10:03.383558,wc_all_editions.xml,XML,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
14,1990,Italy,West Germany,Argentina,Italy,England,24,52,115,2.21,2516215,Salvatore Schillaci,Italy,6,June 8,July 8,Rome,No,Knockout,5a8c4ed7-1ff0-4dc4-b67c-964f5cfdaba7,2026-07-26T12:10:03.383558,wc_all_editions.xml,XML,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
15,1994,United States,Brazil,Italy,Sweden,Bulgaria,24,52,141,2.71,3587538,Hristo Stoichkov / Oleg Salenko,Bulgaria / Russia,6,June 17,July 17,Pasadena,No,Knockout,28514196-dc00-499e-a350-5fef09a2684c,2026-07-26T12:10:03.383558,wc_all_editions.xml,XML,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
16,1998,France,France,Brazil,Croatia,Netherlands,32,64,171,2.67,2785100,Davor Šuker,Croatia,6,June 10,July 12,Paris,Yes,Knockout,298a3653-7a52-4fa2-b99f-f5b6cce9389c,2026-07-26T12:10:03.383558,wc_all_editions.xml,XML,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
17,2002,South Korea / Japan,Brazil,Germany,Turkey,South Korea,32,64,161,2.52,2705197,Ronaldo,Brazil,8,May 31,June 30,Yokohama,No,Knockout,bb3119c6-4c5f-4a67-ab98-71b6ce63e126,2026-07-26T12:10:03.383558,wc_all_editions.xml,XML,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
18,2006,Germany,Italy,France,Germany,Portugal,32,64,147,2.3,3359439,Miroslav Klose,Germany,5,June 9,July 9,Berlin,No,Knockout,c1247106-9536-4b23-b509-c72e8832129d,2026-07-26T12:10:03.383558,wc_all_editions.xml,XML,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
19,2010,South Africa,Spain,Netherlands,Germany,Uruguay,32,64,145,2.27,3178856,Thomas Müller / Wesley Sneijder / David Villa / Diego Forlán,Multiple,5,June 11,July 11,Johannesburg,No,Knockout,dc0b123c-756d-4e3b-9519-c1530eb1cb6b,2026-07-26T12:10:03.383558,wc_all_editions.xml,XML,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
20,2014,Brazil,Germany,Argentina,Netherlands,Brazil,32,64,171,2.67,3429873,James Rodríguez,Colombia,6,June 12,July 13,Rio de Janeiro,No,Knockout,6956b434-b034-479d-b190-8f59107b7df2,2026-07-26T12:10:03.383558,wc_all_editions.xml,XML,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
21,2018,Russia,France,Croatia,Belgium,England,32,64,169,2.64,3031768,Harry Kane,England,6,June 14,July 15,Moscow,No,Knockout,c7c4f6a2-550f-41ca-a6f3-46619359ec48,2026-07-26T12:10:03.383558,wc_all_editions.xml,XML,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
22,2022,Qatar,Argentina,France,Croatia,Morocco,32,64,172,2.69,3404252,Kylian Mbappé,France,8,November 20,December 18,Lusail,No,Knockout,cb0e9932-ed79-4f42-882a-aa09ac8ea904,2026-07-26T12:10:03.383558,wc_all_editions.xml,XML,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
