edition,year,host,champion,runner_up,third_place,fourth_place,teams,matches,goals,goals_per_match,attendance,top_scorer,top_scorer_country,top_scorer_goals,start_date,end_date,final_city,host_won,format,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1,1930,Uruguay,Uruguay,Argentina,United States,Yugoslavia,13,18,70,3.89,590549,Guillermo Stábile,Argentina,8,July 13,July 30,Montevideo,No,Round Robin,b2586b6a-0a9e-4136-86d7-0b5d9f532bf3,2026-07-28T05:03:01.296337,wc_all_editions.xml,XML,manual__2026-07-28T05:02:53.729063+00:00
2,1934,Italy,Italy,Czechoslovakia,Germany,Austria,16,17,70,4.12,363000,Oldřich Nejedlý,Czechoslovakia,5,May 27,June 10,Rome,Yes,Knockout,48160691-6e83-4e69-9ad7-e50c3c5c0f8c,2026-07-28T05:03:01.296337,wc_all_editions.xml,XML,manual__2026-07-28T05:02:53.729063+00:00
3,1938,France,Italy,Hungary,Brazil,Sweden,15,18,84,4.67,375700,Leônidas,Brazil,7,June 4,June 19,Paris,Yes,Knockout,77a43c22-1d98-47b1-89eb-bc771f148970,2026-07-28T05:03:01.296337,wc_all_editions.xml,XML,manual__2026-07-28T05:02:53.729063+00:00
4,1950,Brazil,Uruguay,Brazil,Sweden,Spain,13,22,88,4.0,1045246,Ademir,Brazil,8,June 24,July 16,Rio de Janeiro,No,Round Robin Final,1ac93ba9-9110-4560-9972-69d682f033e7,2026-07-28T05:03:01.296337,wc_all_editions.xml,XML,manual__2026-07-28T05:02:53.729063+00:00
5,1954,Switzerland,West Germany,Hungary,Austria,Uruguay,16,26,140,5.38,768607,Sándor Kocsis,Hungary,11,June 16,July 4,Bern,No,Knockout,b819a05f-bbec-4cac-83c4-6e63861be4be,2026-07-28T05:03:01.296337,wc_all_editions.xml,XML,manual__2026-07-28T05:02:53.729063+00:00
6,1958,Sweden,Brazil,Sweden,France,West Germany,16,35,126,3.6,819810,Just Fontaine,France,13,June 8,June 29,Stockholm,No,Knockout,112be278-ba86-4caa-83b1-6608ceb6a66b,2026-07-28T05:03:01.296337,wc_all_editions.xml,XML,manual__2026-07-28T05:02:53.729063+00:00
7,1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,16,32,89,2.78,893172,Florian Albert / Garrincha / Valentin Ivanov / Leonel Sánchez / Dražan Jerković / Vavá,Multiple,4,May 30,June 17,Santiago,No,Knockout,3c865ca0-22ef-4b51-9a01-4d96be6a8f08,2026-07-28T05:03:01.296337,wc_all_editions.xml,XML,manual__2026-07-28T05:02:53.729063+00:00
8,1966,England,England,West Germany,Portugal,Soviet Union,16,32,89,2.78,1563135,Eusébio,Portugal,9,July 11,July 30,London,Yes,Knockout,565d320b-de8e-477a-a1aa-07a528d211fe,2026-07-28T05:03:01.296337,wc_all_editions.xml,XML,manual__2026-07-28T05:02:53.729063+00:00
9,1970,Mexico,Brazil,Italy,West Germany,Uruguay,16,32,95,2.97,1603975,Gerd Müller,West Germany,10,May 31,June 21,Mexico City,No,Knockout,d14a710d-611e-456a-ac97-17a544b51a4e,2026-07-28T05:03:01.296337,wc_all_editions.xml,XML,manual__2026-07-28T05:02:53.729063+00:00
10,1974,West Germany,West Germany,Netherlands,Poland,Brazil,16,38,97,2.55,1865753,Grzegorz Lato,Poland,7,June 13,July 7,Munich,Yes,Knockout,f20e9790-d6c0-4c61-9b80-c251142f46b3,2026-07-28T05:03:01.296337,wc_all_editions.xml,XML,manual__2026-07-28T05:02:53.729063+00:00
11,1978,Argentina,Argentina,Netherlands,Brazil,Italy,16,38,102,2.68,1545791,Mario Kempes,Argentina,6,June 1,June 25,Buenos Aires,Yes,Knockout,7ed497ad-951e-454e-b30e-31ccf0586499,2026-07-28T05:03:01.296337,wc_all_editions.xml,XML,manual__2026-07-28T05:02:53.729063+00:00
12,1982,Spain,Italy,West Germany,Poland,France,24,52,146,2.81,1766277,Paolo Rossi,Italy,6,June 13,July 11,Madrid,No,Knockout,a836330d-7a1c-4128-a289-fdb95ebe6e69,2026-07-28T05:03:01.296337,wc_all_editions.xml,XML,manual__2026-07-28T05:02:53.729063+00:00
13,1986,Mexico,Argentina,West Germany,France,Belgium,24,52,132,2.54,2394031,Gary Lineker,England,6,May 31,June 29,Mexico City,No,Knockout,358c200d-51b4-4cdb-9700-0acba690a734,2026-07-28T05:03:01.296337,wc_all_editions.xml,XML,manual__2026-07-28T05:02:53.729063+00:00
14,1990,Italy,West Germany,Argentina,Italy,England,24,52,115,2.21,2516215,Salvatore Schillaci,Italy,6,June 8,July 8,Rome,No,Knockout,62ef33cc-3f2a-4f04-9a00-95d83f6fed8f,2026-07-28T05:03:01.296337,wc_all_editions.xml,XML,manual__2026-07-28T05:02:53.729063+00:00
15,1994,United States,Brazil,Italy,Sweden,Bulgaria,24,52,141,2.71,3587538,Hristo Stoichkov / Oleg Salenko,Bulgaria / Russia,6,June 17,July 17,Pasadena,No,Knockout,2e251a02-da68-4ae7-a427-c7a812b3cf03,2026-07-28T05:03:01.296337,wc_all_editions.xml,XML,manual__2026-07-28T05:02:53.729063+00:00
16,1998,France,France,Brazil,Croatia,Netherlands,32,64,171,2.67,2785100,Davor Šuker,Croatia,6,June 10,July 12,Paris,Yes,Knockout,9acdcc58-ae8d-4bb8-883a-ec09a4e1a955,2026-07-28T05:03:01.296337,wc_all_editions.xml,XML,manual__2026-07-28T05:02:53.729063+00:00
17,2002,South Korea / Japan,Brazil,Germany,Turkey,South Korea,32,64,161,2.52,2705197,Ronaldo,Brazil,8,May 31,June 30,Yokohama,No,Knockout,0fb36a56-35cd-4d05-ae9e-cd5e852fbce8,2026-07-28T05:03:01.296337,wc_all_editions.xml,XML,manual__2026-07-28T05:02:53.729063+00:00
18,2006,Germany,Italy,France,Germany,Portugal,32,64,147,2.3,3359439,Miroslav Klose,Germany,5,June 9,July 9,Berlin,No,Knockout,372939a3-fe35-47b7-a1b2-aa57b8b50c63,2026-07-28T05:03:01.296337,wc_all_editions.xml,XML,manual__2026-07-28T05:02:53.729063+00:00
19,2010,South Africa,Spain,Netherlands,Germany,Uruguay,32,64,145,2.27,3178856,Thomas Müller / Wesley Sneijder / David Villa / Diego Forlán,Multiple,5,June 11,July 11,Johannesburg,No,Knockout,6c26f51d-9d93-46bf-a651-3756c3418816,2026-07-28T05:03:01.296337,wc_all_editions.xml,XML,manual__2026-07-28T05:02:53.729063+00:00
20,2014,Brazil,Germany,Argentina,Netherlands,Brazil,32,64,171,2.67,3429873,James Rodríguez,Colombia,6,June 12,July 13,Rio de Janeiro,No,Knockout,7b49c406-eafd-493f-8448-c3dfc5c3f7d9,2026-07-28T05:03:01.296337,wc_all_editions.xml,XML,manual__2026-07-28T05:02:53.729063+00:00
21,2018,Russia,France,Croatia,Belgium,England,32,64,169,2.64,3031768,Harry Kane,England,6,June 14,July 15,Moscow,No,Knockout,cf0c5813-d888-4914-b3b6-09acf4dc2b62,2026-07-28T05:03:01.296337,wc_all_editions.xml,XML,manual__2026-07-28T05:02:53.729063+00:00
22,2022,Qatar,Argentina,France,Croatia,Morocco,32,64,172,2.69,3404252,Kylian Mbappé,France,8,November 20,December 18,Lusail,No,Knockout,7ec4b4de-45c9-4c94-a5ce-06f161296b34,2026-07-28T05:03:01.296337,wc_all_editions.xml,XML,manual__2026-07-28T05:02:53.729063+00:00
