edition,year,host,champion,runner_up,third_place,fourth_place,teams,matches,goals,goals_per_match,attendance,top_scorer,top_scorer_country,top_scorer_goals,start_date,end_date,final_city,host_won,format,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1,1930,Uruguay,Uruguay,Argentina,United States,Yugoslavia,13,18,70,3.89,590549,Guillermo Stábile,Argentina,8,July 13,July 30,Montevideo,No,Round Robin,1062c6bc-7eda-4f8d-9a9c-c213759eb259,2026-08-04T15:13:24.721502,wc_all_editions.xml,XML,2d3566d1-cabc-43d5-a1c3-519cc333b41c
2,1934,Italy,Italy,Czechoslovakia,Germany,Austria,16,17,70,4.12,363000,Oldřich Nejedlý,Czechoslovakia,5,May 27,June 10,Rome,Yes,Knockout,54bddc0b-1ef3-4af6-9355-99252046054b,2026-08-04T15:13:24.721502,wc_all_editions.xml,XML,2d3566d1-cabc-43d5-a1c3-519cc333b41c
3,1938,France,Italy,Hungary,Brazil,Sweden,15,18,84,4.67,375700,Leônidas,Brazil,7,June 4,June 19,Paris,Yes,Knockout,3c860075-4b10-4108-a0f0-a619dbef0630,2026-08-04T15:13:24.721502,wc_all_editions.xml,XML,2d3566d1-cabc-43d5-a1c3-519cc333b41c
4,1950,Brazil,Uruguay,Brazil,Sweden,Spain,13,22,88,4.0,1045246,Ademir,Brazil,8,June 24,July 16,Rio de Janeiro,No,Round Robin Final,2c301881-7ce3-47b6-b7d9-cdaa9a9be426,2026-08-04T15:13:24.721502,wc_all_editions.xml,XML,2d3566d1-cabc-43d5-a1c3-519cc333b41c
5,1954,Switzerland,West Germany,Hungary,Austria,Uruguay,16,26,140,5.38,768607,Sándor Kocsis,Hungary,11,June 16,July 4,Bern,No,Knockout,c23531aa-f665-4bbc-96c0-fac6b7f11042,2026-08-04T15:13:24.721502,wc_all_editions.xml,XML,2d3566d1-cabc-43d5-a1c3-519cc333b41c
6,1958,Sweden,Brazil,Sweden,France,West Germany,16,35,126,3.6,819810,Just Fontaine,France,13,June 8,June 29,Stockholm,No,Knockout,99e36bc8-07d3-4384-bcfa-baa505cdf708,2026-08-04T15:13:24.721502,wc_all_editions.xml,XML,2d3566d1-cabc-43d5-a1c3-519cc333b41c
7,1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,16,32,89,2.78,893172,Florian Albert / Garrincha / Valentin Ivanov / Leonel Sánchez / Dražan Jerković / Vavá,Multiple,4,May 30,June 17,Santiago,No,Knockout,f917ccd5-fd20-435e-b1ce-85c7e0a946ae,2026-08-04T15:13:24.721502,wc_all_editions.xml,XML,2d3566d1-cabc-43d5-a1c3-519cc333b41c
8,1966,England,England,West Germany,Portugal,Soviet Union,16,32,89,2.78,1563135,Eusébio,Portugal,9,July 11,July 30,London,Yes,Knockout,d592ad6d-b418-4778-84e2-b98f1e0d1c1a,2026-08-04T15:13:24.721502,wc_all_editions.xml,XML,2d3566d1-cabc-43d5-a1c3-519cc333b41c
9,1970,Mexico,Brazil,Italy,West Germany,Uruguay,16,32,95,2.97,1603975,Gerd Müller,West Germany,10,May 31,June 21,Mexico City,No,Knockout,afc2c05f-4c8b-4f24-b68f-3d000ec6408d,2026-08-04T15:13:24.721502,wc_all_editions.xml,XML,2d3566d1-cabc-43d5-a1c3-519cc333b41c
10,1974,West Germany,West Germany,Netherlands,Poland,Brazil,16,38,97,2.55,1865753,Grzegorz Lato,Poland,7,June 13,July 7,Munich,Yes,Knockout,3ec8e586-dc05-4753-8e94-d5fb5e4423fd,2026-08-04T15:13:24.721502,wc_all_editions.xml,XML,2d3566d1-cabc-43d5-a1c3-519cc333b41c
11,1978,Argentina,Argentina,Netherlands,Brazil,Italy,16,38,102,2.68,1545791,Mario Kempes,Argentina,6,June 1,June 25,Buenos Aires,Yes,Knockout,db960753-1cf2-48f2-80bf-70e2b0425f71,2026-08-04T15:13:24.721502,wc_all_editions.xml,XML,2d3566d1-cabc-43d5-a1c3-519cc333b41c
12,1982,Spain,Italy,West Germany,Poland,France,24,52,146,2.81,1766277,Paolo Rossi,Italy,6,June 13,July 11,Madrid,No,Knockout,7386ad61-ca3f-4817-afbe-acfd57b69a0d,2026-08-04T15:13:24.721502,wc_all_editions.xml,XML,2d3566d1-cabc-43d5-a1c3-519cc333b41c
