edition,year,host,champion,runner_up,third_place,fourth_place,teams,matches,goals,goals_per_match,attendance,top_scorer,top_scorer_country,top_scorer_goals,start_date,end_date,final_city,host_won,format,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1,1930,Uruguay,Uruguay,Argentina,United States,Yugoslavia,13,18,70,3.89,590549,Guillermo Stábile,Argentina,8,July 13,July 30,Montevideo,No,Round Robin,c6c749a4-e81d-454c-aacf-c687accb41f3,2026-08-04T15:11:40.494660,wc_all_editions.xml,XML,9f0e5095-15e8-4beb-a8cf-96ee5597f451
2,1934,Italy,Italy,Czechoslovakia,Germany,Austria,16,17,70,4.12,363000,Oldřich Nejedlý,Czechoslovakia,5,May 27,June 10,Rome,Yes,Knockout,176a3e28-da63-4ab4-91db-c164d2dba344,2026-08-04T15:11:40.494660,wc_all_editions.xml,XML,9f0e5095-15e8-4beb-a8cf-96ee5597f451
3,1938,France,Italy,Hungary,Brazil,Sweden,15,18,84,4.67,375700,Leônidas,Brazil,7,June 4,June 19,Paris,Yes,Knockout,a0ddd776-afbc-4d2a-880e-594f6a769c7d,2026-08-04T15:11:40.494660,wc_all_editions.xml,XML,9f0e5095-15e8-4beb-a8cf-96ee5597f451
4,1950,Brazil,Uruguay,Brazil,Sweden,Spain,13,22,88,4.0,1045246,Ademir,Brazil,8,June 24,July 16,Rio de Janeiro,No,Round Robin Final,092c7415-6527-4fdc-92d1-93dfd50f23d1,2026-08-04T15:11:40.494660,wc_all_editions.xml,XML,9f0e5095-15e8-4beb-a8cf-96ee5597f451
5,1954,Switzerland,West Germany,Hungary,Austria,Uruguay,16,26,140,5.38,768607,Sándor Kocsis,Hungary,11,June 16,July 4,Bern,No,Knockout,2873870e-cb97-4dd2-8dd4-724419bfa3ca,2026-08-04T15:11:40.494660,wc_all_editions.xml,XML,9f0e5095-15e8-4beb-a8cf-96ee5597f451
6,1958,Sweden,Brazil,Sweden,France,West Germany,16,35,126,3.6,819810,Just Fontaine,France,13,June 8,June 29,Stockholm,No,Knockout,ba5a8344-eaff-4a3d-9f9e-0bcebbd998e7,2026-08-04T15:11:40.494660,wc_all_editions.xml,XML,9f0e5095-15e8-4beb-a8cf-96ee5597f451
7,1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,16,32,89,2.78,893172,Florian Albert / Garrincha / Valentin Ivanov / Leonel Sánchez / Dražan Jerković / Vavá,Multiple,4,May 30,June 17,Santiago,No,Knockout,6b919725-111f-4dc8-b3c1-d3677605cffb,2026-08-04T15:11:40.494660,wc_all_editions.xml,XML,9f0e5095-15e8-4beb-a8cf-96ee5597f451
8,1966,England,England,West Germany,Portugal,Soviet Union,16,32,89,2.78,1563135,Eusébio,Portugal,9,July 11,July 30,London,Yes,Knockout,4e3899bf-d27f-463b-b2d8-a37885684f9d,2026-08-04T15:11:40.494660,wc_all_editions.xml,XML,9f0e5095-15e8-4beb-a8cf-96ee5597f451
9,1970,Mexico,Brazil,Italy,West Germany,Uruguay,16,32,95,2.97,1603975,Gerd Müller,West Germany,10,May 31,June 21,Mexico City,No,Knockout,39eaa037-5840-4764-bf28-3eb780c173e3,2026-08-04T15:11:40.494660,wc_all_editions.xml,XML,9f0e5095-15e8-4beb-a8cf-96ee5597f451
10,1974,West Germany,West Germany,Netherlands,Poland,Brazil,16,38,97,2.55,1865753,Grzegorz Lato,Poland,7,June 13,July 7,Munich,Yes,Knockout,3bea4aed-f82d-4dda-9e1a-79b85fc16f96,2026-08-04T15:11:40.494660,wc_all_editions.xml,XML,9f0e5095-15e8-4beb-a8cf-96ee5597f451
