edition,year,host,champion,runner_up,third_place,fourth_place,teams,matches,goals,goals_per_match,attendance,top_scorer,top_scorer_country,top_scorer_goals,start_date,end_date,final_city,host_won,format,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1,1930,Uruguay,Uruguay,Argentina,United States,Yugoslavia,13,18,70,3.89,590549,Guillermo Stábile,Argentina,8,July 13,July 30,Montevideo,No,Round Robin,82f76f10-37dd-48d8-bcd2-c037ba30f1b2,2026-08-12T14:05:50.562434,wc_all_editions.json,JSON,25b2cec1-a2e7-40bd-b723-45f012e1729e
2,1934,Italy,Italy,Czechoslovakia,Germany,Austria,16,17,70,4.12,363000,Oldřich Nejedlý,Czechoslovakia,5,May 27,June 10,Rome,Yes,Knockout,fcdaf6b7-271f-49dc-9539-a7fdeaacdaec,2026-08-12T14:05:50.562434,wc_all_editions.json,JSON,25b2cec1-a2e7-40bd-b723-45f012e1729e
3,1938,France,Italy,Hungary,Brazil,Sweden,15,18,84,4.67,375700,Leônidas,Brazil,7,June 4,June 19,Paris,Yes,Knockout,7afbd3f8-f790-4e75-8d9a-3a54dcec8269,2026-08-12T14:05:50.562434,wc_all_editions.json,JSON,25b2cec1-a2e7-40bd-b723-45f012e1729e
4,1950,Brazil,Uruguay,Brazil,Sweden,Spain,13,22,88,4.0,1045246,Ademir,Brazil,8,June 24,July 16,Rio de Janeiro,No,Round Robin Final,407fdf3e-9511-4918-9d44-30afcfa16879,2026-08-12T14:05:50.562434,wc_all_editions.json,JSON,25b2cec1-a2e7-40bd-b723-45f012e1729e
5,1954,Switzerland,West Germany,Hungary,Austria,Uruguay,16,26,140,5.38,768607,Sándor Kocsis,Hungary,11,June 16,July 4,Bern,No,Knockout,7b256c67-fa34-42a4-8495-a3d8958effa3,2026-08-12T14:05:50.562434,wc_all_editions.json,JSON,25b2cec1-a2e7-40bd-b723-45f012e1729e
6,1958,Sweden,Brazil,Sweden,France,West Germany,16,35,126,3.6,819810,Just Fontaine,France,13,June 8,June 29,Stockholm,No,Knockout,d9157143-0789-4553-8ea3-b60b8c130cc9,2026-08-12T14:05:50.562434,wc_all_editions.json,JSON,25b2cec1-a2e7-40bd-b723-45f012e1729e
7,1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,16,32,89,2.7800000000000002,893172,Florian Albert / Garrincha / Valentin Ivanov / Leonel Sánchez / Dražan Jerković / Vavá,Multiple,4,May 30,June 17,Santiago,No,Knockout,e7ec8851-3bd2-45e3-96f0-dcd777ade73c,2026-08-12T14:05:50.562434,wc_all_editions.json,JSON,25b2cec1-a2e7-40bd-b723-45f012e1729e
8,1966,England,England,West Germany,Portugal,Soviet Union,16,32,89,2.7800000000000002,1563135,Eusébio,Portugal,9,July 11,July 30,London,Yes,Knockout,91d2792e-54a2-4f35-ad8e-97cdf38d41ee,2026-08-12T14:05:50.562434,wc_all_editions.json,JSON,25b2cec1-a2e7-40bd-b723-45f012e1729e
9,1970,Mexico,Brazil,Italy,West Germany,Uruguay,16,32,95,2.9699999999999998,1603975,Gerd Müller,West Germany,10,May 31,June 21,Mexico City,No,Knockout,07f01e8b-aafa-45d1-8a34-7590cb46da35,2026-08-12T14:05:50.562434,wc_all_editions.json,JSON,25b2cec1-a2e7-40bd-b723-45f012e1729e
10,1974,West Germany,West Germany,Netherlands,Poland,Brazil,16,38,97,2.55,1865753,Grzegorz Lato,Poland,7,June 13,July 7,Munich,Yes,Knockout,86ff61dd-64f6-4cf3-96bb-b4f964223442,2026-08-12T14:05:50.562434,wc_all_editions.json,JSON,25b2cec1-a2e7-40bd-b723-45f012e1729e
11,1978,Argentina,Argentina,Netherlands,Brazil,Italy,16,38,102,2.68,1545791,Mario Kempes,Argentina,6,June 1,June 25,Buenos Aires,Yes,Knockout,b8894c57-1fc7-494c-9aaa-c48fbb0b549e,2026-08-12T14:05:50.562434,wc_all_editions.json,JSON,25b2cec1-a2e7-40bd-b723-45f012e1729e
12,1982,Spain,Italy,West Germany,Poland,France,24,52,146,2.81,1766277,Paolo Rossi,Italy,6,June 13,July 11,Madrid,No,Knockout,f55ade90-01c4-4af7-92c2-759cc03379ab,2026-08-12T14:05:50.562434,wc_all_editions.json,JSON,25b2cec1-a2e7-40bd-b723-45f012e1729e
