edition,year,host,champion,runner_up,third_place,fourth_place,teams,matches,goals,goals_per_match,attendance,top_scorer,top_scorer_country,top_scorer_goals,start_date,end_date,final_city,host_won,format,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1,1930,Uruguay,Uruguay,Argentina,United States,Yugoslavia,13,18,70,3.89,590549,Guillermo Stábile,Argentina,8,July 13,July 30,Montevideo,No,Round Robin,6d36a3f4-868b-4a7b-a135-6f893237f0aa,2026-08-12T13:39:31.805924,wc_all_editions.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
2,1934,Italy,Italy,Czechoslovakia,Germany,Austria,16,17,70,4.12,363000,Oldřich Nejedlý,Czechoslovakia,5,May 27,June 10,Rome,Yes,Knockout,6c8bb134-521b-4f7d-9804-11f2739c8fbc,2026-08-12T13:39:31.805924,wc_all_editions.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
3,1938,France,Italy,Hungary,Brazil,Sweden,15,18,84,4.67,375700,Leônidas,Brazil,7,June 4,June 19,Paris,Yes,Knockout,567ad5fd-7cac-4e84-a8d6-6619097c97ba,2026-08-12T13:39:31.805924,wc_all_editions.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
4,1950,Brazil,Uruguay,Brazil,Sweden,Spain,13,22,88,4.0,1045246,Ademir,Brazil,8,June 24,July 16,Rio de Janeiro,No,Round Robin Final,1a9bda82-20d6-4de3-a792-c5bc1bee6ef1,2026-08-12T13:39:31.805924,wc_all_editions.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
5,1954,Switzerland,West Germany,Hungary,Austria,Uruguay,16,26,140,5.38,768607,Sándor Kocsis,Hungary,11,June 16,July 4,Bern,No,Knockout,48c306c6-b6d3-4ddd-9e58-22f7d4e1e695,2026-08-12T13:39:31.805924,wc_all_editions.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
6,1958,Sweden,Brazil,Sweden,France,West Germany,16,35,126,3.6,819810,Just Fontaine,France,13,June 8,June 29,Stockholm,No,Knockout,4b3b0da3-0dee-4521-b9e2-3d6a048766d1,2026-08-12T13:39:31.805924,wc_all_editions.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
7,1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,16,32,89,2.7800000000000002,893172,Florian Albert / Garrincha / Valentin Ivanov / Leonel Sánchez / Dražan Jerković / Vavá,Multiple,4,May 30,June 17,Santiago,No,Knockout,a0073c71-559c-465e-898c-03654866c73f,2026-08-12T13:39:31.805924,wc_all_editions.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
8,1966,England,England,West Germany,Portugal,Soviet Union,16,32,89,2.7800000000000002,1563135,Eusébio,Portugal,9,July 11,July 30,London,Yes,Knockout,38c0eaeb-03f4-4a56-9139-f3926c8fd606,2026-08-12T13:39:31.805924,wc_all_editions.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
9,1970,Mexico,Brazil,Italy,West Germany,Uruguay,16,32,95,2.9699999999999998,1603975,Gerd Müller,West Germany,10,May 31,June 21,Mexico City,No,Knockout,a6c42ed4-05f6-4678-8704-55ac16ce00db,2026-08-12T13:39:31.805924,wc_all_editions.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
10,1974,West Germany,West Germany,Netherlands,Poland,Brazil,16,38,97,2.55,1865753,Grzegorz Lato,Poland,7,June 13,July 7,Munich,Yes,Knockout,40645b86-3cd2-4eec-80e9-76c43d8a2988,2026-08-12T13:39:31.805924,wc_all_editions.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
11,1978,Argentina,Argentina,Netherlands,Brazil,Italy,16,38,102,2.68,1545791,Mario Kempes,Argentina,6,June 1,June 25,Buenos Aires,Yes,Knockout,fa05988e-faa8-4239-98f3-c84b2ddb0bdb,2026-08-12T13:39:31.805924,wc_all_editions.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
12,1982,Spain,Italy,West Germany,Poland,France,24,52,146,2.81,1766277,Paolo Rossi,Italy,6,June 13,July 11,Madrid,No,Knockout,e434d711-45a7-419b-886d-6206786cb20f,2026-08-12T13:39:31.805924,wc_all_editions.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
13,1986,Mexico,Argentina,West Germany,France,Belgium,24,52,132,2.54,2394031,Gary Lineker,England,6,May 31,June 29,Mexico City,No,Knockout,22ab17cc-61de-464d-a8b0-53b1e869bd44,2026-08-12T13:39:31.805924,wc_all_editions.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
14,1990,Italy,West Germany,Argentina,Italy,England,24,52,115,2.21,2516215,Salvatore Schillaci,Italy,6,June 8,July 8,Rome,No,Knockout,3eb8ca5e-6ec7-4683-be86-c5a24981e3bc,2026-08-12T13:39:31.805924,wc_all_editions.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
15,1994,United States,Brazil,Italy,Sweden,Bulgaria,24,52,141,2.71,3587538,Hristo Stoichkov / Oleg Salenko,Bulgaria / Russia,6,June 17,July 17,Pasadena,No,Knockout,f9ee24a9-b096-46a6-899a-29aeb623d788,2026-08-12T13:39:31.805924,wc_all_editions.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
16,1998,France,France,Brazil,Croatia,Netherlands,32,64,171,2.67,2785100,Davor Šuker,Croatia,6,June 10,July 12,Paris,Yes,Knockout,7238cb72-0d4d-4c40-aeae-f54ff30dc0c3,2026-08-12T13:39:31.805924,wc_all_editions.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
17,2002,South Korea / Japan,Brazil,Germany,Turkey,South Korea,32,64,161,2.52,2705197,Ronaldo,Brazil,8,May 31,June 30,Yokohama,No,Knockout,dbfe4ba9-6373-47de-b851-d31cde5efb47,2026-08-12T13:39:31.805924,wc_all_editions.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
18,2006,Germany,Italy,France,Germany,Portugal,32,64,147,2.3,3359439,Miroslav Klose,Germany,5,June 9,July 9,Berlin,No,Knockout,f0a370af-81bd-4656-8f4b-a1c73a710e21,2026-08-12T13:39:31.805924,wc_all_editions.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
19,2010,South Africa,Spain,Netherlands,Germany,Uruguay,32,64,145,2.27,3178856,Thomas Müller / Wesley Sneijder / David Villa / Diego Forlán,Multiple,5,June 11,July 11,Johannesburg,No,Knockout,139aea1e-8bd6-4c9d-b5ac-5f982a02aee3,2026-08-12T13:39:31.805924,wc_all_editions.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
20,2014,Brazil,Germany,Argentina,Netherlands,Brazil,32,64,171,2.67,3429873,James Rodríguez,Colombia,6,June 12,July 13,Rio de Janeiro,No,Knockout,ed35b655-07f7-4bf3-8d5e-10f9d407ba1c,2026-08-12T13:39:31.805924,wc_all_editions.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
21,2018,Russia,France,Croatia,Belgium,England,32,64,169,2.64,3031768,Harry Kane,England,6,June 14,July 15,Moscow,No,Knockout,1aa1d7a2-703e-4c8a-b05e-386a522f80c0,2026-08-12T13:39:31.805924,wc_all_editions.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
