edition,year,host,champion,runner_up,third_place,fourth_place,teams,matches,goals,goals_per_match,attendance,top_scorer,top_scorer_country,top_scorer_goals,start_date,end_date,final_city,host_won,format,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1,1930,Uruguay,Uruguay,Argentina,United States,Yugoslavia,13,18,70,3.89,590549,Guillermo Stábile,Argentina,8,July 13,July 30,Montevideo,No,Round Robin,d7b061e0-0c61-4e0b-9a0c-57f80468e29b,2026-08-12T13:02:25.300888,wc_all_editions.xml,XML,c681bae0-52fc-4e49-9e59-ebd302e927bd
2,1934,Italy,Italy,Czechoslovakia,Germany,Austria,16,17,70,4.12,363000,Oldřich Nejedlý,Czechoslovakia,5,May 27,June 10,Rome,Yes,Knockout,08e3e392-42ae-433c-b740-a4fe0971ec54,2026-08-12T13:02:25.300888,wc_all_editions.xml,XML,c681bae0-52fc-4e49-9e59-ebd302e927bd
3,1938,France,Italy,Hungary,Brazil,Sweden,15,18,84,4.67,375700,Leônidas,Brazil,7,June 4,June 19,Paris,Yes,Knockout,d81b938a-223f-4387-b3d6-138d1faee1bb,2026-08-12T13:02:25.300888,wc_all_editions.xml,XML,c681bae0-52fc-4e49-9e59-ebd302e927bd
4,1950,Brazil,Uruguay,Brazil,Sweden,Spain,13,22,88,4.0,1045246,Ademir,Brazil,8,June 24,July 16,Rio de Janeiro,No,Round Robin Final,9868b6d9-d743-460e-8273-7283f6c405e3,2026-08-12T13:02:25.300888,wc_all_editions.xml,XML,c681bae0-52fc-4e49-9e59-ebd302e927bd
5,1954,Switzerland,West Germany,Hungary,Austria,Uruguay,16,26,140,5.38,768607,Sándor Kocsis,Hungary,11,June 16,July 4,Bern,No,Knockout,2e17f24e-3348-4dea-a6df-27072ac1aae7,2026-08-12T13:02:25.300888,wc_all_editions.xml,XML,c681bae0-52fc-4e49-9e59-ebd302e927bd
6,1958,Sweden,Brazil,Sweden,France,West Germany,16,35,126,3.6,819810,Just Fontaine,France,13,June 8,June 29,Stockholm,No,Knockout,ff17275f-12dc-49dc-ba40-5d9fa377862b,2026-08-12T13:02:25.300888,wc_all_editions.xml,XML,c681bae0-52fc-4e49-9e59-ebd302e927bd
7,1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,16,32,89,2.78,893172,Florian Albert / Garrincha / Valentin Ivanov / Leonel Sánchez / Dražan Jerković / Vavá,Multiple,4,May 30,June 17,Santiago,No,Knockout,31b2d5a1-5ec3-4484-b29e-83be38d070f3,2026-08-12T13:02:25.300888,wc_all_editions.xml,XML,c681bae0-52fc-4e49-9e59-ebd302e927bd
8,1966,England,England,West Germany,Portugal,Soviet Union,16,32,89,2.78,1563135,Eusébio,Portugal,9,July 11,July 30,London,Yes,Knockout,09e7a596-c112-43ef-b83d-9162a5c2d97a,2026-08-12T13:02:25.300888,wc_all_editions.xml,XML,c681bae0-52fc-4e49-9e59-ebd302e927bd
9,1970,Mexico,Brazil,Italy,West Germany,Uruguay,16,32,95,2.97,1603975,Gerd Müller,West Germany,10,May 31,June 21,Mexico City,No,Knockout,020ba81e-4ec2-4134-8bd4-ed73fb077fc7,2026-08-12T13:02:25.300888,wc_all_editions.xml,XML,c681bae0-52fc-4e49-9e59-ebd302e927bd
10,1974,West Germany,West Germany,Netherlands,Poland,Brazil,16,38,97,2.55,1865753,Grzegorz Lato,Poland,7,June 13,July 7,Munich,Yes,Knockout,12733557-15bf-4079-8193-6719238a70a0,2026-08-12T13:02:25.300888,wc_all_editions.xml,XML,c681bae0-52fc-4e49-9e59-ebd302e927bd
