edition,year,host,champion,runner_up,third_place,fourth_place,teams,matches,goals,goals_per_match,attendance,top_scorer,top_scorer_country,top_scorer_goals,start_date,end_date,final_city,host_won,format,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1,1930,Uruguay,Uruguay,Argentina,United States,Yugoslavia,13,18,70,3.89,590549,Guillermo Stábile,Argentina,8,July 13,July 30,Montevideo,No,Round Robin,678ab381-d407-462e-8121-77773829eb15,2026-08-12T12:39:52.169164,wc_all_editions.xml,XML,c709ff66-215e-41cc-a4e5-d192b9ca189a
2,1934,Italy,Italy,Czechoslovakia,Germany,Austria,16,17,70,4.12,363000,Oldřich Nejedlý,Czechoslovakia,5,May 27,June 10,Rome,Yes,Knockout,800d42f1-782f-4bdc-a0cb-197aa9517d70,2026-08-12T12:39:52.169164,wc_all_editions.xml,XML,c709ff66-215e-41cc-a4e5-d192b9ca189a
3,1938,France,Italy,Hungary,Brazil,Sweden,15,18,84,4.67,375700,Leônidas,Brazil,7,June 4,June 19,Paris,Yes,Knockout,1e83fc5c-3b0e-44ab-890f-0a655659b78f,2026-08-12T12:39:52.169164,wc_all_editions.xml,XML,c709ff66-215e-41cc-a4e5-d192b9ca189a
4,1950,Brazil,Uruguay,Brazil,Sweden,Spain,13,22,88,4.0,1045246,Ademir,Brazil,8,June 24,July 16,Rio de Janeiro,No,Round Robin Final,cb5b45a2-776d-4014-a1ed-9417e77dfd99,2026-08-12T12:39:52.169164,wc_all_editions.xml,XML,c709ff66-215e-41cc-a4e5-d192b9ca189a
5,1954,Switzerland,West Germany,Hungary,Austria,Uruguay,16,26,140,5.38,768607,Sándor Kocsis,Hungary,11,June 16,July 4,Bern,No,Knockout,4890fbd4-eac1-4624-a494-040f7da09fe5,2026-08-12T12:39:52.169164,wc_all_editions.xml,XML,c709ff66-215e-41cc-a4e5-d192b9ca189a
6,1958,Sweden,Brazil,Sweden,France,West Germany,16,35,126,3.6,819810,Just Fontaine,France,13,June 8,June 29,Stockholm,No,Knockout,61817bd0-1a9a-45e4-a7bc-464a338b004e,2026-08-12T12:39:52.169164,wc_all_editions.xml,XML,c709ff66-215e-41cc-a4e5-d192b9ca189a
7,1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,16,32,89,2.78,893172,Florian Albert / Garrincha / Valentin Ivanov / Leonel Sánchez / Dražan Jerković / Vavá,Multiple,4,May 30,June 17,Santiago,No,Knockout,2472e9f2-939d-4cf8-8555-3ef521bfac20,2026-08-12T12:39:52.169164,wc_all_editions.xml,XML,c709ff66-215e-41cc-a4e5-d192b9ca189a
8,1966,England,England,West Germany,Portugal,Soviet Union,16,32,89,2.78,1563135,Eusébio,Portugal,9,July 11,July 30,London,Yes,Knockout,d08ab2ab-6ece-410d-b435-b37700881894,2026-08-12T12:39:52.169164,wc_all_editions.xml,XML,c709ff66-215e-41cc-a4e5-d192b9ca189a
9,1970,Mexico,Brazil,Italy,West Germany,Uruguay,16,32,95,2.97,1603975,Gerd Müller,West Germany,10,May 31,June 21,Mexico City,No,Knockout,b66aa69e-0518-4a7a-9f34-3c6452a14408,2026-08-12T12:39:52.169164,wc_all_editions.xml,XML,c709ff66-215e-41cc-a4e5-d192b9ca189a
10,1974,West Germany,West Germany,Netherlands,Poland,Brazil,16,38,97,2.55,1865753,Grzegorz Lato,Poland,7,June 13,July 7,Munich,Yes,Knockout,45f59a0c-3d8e-4d1f-b237-56998087a91c,2026-08-12T12:39:52.169164,wc_all_editions.xml,XML,c709ff66-215e-41cc-a4e5-d192b9ca189a
11,1978,Argentina,Argentina,Netherlands,Brazil,Italy,16,38,102,2.68,1545791,Mario Kempes,Argentina,6,June 1,June 25,Buenos Aires,Yes,Knockout,6d325408-fcfa-4e51-a17d-2bf31b8894a7,2026-08-12T12:39:52.169164,wc_all_editions.xml,XML,c709ff66-215e-41cc-a4e5-d192b9ca189a
12,1982,Spain,Italy,West Germany,Poland,France,24,52,146,2.81,1766277,Paolo Rossi,Italy,6,June 13,July 11,Madrid,No,Knockout,d5d66a4a-57c0-4ad0-9cbe-859b39ad3f67,2026-08-12T12:39:52.169164,wc_all_editions.xml,XML,c709ff66-215e-41cc-a4e5-d192b9ca189a
13,1986,Mexico,Argentina,West Germany,France,Belgium,24,52,132,2.54,2394031,Gary Lineker,England,6,May 31,June 29,Mexico City,No,Knockout,15035cad-b8f9-45aa-889e-d002a217dacf,2026-08-12T12:39:52.169164,wc_all_editions.xml,XML,c709ff66-215e-41cc-a4e5-d192b9ca189a
14,1990,Italy,West Germany,Argentina,Italy,England,24,52,115,2.21,2516215,Salvatore Schillaci,Italy,6,June 8,July 8,Rome,No,Knockout,57df0535-a174-4ce5-9287-f1f982c62450,2026-08-12T12:39:52.169164,wc_all_editions.xml,XML,c709ff66-215e-41cc-a4e5-d192b9ca189a
15,1994,United States,Brazil,Italy,Sweden,Bulgaria,24,52,141,2.71,3587538,Hristo Stoichkov / Oleg Salenko,Bulgaria / Russia,6,June 17,July 17,Pasadena,No,Knockout,c465c3ad-dd71-4042-999c-aa2b184d1477,2026-08-12T12:39:52.169164,wc_all_editions.xml,XML,c709ff66-215e-41cc-a4e5-d192b9ca189a
16,1998,France,France,Brazil,Croatia,Netherlands,32,64,171,2.67,2785100,Davor Šuker,Croatia,6,June 10,July 12,Paris,Yes,Knockout,d33af79f-2727-47b8-be90-f08a74f847a6,2026-08-12T12:39:52.169164,wc_all_editions.xml,XML,c709ff66-215e-41cc-a4e5-d192b9ca189a
17,2002,South Korea / Japan,Brazil,Germany,Turkey,South Korea,32,64,161,2.52,2705197,Ronaldo,Brazil,8,May 31,June 30,Yokohama,No,Knockout,76d8d5c3-4dbd-4e40-b8fc-42f9e6045a1d,2026-08-12T12:39:52.169164,wc_all_editions.xml,XML,c709ff66-215e-41cc-a4e5-d192b9ca189a
18,2006,Germany,Italy,France,Germany,Portugal,32,64,147,2.3,3359439,Miroslav Klose,Germany,5,June 9,July 9,Berlin,No,Knockout,97e3bc4d-ad94-44c6-a943-7ff90c715e17,2026-08-12T12:39:52.169164,wc_all_editions.xml,XML,c709ff66-215e-41cc-a4e5-d192b9ca189a
19,2010,South Africa,Spain,Netherlands,Germany,Uruguay,32,64,145,2.27,3178856,Thomas Müller / Wesley Sneijder / David Villa / Diego Forlán,Multiple,5,June 11,July 11,Johannesburg,No,Knockout,196fc285-358c-415d-b606-806f38d4d021,2026-08-12T12:39:52.169164,wc_all_editions.xml,XML,c709ff66-215e-41cc-a4e5-d192b9ca189a
20,2014,Brazil,Germany,Argentina,Netherlands,Brazil,32,64,171,2.67,3429873,James Rodríguez,Colombia,6,June 12,July 13,Rio de Janeiro,No,Knockout,ba44a100-5fb8-43c9-ae7e-2db4018665b6,2026-08-12T12:39:52.169164,wc_all_editions.xml,XML,c709ff66-215e-41cc-a4e5-d192b9ca189a
