edition,year,host,champion,runner_up,third_place,fourth_place,teams,matches,goals,goals_per_match,attendance,top_scorer,top_scorer_country,top_scorer_goals,start_date,end_date,final_city,host_won,format,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1,1930,Uruguay,Uruguay,Argentina,United States,Yugoslavia,13,18,70,3.89,590549,Guillermo Stábile,Argentina,8,July 13,July 30,Montevideo,No,Round Robin,6e1098cb-1bbb-467c-899b-d1f969d7fdba,2026-08-12T12:56:55.406226,wc_all_editions.xml,XML,ef611b7e-3eaf-4944-b717-a48c1c602341
2,1934,Italy,Italy,Czechoslovakia,Germany,Austria,16,17,70,4.12,363000,Oldřich Nejedlý,Czechoslovakia,5,May 27,June 10,Rome,Yes,Knockout,1c18a29a-b92c-43ef-a1c4-48396d705ea4,2026-08-12T12:56:55.406226,wc_all_editions.xml,XML,ef611b7e-3eaf-4944-b717-a48c1c602341
3,1938,France,Italy,Hungary,Brazil,Sweden,15,18,84,4.67,375700,Leônidas,Brazil,7,June 4,June 19,Paris,Yes,Knockout,54d5ba4b-021f-4929-a1c0-97db109d5dc0,2026-08-12T12:56:55.406226,wc_all_editions.xml,XML,ef611b7e-3eaf-4944-b717-a48c1c602341
4,1950,Brazil,Uruguay,Brazil,Sweden,Spain,13,22,88,4.0,1045246,Ademir,Brazil,8,June 24,July 16,Rio de Janeiro,No,Round Robin Final,afb916e4-06ec-4ab5-a1d4-193e95a49551,2026-08-12T12:56:55.406226,wc_all_editions.xml,XML,ef611b7e-3eaf-4944-b717-a48c1c602341
5,1954,Switzerland,West Germany,Hungary,Austria,Uruguay,16,26,140,5.38,768607,Sándor Kocsis,Hungary,11,June 16,July 4,Bern,No,Knockout,83e239ba-81bd-47f0-8c3a-45299ad9b8a9,2026-08-12T12:56:55.406226,wc_all_editions.xml,XML,ef611b7e-3eaf-4944-b717-a48c1c602341
6,1958,Sweden,Brazil,Sweden,France,West Germany,16,35,126,3.6,819810,Just Fontaine,France,13,June 8,June 29,Stockholm,No,Knockout,ffcc2941-33c8-42f8-911f-26ee847ecbe5,2026-08-12T12:56:55.406226,wc_all_editions.xml,XML,ef611b7e-3eaf-4944-b717-a48c1c602341
7,1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,16,32,89,2.78,893172,Florian Albert / Garrincha / Valentin Ivanov / Leonel Sánchez / Dražan Jerković / Vavá,Multiple,4,May 30,June 17,Santiago,No,Knockout,3c8bc947-d9e6-4cdf-9ddd-2836df48b4e0,2026-08-12T12:56:55.406226,wc_all_editions.xml,XML,ef611b7e-3eaf-4944-b717-a48c1c602341
8,1966,England,England,West Germany,Portugal,Soviet Union,16,32,89,2.78,1563135,Eusébio,Portugal,9,July 11,July 30,London,Yes,Knockout,9f2022cf-0aad-4e6d-9b05-59f2af420064,2026-08-12T12:56:55.406226,wc_all_editions.xml,XML,ef611b7e-3eaf-4944-b717-a48c1c602341
9,1970,Mexico,Brazil,Italy,West Germany,Uruguay,16,32,95,2.97,1603975,Gerd Müller,West Germany,10,May 31,June 21,Mexico City,No,Knockout,aa8bb5ed-c573-43b1-bb16-fde017689c02,2026-08-12T12:56:55.406226,wc_all_editions.xml,XML,ef611b7e-3eaf-4944-b717-a48c1c602341
10,1974,West Germany,West Germany,Netherlands,Poland,Brazil,16,38,97,2.55,1865753,Grzegorz Lato,Poland,7,June 13,July 7,Munich,Yes,Knockout,f4028540-63cf-477e-aa68-8e6297cdc760,2026-08-12T12:56:55.406226,wc_all_editions.xml,XML,ef611b7e-3eaf-4944-b717-a48c1c602341
11,1978,Argentina,Argentina,Netherlands,Brazil,Italy,16,38,102,2.68,1545791,Mario Kempes,Argentina,6,June 1,June 25,Buenos Aires,Yes,Knockout,91adbf68-87e5-44bc-8679-1171852516e3,2026-08-12T12:56:55.406226,wc_all_editions.xml,XML,ef611b7e-3eaf-4944-b717-a48c1c602341
12,1982,Spain,Italy,West Germany,Poland,France,24,52,146,2.81,1766277,Paolo Rossi,Italy,6,June 13,July 11,Madrid,No,Knockout,ab54ca9a-68bf-458a-8278-eb756571000d,2026-08-12T12:56:55.406226,wc_all_editions.xml,XML,ef611b7e-3eaf-4944-b717-a48c1c602341
13,1986,Mexico,Argentina,West Germany,France,Belgium,24,52,132,2.54,2394031,Gary Lineker,England,6,May 31,June 29,Mexico City,No,Knockout,5e588130-d436-4730-aec3-82546ac42a8e,2026-08-12T12:56:55.406226,wc_all_editions.xml,XML,ef611b7e-3eaf-4944-b717-a48c1c602341
14,1990,Italy,West Germany,Argentina,Italy,England,24,52,115,2.21,2516215,Salvatore Schillaci,Italy,6,June 8,July 8,Rome,No,Knockout,1ef629bd-c380-4946-9225-dd0e37179de0,2026-08-12T12:56:55.406226,wc_all_editions.xml,XML,ef611b7e-3eaf-4944-b717-a48c1c602341
15,1994,United States,Brazil,Italy,Sweden,Bulgaria,24,52,141,2.71,3587538,Hristo Stoichkov / Oleg Salenko,Bulgaria / Russia,6,June 17,July 17,Pasadena,No,Knockout,4003eea3-ddab-4f50-b098-91eb6d09c226,2026-08-12T12:56:55.406226,wc_all_editions.xml,XML,ef611b7e-3eaf-4944-b717-a48c1c602341
16,1998,France,France,Brazil,Croatia,Netherlands,32,64,171,2.67,2785100,Davor Šuker,Croatia,6,June 10,July 12,Paris,Yes,Knockout,708f5f35-aa69-41e9-9705-03cbc71fd9ad,2026-08-12T12:56:55.406226,wc_all_editions.xml,XML,ef611b7e-3eaf-4944-b717-a48c1c602341
