edition,year,host,champion,runner_up,third_place,fourth_place,teams,matches,goals,goals_per_match,attendance,top_scorer,top_scorer_country,top_scorer_goals,start_date,end_date,final_city,host_won,format,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1,1930,Uruguay,Uruguay,Argentina,United States,Yugoslavia,13,18,70,3.89,590549,Guillermo Stábile,Argentina,8,July 13,July 30,Montevideo,No,Round Robin,36001541-c8f9-483c-9def-4cbaec1e5962,2026-08-14T11:39:26.416734,wc_all_editions.json,JSON,920a11d2-427d-4b6a-b1df-29a230886098
2,1934,Italy,Italy,Czechoslovakia,Germany,Austria,16,17,70,4.12,363000,Oldřich Nejedlý,Czechoslovakia,5,May 27,June 10,Rome,Yes,Knockout,8e1253dc-bc12-4a0a-941e-479f46e6ca30,2026-08-14T11:39:26.416734,wc_all_editions.json,JSON,920a11d2-427d-4b6a-b1df-29a230886098
3,1938,France,Italy,Hungary,Brazil,Sweden,15,18,84,4.67,375700,Leônidas,Brazil,7,June 4,June 19,Paris,Yes,Knockout,feed8037-95dc-42b2-aeb4-e32205d2ccd8,2026-08-14T11:39:26.416734,wc_all_editions.json,JSON,920a11d2-427d-4b6a-b1df-29a230886098
4,1950,Brazil,Uruguay,Brazil,Sweden,Spain,13,22,88,4.0,1045246,Ademir,Brazil,8,June 24,July 16,Rio de Janeiro,No,Round Robin Final,4c676d22-d464-4fa7-a5ad-980882e0c74f,2026-08-14T11:39:26.416734,wc_all_editions.json,JSON,920a11d2-427d-4b6a-b1df-29a230886098
5,1954,Switzerland,West Germany,Hungary,Austria,Uruguay,16,26,140,5.38,768607,Sándor Kocsis,Hungary,11,June 16,July 4,Bern,No,Knockout,66916eaf-809e-4f76-b559-635e937ecb3c,2026-08-14T11:39:26.416734,wc_all_editions.json,JSON,920a11d2-427d-4b6a-b1df-29a230886098
6,1958,Sweden,Brazil,Sweden,France,West Germany,16,35,126,3.6,819810,Just Fontaine,France,13,June 8,June 29,Stockholm,No,Knockout,915f6466-df88-4c50-b296-1cd416b333df,2026-08-14T11:39:26.416734,wc_all_editions.json,JSON,920a11d2-427d-4b6a-b1df-29a230886098
7,1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,16,32,89,2.7800000000000002,893172,Florian Albert / Garrincha / Valentin Ivanov / Leonel Sánchez / Dražan Jerković / Vavá,Multiple,4,May 30,June 17,Santiago,No,Knockout,1a03cb30-c875-4062-8bfd-cd5ef17767d1,2026-08-14T11:39:26.416734,wc_all_editions.json,JSON,920a11d2-427d-4b6a-b1df-29a230886098
8,1966,England,England,West Germany,Portugal,Soviet Union,16,32,89,2.7800000000000002,1563135,Eusébio,Portugal,9,July 11,July 30,London,Yes,Knockout,8c4e9280-a25b-45cf-8dbc-4725093f7ebb,2026-08-14T11:39:26.416734,wc_all_editions.json,JSON,920a11d2-427d-4b6a-b1df-29a230886098
9,1970,Mexico,Brazil,Italy,West Germany,Uruguay,16,32,95,2.9699999999999998,1603975,Gerd Müller,West Germany,10,May 31,June 21,Mexico City,No,Knockout,ee1f8b9d-138f-40d8-b62b-3e56c5160761,2026-08-14T11:39:26.416734,wc_all_editions.json,JSON,920a11d2-427d-4b6a-b1df-29a230886098
10,1974,West Germany,West Germany,Netherlands,Poland,Brazil,16,38,97,2.55,1865753,Grzegorz Lato,Poland,7,June 13,July 7,Munich,Yes,Knockout,714ee5fa-6219-4122-9d75-c57be2465bf2,2026-08-14T11:39:26.416734,wc_all_editions.json,JSON,920a11d2-427d-4b6a-b1df-29a230886098
