edition,year,host,champion,runner_up,third_place,fourth_place,teams,matches,goals,goals_per_match,attendance,top_scorer,top_scorer_country,top_scorer_goals,start_date,end_date,final_city,host_won,format,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1,1930,Uruguay,Uruguay,Argentina,United States,Yugoslavia,13,18,70,3.89,590549,Guillermo Stábile,Argentina,8,July 13,July 30,Montevideo,No,Round Robin,5eb57696-9f3d-441a-85c3-8f7e76cec80a,2026-08-14T11:38:35.133701,wc_all_editions.json,JSON,aa010f75-72ca-4ddd-beea-f5acf84cf033
2,1934,Italy,Italy,Czechoslovakia,Germany,Austria,16,17,70,4.12,363000,Oldřich Nejedlý,Czechoslovakia,5,May 27,June 10,Rome,Yes,Knockout,d414e2d4-79fa-43f6-a8a9-746af55d7cd0,2026-08-14T11:38:35.133701,wc_all_editions.json,JSON,aa010f75-72ca-4ddd-beea-f5acf84cf033
3,1938,France,Italy,Hungary,Brazil,Sweden,15,18,84,4.67,375700,Leônidas,Brazil,7,June 4,June 19,Paris,Yes,Knockout,65c3745d-66b3-4fff-bdd4-ab109592a246,2026-08-14T11:38:35.133701,wc_all_editions.json,JSON,aa010f75-72ca-4ddd-beea-f5acf84cf033
4,1950,Brazil,Uruguay,Brazil,Sweden,Spain,13,22,88,4.0,1045246,Ademir,Brazil,8,June 24,July 16,Rio de Janeiro,No,Round Robin Final,e72de4e3-0d42-4022-8826-9c4c01f8eccb,2026-08-14T11:38:35.133701,wc_all_editions.json,JSON,aa010f75-72ca-4ddd-beea-f5acf84cf033
5,1954,Switzerland,West Germany,Hungary,Austria,Uruguay,16,26,140,5.38,768607,Sándor Kocsis,Hungary,11,June 16,July 4,Bern,No,Knockout,c130e21a-e0fb-4575-90cb-2ecf77db524f,2026-08-14T11:38:35.133701,wc_all_editions.json,JSON,aa010f75-72ca-4ddd-beea-f5acf84cf033
6,1958,Sweden,Brazil,Sweden,France,West Germany,16,35,126,3.6,819810,Just Fontaine,France,13,June 8,June 29,Stockholm,No,Knockout,ea8573a4-9af6-4c4a-a5b8-910c2271e576,2026-08-14T11:38:35.133701,wc_all_editions.json,JSON,aa010f75-72ca-4ddd-beea-f5acf84cf033
7,1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,16,32,89,2.7800000000000002,893172,Florian Albert / Garrincha / Valentin Ivanov / Leonel Sánchez / Dražan Jerković / Vavá,Multiple,4,May 30,June 17,Santiago,No,Knockout,9f4896ff-bbbc-47cc-bc0f-cf7b8e6ed104,2026-08-14T11:38:35.133701,wc_all_editions.json,JSON,aa010f75-72ca-4ddd-beea-f5acf84cf033
8,1966,England,England,West Germany,Portugal,Soviet Union,16,32,89,2.7800000000000002,1563135,Eusébio,Portugal,9,July 11,July 30,London,Yes,Knockout,7a08603f-d3a9-43b0-9baa-7f0a67cac2fe,2026-08-14T11:38:35.133701,wc_all_editions.json,JSON,aa010f75-72ca-4ddd-beea-f5acf84cf033
9,1970,Mexico,Brazil,Italy,West Germany,Uruguay,16,32,95,2.9699999999999998,1603975,Gerd Müller,West Germany,10,May 31,June 21,Mexico City,No,Knockout,44ca1c57-e6a4-42c3-befd-5608b49973d3,2026-08-14T11:38:35.133701,wc_all_editions.json,JSON,aa010f75-72ca-4ddd-beea-f5acf84cf033
10,1974,West Germany,West Germany,Netherlands,Poland,Brazil,16,38,97,2.55,1865753,Grzegorz Lato,Poland,7,June 13,July 7,Munich,Yes,Knockout,65e7a6e4-63bf-4eb5-84df-2cebcfa126cb,2026-08-14T11:38:35.133701,wc_all_editions.json,JSON,aa010f75-72ca-4ddd-beea-f5acf84cf033
