edition,year,host,champion,runner_up,third_place,fourth_place,teams,matches,goals,goals_per_match,attendance,top_scorer,top_scorer_country,top_scorer_goals,start_date,end_date,final_city,host_won,format,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1,1930,Uruguay,Uruguay,Argentina,United States,Yugoslavia,13,18,70,3.89,590549,Guillermo Stábile,Argentina,8,July 13,July 30,Montevideo,No,Round Robin,d823828a-2b26-410f-a6f7-1dbc0410ad62,2026-08-18T12:34:05.583536,wc_all_editions.json,JSON,a16f1fb9-7fed-404b-b9ab-354715efcf97
2,1934,Italy,Italy,Czechoslovakia,Germany,Austria,16,17,70,4.12,363000,Oldřich Nejedlý,Czechoslovakia,5,May 27,June 10,Rome,Yes,Knockout,5c375e23-271c-41e6-87b4-252feac4428c,2026-08-18T12:34:05.583536,wc_all_editions.json,JSON,a16f1fb9-7fed-404b-b9ab-354715efcf97
3,1938,France,Italy,Hungary,Brazil,Sweden,15,18,84,4.67,375700,Leônidas,Brazil,7,June 4,June 19,Paris,Yes,Knockout,f3e79ff6-0386-4b33-99dd-e573983b2cc3,2026-08-18T12:34:05.583536,wc_all_editions.json,JSON,a16f1fb9-7fed-404b-b9ab-354715efcf97
4,1950,Brazil,Uruguay,Brazil,Sweden,Spain,13,22,88,4.0,1045246,Ademir,Brazil,8,June 24,July 16,Rio de Janeiro,No,Round Robin Final,3eece949-ff2d-4efa-8f59-d1788044270d,2026-08-18T12:34:05.583536,wc_all_editions.json,JSON,a16f1fb9-7fed-404b-b9ab-354715efcf97
5,1954,Switzerland,West Germany,Hungary,Austria,Uruguay,16,26,140,5.38,768607,Sándor Kocsis,Hungary,11,June 16,July 4,Bern,No,Knockout,4da23905-5afe-46d9-9f56-ae30ef00d38f,2026-08-18T12:34:05.583536,wc_all_editions.json,JSON,a16f1fb9-7fed-404b-b9ab-354715efcf97
6,1958,Sweden,Brazil,Sweden,France,West Germany,16,35,126,3.6,819810,Just Fontaine,France,13,June 8,June 29,Stockholm,No,Knockout,13ab72fc-d499-46c0-8e09-3e2f80501b2a,2026-08-18T12:34:05.583536,wc_all_editions.json,JSON,a16f1fb9-7fed-404b-b9ab-354715efcf97
7,1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,16,32,89,2.7800000000000002,893172,Florian Albert / Garrincha / Valentin Ivanov / Leonel Sánchez / Dražan Jerković / Vavá,Multiple,4,May 30,June 17,Santiago,No,Knockout,b3446da1-6b1a-4985-acef-cc08041dbcc6,2026-08-18T12:34:05.583536,wc_all_editions.json,JSON,a16f1fb9-7fed-404b-b9ab-354715efcf97
8,1966,England,England,West Germany,Portugal,Soviet Union,16,32,89,2.7800000000000002,1563135,Eusébio,Portugal,9,July 11,July 30,London,Yes,Knockout,dd155731-76ee-4fb2-8277-31bb5ccf2739,2026-08-18T12:34:05.583536,wc_all_editions.json,JSON,a16f1fb9-7fed-404b-b9ab-354715efcf97
9,1970,Mexico,Brazil,Italy,West Germany,Uruguay,16,32,95,2.9699999999999998,1603975,Gerd Müller,West Germany,10,May 31,June 21,Mexico City,No,Knockout,d4b62b50-d044-4e47-9aa4-b869194ae59a,2026-08-18T12:34:05.583536,wc_all_editions.json,JSON,a16f1fb9-7fed-404b-b9ab-354715efcf97
10,1974,West Germany,West Germany,Netherlands,Poland,Brazil,16,38,97,2.55,1865753,Grzegorz Lato,Poland,7,June 13,July 7,Munich,Yes,Knockout,5061908d-ccb4-4dde-96cc-4d8768fbdc21,2026-08-18T12:34:05.583536,wc_all_editions.json,JSON,a16f1fb9-7fed-404b-b9ab-354715efcf97
