edition,year,host,champion,runner_up,third_place,fourth_place,teams,matches,goals,goals_per_match,attendance,top_scorer,top_scorer_country,top_scorer_goals,start_date,end_date,final_city,host_won,format,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1,1930,Uruguay,Uruguay,Argentina,United States,Yugoslavia,13,18,70,3.89,590549,Guillermo Stábile,Argentina,8,July 13,July 30,Montevideo,No,Round Robin,52fc18a6-6757-49df-ad01-649cab548bbe,2026-08-18T15:31:19.999736,wc_all_editions.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
2,1934,Italy,Italy,Czechoslovakia,Germany,Austria,16,17,70,4.12,363000,Oldřich Nejedlý,Czechoslovakia,5,May 27,June 10,Rome,Yes,Knockout,79b5e0b9-3562-49e5-bc07-f62c4a68b6d5,2026-08-18T15:31:19.999736,wc_all_editions.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
3,1938,France,Italy,Hungary,Brazil,Sweden,15,18,84,4.67,375700,Leônidas,Brazil,7,June 4,June 19,Paris,Yes,Knockout,2d0f3915-8141-4495-8cd1-efca48929885,2026-08-18T15:31:19.999736,wc_all_editions.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
4,1950,Brazil,Uruguay,Brazil,Sweden,Spain,13,22,88,4.0,1045246,Ademir,Brazil,8,June 24,July 16,Rio de Janeiro,No,Round Robin Final,e1b9eb75-c7a2-4f70-9ec8-8f284947b052,2026-08-18T15:31:19.999736,wc_all_editions.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
5,1954,Switzerland,West Germany,Hungary,Austria,Uruguay,16,26,140,5.38,768607,Sándor Kocsis,Hungary,11,June 16,July 4,Bern,No,Knockout,fb8b5e20-b67b-4354-9482-0d299fb21e00,2026-08-18T15:31:19.999736,wc_all_editions.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
6,1958,Sweden,Brazil,Sweden,France,West Germany,16,35,126,3.6,819810,Just Fontaine,France,13,June 8,June 29,Stockholm,No,Knockout,f05f8b37-7b25-4ef1-999f-0e06365f847e,2026-08-18T15:31:19.999736,wc_all_editions.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
7,1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,16,32,89,2.7800000000000002,893172,Florian Albert / Garrincha / Valentin Ivanov / Leonel Sánchez / Dražan Jerković / Vavá,Multiple,4,May 30,June 17,Santiago,No,Knockout,27d73558-1aae-4234-a122-961275954090,2026-08-18T15:31:19.999736,wc_all_editions.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
8,1966,England,England,West Germany,Portugal,Soviet Union,16,32,89,2.7800000000000002,1563135,Eusébio,Portugal,9,July 11,July 30,London,Yes,Knockout,a4eeca19-84d4-4cd5-b9e7-1c84a2488931,2026-08-18T15:31:19.999736,wc_all_editions.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
9,1970,Mexico,Brazil,Italy,West Germany,Uruguay,16,32,95,2.9699999999999998,1603975,Gerd Müller,West Germany,10,May 31,June 21,Mexico City,No,Knockout,27cbae62-44ab-4dcd-ad92-4e0d9e2853b1,2026-08-18T15:31:19.999736,wc_all_editions.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
10,1974,West Germany,West Germany,Netherlands,Poland,Brazil,16,38,97,2.55,1865753,Grzegorz Lato,Poland,7,June 13,July 7,Munich,Yes,Knockout,5d946b95-5910-44e1-bb63-f5ef6d424ba5,2026-08-18T15:31:19.999736,wc_all_editions.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
11,1978,Argentina,Argentina,Netherlands,Brazil,Italy,16,38,102,2.68,1545791,Mario Kempes,Argentina,6,June 1,June 25,Buenos Aires,Yes,Knockout,81c3d49c-573e-4444-a636-de3d79794e20,2026-08-18T15:31:19.999736,wc_all_editions.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
12,1982,Spain,Italy,West Germany,Poland,France,24,52,146,2.81,1766277,Paolo Rossi,Italy,6,June 13,July 11,Madrid,No,Knockout,7d9beb54-06ea-4a47-a144-525dd437974d,2026-08-18T15:31:19.999736,wc_all_editions.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
13,1986,Mexico,Argentina,West Germany,France,Belgium,24,52,132,2.54,2394031,Gary Lineker,England,6,May 31,June 29,Mexico City,No,Knockout,c8aae404-4479-48d7-91a6-b89656455d46,2026-08-18T15:31:19.999736,wc_all_editions.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
14,1990,Italy,West Germany,Argentina,Italy,England,24,52,115,2.21,2516215,Salvatore Schillaci,Italy,6,June 8,July 8,Rome,No,Knockout,f8ed8c92-2998-4aa5-9999-34d3553aa566,2026-08-18T15:31:19.999736,wc_all_editions.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
15,1994,United States,Brazil,Italy,Sweden,Bulgaria,24,52,141,2.71,3587538,Hristo Stoichkov / Oleg Salenko,Bulgaria / Russia,6,June 17,July 17,Pasadena,No,Knockout,61ba1ab4-1f36-44d2-88cd-4d29ba829807,2026-08-18T15:31:19.999736,wc_all_editions.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
16,1998,France,France,Brazil,Croatia,Netherlands,32,64,171,2.67,2785100,Davor Šuker,Croatia,6,June 10,July 12,Paris,Yes,Knockout,20d5c42b-e893-474b-b0de-0839ed46e33f,2026-08-18T15:31:19.999736,wc_all_editions.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
17,2002,South Korea / Japan,Brazil,Germany,Turkey,South Korea,32,64,161,2.52,2705197,Ronaldo,Brazil,8,May 31,June 30,Yokohama,No,Knockout,64057a4c-766b-43c4-a98c-c2b40a08bb27,2026-08-18T15:31:19.999736,wc_all_editions.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
18,2006,Germany,Italy,France,Germany,Portugal,32,64,147,2.3,3359439,Miroslav Klose,Germany,5,June 9,July 9,Berlin,No,Knockout,e51c534b-bed8-4a0e-a6e6-d801eafae759,2026-08-18T15:31:19.999736,wc_all_editions.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
19,2010,South Africa,Spain,Netherlands,Germany,Uruguay,32,64,145,2.27,3178856,Thomas Müller / Wesley Sneijder / David Villa / Diego Forlán,Multiple,5,June 11,July 11,Johannesburg,No,Knockout,19825400-3a7e-43a1-a357-491990deb4c1,2026-08-18T15:31:19.999736,wc_all_editions.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
20,2014,Brazil,Germany,Argentina,Netherlands,Brazil,32,64,171,2.67,3429873,James Rodríguez,Colombia,6,June 12,July 13,Rio de Janeiro,No,Knockout,58f35596-5ba4-41b2-abd8-dac065e19809,2026-08-18T15:31:19.999736,wc_all_editions.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
21,2018,Russia,France,Croatia,Belgium,England,32,64,169,2.64,3031768,Harry Kane,England,6,June 14,July 15,Moscow,No,Knockout,b46ea7d4-6be0-4c47-89e2-fd9b61bd9654,2026-08-18T15:31:19.999736,wc_all_editions.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
22,2022,Qatar,Argentina,France,Croatia,Morocco,32,64,172,2.69,3404252,Kylian Mbappé,France,8,November 20,December 18,Lusail,No,Knockout,25c4136e-825b-4a10-acfe-869715a47e7c,2026-08-18T15:31:19.999736,wc_all_editions.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
23,2026,United States / Canada / Mexico,Spain,Argentina,England,France,48,104,298,2.87,6850000,Kylian Mbappé,France,10,June 11,July 19,East Rutherford,No,Knockout,31d776af-f7a4-480c-a12b-5b5754549e5e,2026-08-18T15:31:19.999736,wc_all_editions.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
