edition,year,host,champion,runner_up,third_place,fourth_place,teams,matches,goals,goals_per_match,attendance,top_scorer,top_scorer_country,top_scorer_goals,start_date,end_date,final_city,host_won,format,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1,1930,Uruguay,Uruguay,Argentina,United States,Yugoslavia,13,18,70,3.89,590549,Guillermo Stábile,Argentina,8,July 13,July 30,Montevideo,No,Round Robin,92a5bb67-d722-4a08-8ebe-0e9c98705b61,2026-08-18T12:29:04.800201,wc_all_editions.json,JSON,ebe3b807-d2d8-40c0-b202-60f947e7efea
2,1934,Italy,Italy,Czechoslovakia,Germany,Austria,16,17,70,4.12,363000,Oldřich Nejedlý,Czechoslovakia,5,May 27,June 10,Rome,Yes,Knockout,6a6fc973-9101-45b1-933f-2a2ce56f6b25,2026-08-18T12:29:04.800201,wc_all_editions.json,JSON,ebe3b807-d2d8-40c0-b202-60f947e7efea
3,1938,France,Italy,Hungary,Brazil,Sweden,15,18,84,4.67,375700,Leônidas,Brazil,7,June 4,June 19,Paris,Yes,Knockout,fa63424e-c026-4649-b3d5-1d00e29285c7,2026-08-18T12:29:04.800201,wc_all_editions.json,JSON,ebe3b807-d2d8-40c0-b202-60f947e7efea
4,1950,Brazil,Uruguay,Brazil,Sweden,Spain,13,22,88,4.0,1045246,Ademir,Brazil,8,June 24,July 16,Rio de Janeiro,No,Round Robin Final,1df559f1-4fff-4ef4-8639-5d0afc46fc28,2026-08-18T12:29:04.800201,wc_all_editions.json,JSON,ebe3b807-d2d8-40c0-b202-60f947e7efea
5,1954,Switzerland,West Germany,Hungary,Austria,Uruguay,16,26,140,5.38,768607,Sándor Kocsis,Hungary,11,June 16,July 4,Bern,No,Knockout,edeb9e1a-6e0f-45b2-8a9f-939d4a8283d9,2026-08-18T12:29:04.800201,wc_all_editions.json,JSON,ebe3b807-d2d8-40c0-b202-60f947e7efea
6,1958,Sweden,Brazil,Sweden,France,West Germany,16,35,126,3.6,819810,Just Fontaine,France,13,June 8,June 29,Stockholm,No,Knockout,cb07fcd4-5724-44d3-a7cf-0accf62df83c,2026-08-18T12:29:04.800201,wc_all_editions.json,JSON,ebe3b807-d2d8-40c0-b202-60f947e7efea
7,1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,16,32,89,2.7800000000000002,893172,Florian Albert / Garrincha / Valentin Ivanov / Leonel Sánchez / Dražan Jerković / Vavá,Multiple,4,May 30,June 17,Santiago,No,Knockout,913ad0fa-66e0-4210-aede-d8860e1950d9,2026-08-18T12:29:04.800201,wc_all_editions.json,JSON,ebe3b807-d2d8-40c0-b202-60f947e7efea
8,1966,England,England,West Germany,Portugal,Soviet Union,16,32,89,2.7800000000000002,1563135,Eusébio,Portugal,9,July 11,July 30,London,Yes,Knockout,a188842d-25b5-4012-9b47-dc7eb3ee6ac5,2026-08-18T12:29:04.800201,wc_all_editions.json,JSON,ebe3b807-d2d8-40c0-b202-60f947e7efea
9,1970,Mexico,Brazil,Italy,West Germany,Uruguay,16,32,95,2.9699999999999998,1603975,Gerd Müller,West Germany,10,May 31,June 21,Mexico City,No,Knockout,58aa51a2-e6bc-4589-9984-61baab0f8c58,2026-08-18T12:29:04.800201,wc_all_editions.json,JSON,ebe3b807-d2d8-40c0-b202-60f947e7efea
10,1974,West Germany,West Germany,Netherlands,Poland,Brazil,16,38,97,2.55,1865753,Grzegorz Lato,Poland,7,June 13,July 7,Munich,Yes,Knockout,07555321-391c-46f3-9209-32475febd870,2026-08-18T12:29:04.800201,wc_all_editions.json,JSON,ebe3b807-d2d8-40c0-b202-60f947e7efea
