group,stage,team1,team2,venue,city,country,date,kickoff_et,team1_confederation,team1_fifa_rank,team1_coach,team2_confederation,team2_fifa_rank,team2_coach,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
A,Group Stage,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,2026-06-11,20:00 ET,CONCACAF,15.0,Javier Aguirre,CAF,60.0,Hugo Broos,eec1f11c-6fd7-434b-a8ca-30657faaf933,2026-07-15T20:10:34.266925,wc_2026_fixtures.csv,CSV,2d1aee6b-dfeb-415b-9968-aba30c977e75
A,Group Stage,South Korea,Czechia,Estadio Akron,Guadalajara,Mexico,2026-06-11,22:00 ET,AFC,25.0,Hong Myung-bo,UEFA,41.0,Ivan Hasek,0e2841e1-c87d-4040-82dd-dbaf4436a5a1,2026-07-15T20:10:34.266925,wc_2026_fixtures.csv,CSV,2d1aee6b-dfeb-415b-9968-aba30c977e75
A,Group Stage,South Korea,Mexico,Estadio Akron,Guadalajara,Mexico,2026-06-18,21:00 ET,AFC,25.0,Hong Myung-bo,CONCACAF,15.0,Javier Aguirre,43dfab7d-be1c-4c46-9bd4-ea13641257e4,2026-07-15T20:10:34.266925,wc_2026_fixtures.csv,CSV,2d1aee6b-dfeb-415b-9968-aba30c977e75
A,Group Stage,Czechia,South Africa,Estadio Akron,Guadalajara,Mexico,2026-06-18,18:00 ET,UEFA,41.0,Ivan Hasek,CAF,60.0,Hugo Broos,e031084d-888f-4c77-9533-b6c4072596e7,2026-07-15T20:10:34.266925,wc_2026_fixtures.csv,CSV,2d1aee6b-dfeb-415b-9968-aba30c977e75
A,Group Stage,Czechia,Mexico,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,UEFA,41.0,Ivan Hasek,CONCACAF,15.0,Javier Aguirre,a42a3911-a451-4886-853e-bd80b05bbd8c,2026-07-15T20:10:34.266925,wc_2026_fixtures.csv,CSV,2d1aee6b-dfeb-415b-9968-aba30c977e75
A,Group Stage,South Africa,South Korea,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,CAF,60.0,Hugo Broos,AFC,25.0,Hong Myung-bo,c5997338-50a9-4f73-9b88-78f63a624fc2,2026-07-15T20:10:34.266925,wc_2026_fixtures.csv,CSV,2d1aee6b-dfeb-415b-9968-aba30c977e75
B,Group Stage,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Canada,2026-06-12,15:00 ET,CONCACAF,30.0,Jesse Marsch,UEFA,52.0,Sergej Barbarez,8fb1bad7-76f2-4772-9bb6-f1d4eebcbd36,2026-07-15T20:10:34.266925,wc_2026_fixtures.csv,CSV,2d1aee6b-dfeb-415b-9968-aba30c977e75
B,Group Stage,Qatar,Switzerland,Lumen Field,Seattle,USA,2026-06-13,15:00 ET,AFC,35.0,Marquez Lopez,UEFA,19.0,Murat Yakin,12e999ce-a987-4d2e-9939-7c196d8b0d99,2026-07-15T20:10:34.266925,wc_2026_fixtures.csv,CSV,2d1aee6b-dfeb-415b-9968-aba30c977e75
B,Group Stage,Switzerland,Bosnia and Herzegovina,BC Place,Vancouver,Canada,2026-06-18,15:00 ET,UEFA,19.0,Murat Yakin,UEFA,52.0,Sergej Barbarez,e2529255-e5a1-471c-a98f-0cbaf866270b,2026-07-15T20:10:34.266925,wc_2026_fixtures.csv,CSV,2d1aee6b-dfeb-415b-9968-aba30c977e75
B,Group Stage,Canada,Qatar,BC Place,Vancouver,Canada,2026-06-19,18:00 ET,CONCACAF,30.0,Jesse Marsch,AFC,35.0,Marquez Lopez,64d69b89-7009-4258-bef5-6aebc12f13eb,2026-07-15T20:10:34.266925,wc_2026_fixtures.csv,CSV,2d1aee6b-dfeb-415b-9968-aba30c977e75
