group,stage,team1,team2,venue,city,country,date,kickoff_et,team1_confederation,team1_fifa_rank,team1_coach,team2_confederation,team2_fifa_rank,team2_coach,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
A,Group Stage,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,2026-06-11,20:00 ET,CONCACAF,15.0,Javier Aguirre,CAF,60.0,Hugo Broos,f3bffe14-55c2-40aa-be65-28993d35d735,2026-07-15T20:06:58.606321,wc_2026_fixtures.csv,CSV,a0c057a4-b088-4e07-b92e-24af0610a303
A,Group Stage,South Korea,Czechia,Estadio Akron,Guadalajara,Mexico,2026-06-11,22:00 ET,AFC,25.0,Hong Myung-bo,UEFA,41.0,Ivan Hasek,a341f529-5a55-4e3a-a577-a4580cc9ea7d,2026-07-15T20:06:58.606321,wc_2026_fixtures.csv,CSV,a0c057a4-b088-4e07-b92e-24af0610a303
A,Group Stage,South Korea,Mexico,Estadio Akron,Guadalajara,Mexico,2026-06-18,21:00 ET,AFC,25.0,Hong Myung-bo,CONCACAF,15.0,Javier Aguirre,486b70f7-7a80-4778-8384-e8830c05ac4e,2026-07-15T20:06:58.606321,wc_2026_fixtures.csv,CSV,a0c057a4-b088-4e07-b92e-24af0610a303
A,Group Stage,Czechia,South Africa,Estadio Akron,Guadalajara,Mexico,2026-06-18,18:00 ET,UEFA,41.0,Ivan Hasek,CAF,60.0,Hugo Broos,98dc0d9e-d7d2-4915-9232-892a5c163520,2026-07-15T20:06:58.606321,wc_2026_fixtures.csv,CSV,a0c057a4-b088-4e07-b92e-24af0610a303
A,Group Stage,Czechia,Mexico,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,UEFA,41.0,Ivan Hasek,CONCACAF,15.0,Javier Aguirre,8d826eec-2030-4d41-9280-574919f9cdcd,2026-07-15T20:06:58.606321,wc_2026_fixtures.csv,CSV,a0c057a4-b088-4e07-b92e-24af0610a303
A,Group Stage,South Africa,South Korea,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,CAF,60.0,Hugo Broos,AFC,25.0,Hong Myung-bo,da5e12c3-ba1e-4c07-be67-4bf3f4ef25b8,2026-07-15T20:06:58.606321,wc_2026_fixtures.csv,CSV,a0c057a4-b088-4e07-b92e-24af0610a303
B,Group Stage,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Canada,2026-06-12,15:00 ET,CONCACAF,30.0,Jesse Marsch,UEFA,52.0,Sergej Barbarez,138be75c-f4f7-4f23-96e7-9735a38d90cc,2026-07-15T20:06:58.606321,wc_2026_fixtures.csv,CSV,a0c057a4-b088-4e07-b92e-24af0610a303
B,Group Stage,Qatar,Switzerland,Lumen Field,Seattle,USA,2026-06-13,15:00 ET,AFC,35.0,Marquez Lopez,UEFA,19.0,Murat Yakin,39326219-e5d5-4aff-b31b-696222b8f53d,2026-07-15T20:06:58.606321,wc_2026_fixtures.csv,CSV,a0c057a4-b088-4e07-b92e-24af0610a303
B,Group Stage,Switzerland,Bosnia and Herzegovina,BC Place,Vancouver,Canada,2026-06-18,15:00 ET,UEFA,19.0,Murat Yakin,UEFA,52.0,Sergej Barbarez,91ce23a9-aad6-4cf0-9b55-0a8c5adef0ec,2026-07-15T20:06:58.606321,wc_2026_fixtures.csv,CSV,a0c057a4-b088-4e07-b92e-24af0610a303
B,Group Stage,Canada,Qatar,BC Place,Vancouver,Canada,2026-06-19,18:00 ET,CONCACAF,30.0,Jesse Marsch,AFC,35.0,Marquez Lopez,e21c1b20-28a5-4645-af55-03c40cca48aa,2026-07-15T20:06:58.606321,wc_2026_fixtures.csv,CSV,a0c057a4-b088-4e07-b92e-24af0610a303
B,Group Stage,Switzerland,Canada,BC Place,Vancouver,Canada,2026-06-24,18:00 ET,UEFA,19.0,Murat Yakin,CONCACAF,30.0,Jesse Marsch,adf65f4d-1ae2-4783-8d4b-980984169079,2026-07-15T20:06:58.606321,wc_2026_fixtures.csv,CSV,a0c057a4-b088-4e07-b92e-24af0610a303
