group,stage,team1,team2,venue,city,country,date,kickoff_et,team1_confederation,team1_fifa_rank,team1_coach,team2_confederation,team2_fifa_rank,team2_coach,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
A,Group Stage,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,2026-06-11,20:00 ET,CONCACAF,15.0,Javier Aguirre,CAF,60.0,Hugo Broos,d2ca91d9-9df1-4afe-bdc6-4095775ed497,2026-07-15T20:13:09.849198,wc_2026_fixtures.csv,CSV,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
A,Group Stage,South Korea,Czechia,Estadio Akron,Guadalajara,Mexico,2026-06-11,22:00 ET,AFC,25.0,Hong Myung-bo,UEFA,41.0,Ivan Hasek,c78fe773-e47c-4e16-8cf5-56e9007c6fca,2026-07-15T20:13:09.849198,wc_2026_fixtures.csv,CSV,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
A,Group Stage,South Korea,Mexico,Estadio Akron,Guadalajara,Mexico,2026-06-18,21:00 ET,AFC,25.0,Hong Myung-bo,CONCACAF,15.0,Javier Aguirre,2d15d0b8-45b1-4360-9b91-2ddc2e194a92,2026-07-15T20:13:09.849198,wc_2026_fixtures.csv,CSV,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
A,Group Stage,Czechia,South Africa,Estadio Akron,Guadalajara,Mexico,2026-06-18,18:00 ET,UEFA,41.0,Ivan Hasek,CAF,60.0,Hugo Broos,cfb6acd2-08cd-47b8-b296-e771f22ac680,2026-07-15T20:13:09.849198,wc_2026_fixtures.csv,CSV,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
A,Group Stage,Czechia,Mexico,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,UEFA,41.0,Ivan Hasek,CONCACAF,15.0,Javier Aguirre,8041365f-b010-409a-bab5-af3f1217c567,2026-07-15T20:13:09.849198,wc_2026_fixtures.csv,CSV,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
A,Group Stage,South Africa,South Korea,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,CAF,60.0,Hugo Broos,AFC,25.0,Hong Myung-bo,47956f02-bec2-403f-b5c0-c9fba5ab9078,2026-07-15T20:13:09.849198,wc_2026_fixtures.csv,CSV,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
B,Group Stage,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Canada,2026-06-12,15:00 ET,CONCACAF,30.0,Jesse Marsch,UEFA,52.0,Sergej Barbarez,c78c8e1d-c84e-4a16-8e4b-9ee46f33212e,2026-07-15T20:13:09.849198,wc_2026_fixtures.csv,CSV,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
B,Group Stage,Qatar,Switzerland,Lumen Field,Seattle,USA,2026-06-13,15:00 ET,AFC,35.0,Marquez Lopez,UEFA,19.0,Murat Yakin,781d709d-7e4b-4993-9c87-325c4c4e2b53,2026-07-15T20:13:09.849198,wc_2026_fixtures.csv,CSV,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
B,Group Stage,Switzerland,Bosnia and Herzegovina,BC Place,Vancouver,Canada,2026-06-18,15:00 ET,UEFA,19.0,Murat Yakin,UEFA,52.0,Sergej Barbarez,9b61707f-8f8a-49d3-9a9c-e34698666653,2026-07-15T20:13:09.849198,wc_2026_fixtures.csv,CSV,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
B,Group Stage,Canada,Qatar,BC Place,Vancouver,Canada,2026-06-19,18:00 ET,CONCACAF,30.0,Jesse Marsch,AFC,35.0,Marquez Lopez,f36f2b9a-6643-406e-a146-71fe980e1dd8,2026-07-15T20:13:09.849198,wc_2026_fixtures.csv,CSV,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
B,Group Stage,Switzerland,Canada,BC Place,Vancouver,Canada,2026-06-24,18:00 ET,UEFA,19.0,Murat Yakin,CONCACAF,30.0,Jesse Marsch,293aa5a5-bb42-4c14-ae30-d34768bb1221,2026-07-15T20:13:09.849198,wc_2026_fixtures.csv,CSV,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
B,Group Stage,Bosnia and Herzegovina,Qatar,BMO Field,Toronto,Canada,2026-06-24,18:00 ET,UEFA,52.0,Sergej Barbarez,AFC,35.0,Marquez Lopez,ed47e4d0-cbb6-4ece-8784-df77a75bc591,2026-07-15T20:13:09.849198,wc_2026_fixtures.csv,CSV,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
C,Group Stage,Brazil,Morocco,MetLife Stadium,East Rutherford,USA,2026-06-13,18:00 ET,CONMEBOL,6.0,Dorival Júnior,CAF,8.0,Walid Regragui,9bba0b26-5813-4056-b69d-987ab7f80fa3,2026-07-15T20:13:09.849198,wc_2026_fixtures.csv,CSV,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
C,Group Stage,Haiti,Scotland,Gillette Stadium,Foxborough,USA,2026-06-13,21:00 ET,CONCACAF,83.0,Marc Collat,UEFA,47.0,Steve Clarke,2edc47b4-3eb7-415c-8c2a-c37fa38b8439,2026-07-15T20:13:09.849198,wc_2026_fixtures.csv,CSV,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
C,Group Stage,Brazil,Scotland,MetLife Stadium,East Rutherford,USA,2026-06-19,21:00 ET,CONMEBOL,6.0,Dorival Júnior,UEFA,47.0,Steve Clarke,4a4a1ad9-00b0-4b6c-9428-cd65df769e06,2026-07-15T20:13:09.849198,wc_2026_fixtures.csv,CSV,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
C,Group Stage,Morocco,Haiti,MetLife Stadium,East Rutherford,USA,2026-06-19,21:00 ET,CAF,8.0,Walid Regragui,CONCACAF,83.0,Marc Collat,6dfa187d-e215-48fa-833b-ba87d8a8b0a8,2026-07-15T20:13:09.849198,wc_2026_fixtures.csv,CSV,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
C,Group Stage,Scotland,Brazil,Gillette Stadium,Foxborough,USA,2026-06-24,21:00 ET,UEFA,47.0,Steve Clarke,CONMEBOL,6.0,Dorival Júnior,aa18df14-49af-4a8f-8e4d-bbbf695edd61,2026-07-15T20:13:09.849198,wc_2026_fixtures.csv,CSV,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
C,Group Stage,Morocco,Haiti,Gillette Stadium,Foxborough,USA,2026-06-24,21:00 ET,CAF,8.0,Walid Regragui,CONCACAF,83.0,Marc Collat,e2c72732-751d-486f-9d22-1f87092b99d3,2026-07-15T20:13:09.849198,wc_2026_fixtures.csv,CSV,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
D,Group Stage,USA,Paraguay,SoFi Stadium,Inglewood,USA,2026-06-12,21:00 ET,CONCACAF,16.0,Mauricio Pochettino,CONMEBOL,64.0,Gustavo Alfaro,af19cb87-5abb-4ab9-b50e-7f08036460c4,2026-07-15T20:13:09.849198,wc_2026_fixtures.csv,CSV,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
D,Group Stage,Australia,Türkiye,MetLife Stadium,East Rutherford,USA,2026-06-13,12:00 ET,AFC,26.0,Tony Popovic,UEFA,42.0,Vincenzo Montella,9d1e2298-6f8b-42d9-bfc2-e7c208e32823,2026-07-15T20:13:09.849198,wc_2026_fixtures.csv,CSV,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
D,Group Stage,USA,Australia,Lincoln Financial Field,Philadelphia,USA,2026-06-19,15:00 ET,CONCACAF,16.0,Mauricio Pochettino,AFC,26.0,Tony Popovic,0d84521c-88be-46a4-9c7d-9e9edd840b7e,2026-07-15T20:13:09.849198,wc_2026_fixtures.csv,CSV,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
D,Group Stage,Türkiye,Paraguay,MetLife Stadium,East Rutherford,USA,2026-06-20,00:00 ET,UEFA,42.0,Vincenzo Montella,CONMEBOL,64.0,Gustavo Alfaro,d7041d90-b297-4001-972d-7be395602ebe,2026-07-15T20:13:09.849198,wc_2026_fixtures.csv,CSV,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
D,Group Stage,Türkiye,USA,AT&T Stadium,Arlington,USA,2026-06-25,21:00 ET,UEFA,42.0,Vincenzo Montella,CONCACAF,16.0,Mauricio Pochettino,7647e0e8-344b-4083-9d30-001eb34b3e6a,2026-07-15T20:13:09.849198,wc_2026_fixtures.csv,CSV,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
D,Group Stage,Paraguay,Australia,AT&T Stadium,Arlington,USA,2026-06-25,21:00 ET,CONMEBOL,64.0,Gustavo Alfaro,AFC,26.0,Tony Popovic,cfb8f1a5-ac64-46c0-9295-fb6ac15098dd,2026-07-15T20:13:09.849198,wc_2026_fixtures.csv,CSV,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
