group,stage,team1,team2,venue,city,country,date,kickoff_et,team1_confederation,team1_fifa_rank,team1_coach,team2_confederation,team2_fifa_rank,team2_coach,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
A,Group Stage,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,2026-06-11,20:00 ET,CONCACAF,15.0,Javier Aguirre,CAF,60.0,Hugo Broos,bda680ec-d052-40b7-aa66-4952a930e960,2026-07-15T20:14:42.295065,wc_2026_fixtures.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
A,Group Stage,South Korea,Czechia,Estadio Akron,Guadalajara,Mexico,2026-06-11,22:00 ET,AFC,25.0,Hong Myung-bo,UEFA,41.0,Ivan Hasek,f9b35a90-5bb4-4655-99f5-ea5854f53f0d,2026-07-15T20:14:42.295065,wc_2026_fixtures.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
A,Group Stage,South Korea,Mexico,Estadio Akron,Guadalajara,Mexico,2026-06-18,21:00 ET,AFC,25.0,Hong Myung-bo,CONCACAF,15.0,Javier Aguirre,f6b0b523-d267-45f8-aed4-3382b3a500d7,2026-07-15T20:14:42.295065,wc_2026_fixtures.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
A,Group Stage,Czechia,South Africa,Estadio Akron,Guadalajara,Mexico,2026-06-18,18:00 ET,UEFA,41.0,Ivan Hasek,CAF,60.0,Hugo Broos,1cb1918c-c186-4663-ab70-ca61cb3d1790,2026-07-15T20:14:42.295065,wc_2026_fixtures.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
A,Group Stage,Czechia,Mexico,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,UEFA,41.0,Ivan Hasek,CONCACAF,15.0,Javier Aguirre,34aeca8e-eaf6-4b7e-a33c-5a859f0bc9d6,2026-07-15T20:14:42.295065,wc_2026_fixtures.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
A,Group Stage,South Africa,South Korea,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,CAF,60.0,Hugo Broos,AFC,25.0,Hong Myung-bo,ae7f95cf-cc6f-43e6-8940-04c38847bbbf,2026-07-15T20:14:42.295065,wc_2026_fixtures.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
B,Group Stage,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Canada,2026-06-12,15:00 ET,CONCACAF,30.0,Jesse Marsch,UEFA,52.0,Sergej Barbarez,c3b2912e-f42c-457d-9a8c-c9e0a801c6c8,2026-07-15T20:14:42.295065,wc_2026_fixtures.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
B,Group Stage,Qatar,Switzerland,Lumen Field,Seattle,USA,2026-06-13,15:00 ET,AFC,35.0,Marquez Lopez,UEFA,19.0,Murat Yakin,ce39f2b4-0900-46ef-852f-f8e6d78a328e,2026-07-15T20:14:42.295065,wc_2026_fixtures.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
B,Group Stage,Switzerland,Bosnia and Herzegovina,BC Place,Vancouver,Canada,2026-06-18,15:00 ET,UEFA,19.0,Murat Yakin,UEFA,52.0,Sergej Barbarez,434bd3fc-5079-4d87-a833-f34a07304963,2026-07-15T20:14:42.295065,wc_2026_fixtures.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
B,Group Stage,Canada,Qatar,BC Place,Vancouver,Canada,2026-06-19,18:00 ET,CONCACAF,30.0,Jesse Marsch,AFC,35.0,Marquez Lopez,01973447-0acf-4324-9c18-965810ab1c59,2026-07-15T20:14:42.295065,wc_2026_fixtures.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
