group,stage,team1,team2,venue,city,country,date,kickoff_et,team1_confederation,team1_fifa_rank,team1_coach,team2_confederation,team2_fifa_rank,team2_coach,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
A,Group Stage,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,2026-06-11,20:00 ET,CONCACAF,15.0,Javier Aguirre,CAF,60.0,Hugo Broos,e6fe7abf-9253-46c2-8e59-5532fc6c3dc6,2026-07-16T12:03:52.381950,wc_2026_fixtures.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
A,Group Stage,South Korea,Czechia,Estadio Akron,Guadalajara,Mexico,2026-06-11,22:00 ET,AFC,25.0,Hong Myung-bo,UEFA,41.0,Ivan Hasek,cad4f9b2-559d-4b1a-8616-892fa06ab3e6,2026-07-16T12:03:52.381950,wc_2026_fixtures.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
A,Group Stage,South Korea,Mexico,Estadio Akron,Guadalajara,Mexico,2026-06-18,21:00 ET,AFC,25.0,Hong Myung-bo,CONCACAF,15.0,Javier Aguirre,28e45caf-2777-4ddd-893b-0f5002a5aaee,2026-07-16T12:03:52.381950,wc_2026_fixtures.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
A,Group Stage,Czechia,South Africa,Estadio Akron,Guadalajara,Mexico,2026-06-18,18:00 ET,UEFA,41.0,Ivan Hasek,CAF,60.0,Hugo Broos,55bedab8-046a-4e0a-bef7-e51b50872e18,2026-07-16T12:03:52.381950,wc_2026_fixtures.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
A,Group Stage,Czechia,Mexico,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,UEFA,41.0,Ivan Hasek,CONCACAF,15.0,Javier Aguirre,348667a4-03ab-4806-94e4-45a691b1f97a,2026-07-16T12:03:52.381950,wc_2026_fixtures.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
A,Group Stage,South Africa,South Korea,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,CAF,60.0,Hugo Broos,AFC,25.0,Hong Myung-bo,f7699613-9417-41bf-8117-18abed775358,2026-07-16T12:03:52.381950,wc_2026_fixtures.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
B,Group Stage,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Canada,2026-06-12,15:00 ET,CONCACAF,30.0,Jesse Marsch,UEFA,52.0,Sergej Barbarez,ea85d179-af56-4520-8e47-53842010ac72,2026-07-16T12:03:52.381950,wc_2026_fixtures.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
B,Group Stage,Qatar,Switzerland,Lumen Field,Seattle,USA,2026-06-13,15:00 ET,AFC,35.0,Marquez Lopez,UEFA,19.0,Murat Yakin,3fd69b8c-6c0f-404c-81ac-c1ae25cb5dd4,2026-07-16T12:03:52.381950,wc_2026_fixtures.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
B,Group Stage,Switzerland,Bosnia and Herzegovina,BC Place,Vancouver,Canada,2026-06-18,15:00 ET,UEFA,19.0,Murat Yakin,UEFA,52.0,Sergej Barbarez,2a4883a0-6793-4ef5-901b-1b761192da4f,2026-07-16T12:03:52.381950,wc_2026_fixtures.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
B,Group Stage,Canada,Qatar,BC Place,Vancouver,Canada,2026-06-19,18:00 ET,CONCACAF,30.0,Jesse Marsch,AFC,35.0,Marquez Lopez,8335aa55-1f5c-4caa-95a8-a6ca60dd3771,2026-07-16T12:03:52.381950,wc_2026_fixtures.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
B,Group Stage,Switzerland,Canada,BC Place,Vancouver,Canada,2026-06-24,18:00 ET,UEFA,19.0,Murat Yakin,CONCACAF,30.0,Jesse Marsch,6a0be847-9bba-4dd0-bc08-82e7d3b61280,2026-07-16T12:03:52.381950,wc_2026_fixtures.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
B,Group Stage,Bosnia and Herzegovina,Qatar,BMO Field,Toronto,Canada,2026-06-24,18:00 ET,UEFA,52.0,Sergej Barbarez,AFC,35.0,Marquez Lopez,dc15c1e3-e6a1-4a3b-86e3-de4af634ae3d,2026-07-16T12:03:52.381950,wc_2026_fixtures.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
C,Group Stage,Brazil,Morocco,MetLife Stadium,East Rutherford,USA,2026-06-13,18:00 ET,CONMEBOL,6.0,Dorival Júnior,CAF,8.0,Walid Regragui,81366fe1-bf9f-40d0-9c92-2758f1e4b091,2026-07-16T12:03:52.381950,wc_2026_fixtures.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
C,Group Stage,Haiti,Scotland,Gillette Stadium,Foxborough,USA,2026-06-13,21:00 ET,CONCACAF,83.0,Marc Collat,UEFA,47.0,Steve Clarke,2859489b-0634-477d-8b89-653abba80504,2026-07-16T12:03:52.381950,wc_2026_fixtures.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
C,Group Stage,Brazil,Scotland,MetLife Stadium,East Rutherford,USA,2026-06-19,21:00 ET,CONMEBOL,6.0,Dorival Júnior,UEFA,47.0,Steve Clarke,0c05d5b1-892c-48bb-bf6d-c79e36766d22,2026-07-16T12:03:52.381950,wc_2026_fixtures.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
C,Group Stage,Morocco,Haiti,MetLife Stadium,East Rutherford,USA,2026-06-19,21:00 ET,CAF,8.0,Walid Regragui,CONCACAF,83.0,Marc Collat,572994cf-5736-46f1-970f-110866dfb293,2026-07-16T12:03:52.381950,wc_2026_fixtures.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
C,Group Stage,Scotland,Brazil,Gillette Stadium,Foxborough,USA,2026-06-24,21:00 ET,UEFA,47.0,Steve Clarke,CONMEBOL,6.0,Dorival Júnior,4fc7b6db-3d9d-496d-aee0-71a6e64e6f6d,2026-07-16T12:03:52.381950,wc_2026_fixtures.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
C,Group Stage,Morocco,Haiti,Gillette Stadium,Foxborough,USA,2026-06-24,21:00 ET,CAF,8.0,Walid Regragui,CONCACAF,83.0,Marc Collat,81b44ca9-2ad0-455f-9668-d73b598d8c29,2026-07-16T12:03:52.381950,wc_2026_fixtures.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
D,Group Stage,USA,Paraguay,SoFi Stadium,Inglewood,USA,2026-06-12,21:00 ET,CONCACAF,16.0,Mauricio Pochettino,CONMEBOL,64.0,Gustavo Alfaro,31f44e08-afa6-4584-916e-56ddf283e69c,2026-07-16T12:03:52.381950,wc_2026_fixtures.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
D,Group Stage,Australia,Türkiye,MetLife Stadium,East Rutherford,USA,2026-06-13,12:00 ET,AFC,26.0,Tony Popovic,UEFA,42.0,Vincenzo Montella,e4764f18-3af5-4824-b6af-ec1a28861141,2026-07-16T12:03:52.381950,wc_2026_fixtures.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
