group,stage,team1,team2,venue,city,country,date,kickoff_et,team1_confederation,team1_fifa_rank,team1_coach,team2_confederation,team2_fifa_rank,team2_coach,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
A,Group Stage,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,2026-06-11,20:00 ET,CONCACAF,15.0,Javier Aguirre,CAF,60.0,Hugo Broos,c532771f-5b81-4b35-8bf0-61ce62d979e9,2026-07-16T12:05:16.088884,wc_2026_fixtures.csv,CSV,62695da6-0afe-45a5-bf99-759e008fc2a3
A,Group Stage,South Korea,Czechia,Estadio Akron,Guadalajara,Mexico,2026-06-11,22:00 ET,AFC,25.0,Hong Myung-bo,UEFA,41.0,Ivan Hasek,dd43ec23-1d73-4707-94b8-62b5cbc7f8cc,2026-07-16T12:05:16.088884,wc_2026_fixtures.csv,CSV,62695da6-0afe-45a5-bf99-759e008fc2a3
A,Group Stage,South Korea,Mexico,Estadio Akron,Guadalajara,Mexico,2026-06-18,21:00 ET,AFC,25.0,Hong Myung-bo,CONCACAF,15.0,Javier Aguirre,c9e3d248-1880-49fd-a1b4-d54e40958aa9,2026-07-16T12:05:16.088884,wc_2026_fixtures.csv,CSV,62695da6-0afe-45a5-bf99-759e008fc2a3
A,Group Stage,Czechia,South Africa,Estadio Akron,Guadalajara,Mexico,2026-06-18,18:00 ET,UEFA,41.0,Ivan Hasek,CAF,60.0,Hugo Broos,db4b02d5-70bd-4f83-a42f-d27bdea00918,2026-07-16T12:05:16.088884,wc_2026_fixtures.csv,CSV,62695da6-0afe-45a5-bf99-759e008fc2a3
A,Group Stage,Czechia,Mexico,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,UEFA,41.0,Ivan Hasek,CONCACAF,15.0,Javier Aguirre,312c7698-a96d-4cc9-b92c-61ab9f4dd42c,2026-07-16T12:05:16.088884,wc_2026_fixtures.csv,CSV,62695da6-0afe-45a5-bf99-759e008fc2a3
A,Group Stage,South Africa,South Korea,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,CAF,60.0,Hugo Broos,AFC,25.0,Hong Myung-bo,f0e54ffc-54ca-4986-a897-3115c4c2f999,2026-07-16T12:05:16.088884,wc_2026_fixtures.csv,CSV,62695da6-0afe-45a5-bf99-759e008fc2a3
B,Group Stage,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Canada,2026-06-12,15:00 ET,CONCACAF,30.0,Jesse Marsch,UEFA,52.0,Sergej Barbarez,8d0a1063-365e-474d-ba2f-e0cf9dd4f263,2026-07-16T12:05:16.088884,wc_2026_fixtures.csv,CSV,62695da6-0afe-45a5-bf99-759e008fc2a3
B,Group Stage,Qatar,Switzerland,Lumen Field,Seattle,USA,2026-06-13,15:00 ET,AFC,35.0,Marquez Lopez,UEFA,19.0,Murat Yakin,5593e779-7c0a-44ab-8ce5-2682c9bb47a1,2026-07-16T12:05:16.088884,wc_2026_fixtures.csv,CSV,62695da6-0afe-45a5-bf99-759e008fc2a3
B,Group Stage,Switzerland,Bosnia and Herzegovina,BC Place,Vancouver,Canada,2026-06-18,15:00 ET,UEFA,19.0,Murat Yakin,UEFA,52.0,Sergej Barbarez,a02d4d1c-dff5-4742-982d-50879cbea81a,2026-07-16T12:05:16.088884,wc_2026_fixtures.csv,CSV,62695da6-0afe-45a5-bf99-759e008fc2a3
B,Group Stage,Canada,Qatar,BC Place,Vancouver,Canada,2026-06-19,18:00 ET,CONCACAF,30.0,Jesse Marsch,AFC,35.0,Marquez Lopez,5c1bfd62-5c07-441d-bc9c-40e6b3a0bc0b,2026-07-16T12:05:16.088884,wc_2026_fixtures.csv,CSV,62695da6-0afe-45a5-bf99-759e008fc2a3
