group,stage,team1,team2,venue,city,country,date,kickoff_et,team1_confederation,team1_fifa_rank,team1_coach,team2_confederation,team2_fifa_rank,team2_coach,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
A,Group Stage,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,2026-06-11,20:00 ET,CONCACAF,15.0,Javier Aguirre,CAF,60.0,Hugo Broos,8bf00c71-a17d-4c94-b968-62ba78a4c215,2026-07-18T10:35:41.059518,wc_2026_fixtures.csv,CSV,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
A,Group Stage,South Korea,Czechia,Estadio Akron,Guadalajara,Mexico,2026-06-11,22:00 ET,AFC,25.0,Hong Myung-bo,UEFA,41.0,Ivan Hasek,7becd482-4454-46b1-89a7-f522cca20cef,2026-07-18T10:35:41.059518,wc_2026_fixtures.csv,CSV,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
A,Group Stage,South Korea,Mexico,Estadio Akron,Guadalajara,Mexico,2026-06-18,21:00 ET,AFC,25.0,Hong Myung-bo,CONCACAF,15.0,Javier Aguirre,f22e1bd3-b82c-4da1-9a7e-8730666a06ea,2026-07-18T10:35:41.059518,wc_2026_fixtures.csv,CSV,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
A,Group Stage,Czechia,South Africa,Estadio Akron,Guadalajara,Mexico,2026-06-18,18:00 ET,UEFA,41.0,Ivan Hasek,CAF,60.0,Hugo Broos,e6bec11f-fe4d-4ff0-9cc0-45a177cd841f,2026-07-18T10:35:41.059518,wc_2026_fixtures.csv,CSV,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
A,Group Stage,Czechia,Mexico,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,UEFA,41.0,Ivan Hasek,CONCACAF,15.0,Javier Aguirre,0ce9136d-bdaa-4012-bd40-2c64d9224e42,2026-07-18T10:35:41.059518,wc_2026_fixtures.csv,CSV,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
A,Group Stage,South Africa,South Korea,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,CAF,60.0,Hugo Broos,AFC,25.0,Hong Myung-bo,cff875c5-ab5b-4135-b823-12a02d2a5ffe,2026-07-18T10:35:41.059518,wc_2026_fixtures.csv,CSV,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
B,Group Stage,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Canada,2026-06-12,15:00 ET,CONCACAF,30.0,Jesse Marsch,UEFA,52.0,Sergej Barbarez,378da6bd-e63d-45d2-8234-2b792619d5d9,2026-07-18T10:35:41.059518,wc_2026_fixtures.csv,CSV,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
B,Group Stage,Qatar,Switzerland,Lumen Field,Seattle,USA,2026-06-13,15:00 ET,AFC,35.0,Marquez Lopez,UEFA,19.0,Murat Yakin,5eb61b63-d892-4101-852c-0df051ef8ef3,2026-07-18T10:35:41.059518,wc_2026_fixtures.csv,CSV,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
B,Group Stage,Switzerland,Bosnia and Herzegovina,BC Place,Vancouver,Canada,2026-06-18,15:00 ET,UEFA,19.0,Murat Yakin,UEFA,52.0,Sergej Barbarez,41092e14-dd82-4933-83ae-3978ccf30765,2026-07-18T10:35:41.059518,wc_2026_fixtures.csv,CSV,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
B,Group Stage,Canada,Qatar,BC Place,Vancouver,Canada,2026-06-19,18:00 ET,CONCACAF,30.0,Jesse Marsch,AFC,35.0,Marquez Lopez,5973f969-2b00-49a2-a360-6e808ee7a5d2,2026-07-18T10:35:41.059518,wc_2026_fixtures.csv,CSV,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
B,Group Stage,Switzerland,Canada,BC Place,Vancouver,Canada,2026-06-24,18:00 ET,UEFA,19.0,Murat Yakin,CONCACAF,30.0,Jesse Marsch,8f69d86a-d63f-4912-a5e5-175c2cc500da,2026-07-18T10:35:41.059518,wc_2026_fixtures.csv,CSV,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
B,Group Stage,Bosnia and Herzegovina,Qatar,BMO Field,Toronto,Canada,2026-06-24,18:00 ET,UEFA,52.0,Sergej Barbarez,AFC,35.0,Marquez Lopez,c360f044-033d-44e2-bf54-2b27df510a8b,2026-07-18T10:35:41.059518,wc_2026_fixtures.csv,CSV,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
C,Group Stage,Brazil,Morocco,MetLife Stadium,East Rutherford,USA,2026-06-13,18:00 ET,CONMEBOL,6.0,Dorival Júnior,CAF,8.0,Walid Regragui,9ea67876-4cc8-4e78-97fa-d0139b5d4b0b,2026-07-18T10:35:41.059518,wc_2026_fixtures.csv,CSV,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
C,Group Stage,Haiti,Scotland,Gillette Stadium,Foxborough,USA,2026-06-13,21:00 ET,CONCACAF,83.0,Marc Collat,UEFA,47.0,Steve Clarke,5622fb35-3c46-486d-abb7-1bd8a882e1b2,2026-07-18T10:35:41.059518,wc_2026_fixtures.csv,CSV,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
C,Group Stage,Brazil,Scotland,MetLife Stadium,East Rutherford,USA,2026-06-19,21:00 ET,CONMEBOL,6.0,Dorival Júnior,UEFA,47.0,Steve Clarke,b76c0ade-846b-4bb1-8248-55cf440a32bc,2026-07-18T10:35:41.059518,wc_2026_fixtures.csv,CSV,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
C,Group Stage,Morocco,Haiti,MetLife Stadium,East Rutherford,USA,2026-06-19,21:00 ET,CAF,8.0,Walid Regragui,CONCACAF,83.0,Marc Collat,2b1d5b6b-9d3e-4ba2-8ec4-62ac06bd34f3,2026-07-18T10:35:41.059518,wc_2026_fixtures.csv,CSV,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
