group,stage,team1,team2,venue,city,country,date,kickoff_et,team1_confederation,team1_fifa_rank,team1_coach,team2_confederation,team2_fifa_rank,team2_coach,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
A,Group Stage,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,2026-06-11,20:00 ET,CONCACAF,15.0,Javier Aguirre,CAF,60.0,Hugo Broos,26b4a503-9b4a-4207-b599-2a70367e4913,2026-07-18T10:55:39.084787,wc_2026_fixtures.csv,CSV,f4baacd1-078b-4952-a47b-082060e69a66
A,Group Stage,South Korea,Czechia,Estadio Akron,Guadalajara,Mexico,2026-06-11,22:00 ET,AFC,25.0,Hong Myung-bo,UEFA,41.0,Ivan Hasek,e2c68a8e-8515-491b-8e31-b30455f53dd6,2026-07-18T10:55:39.084787,wc_2026_fixtures.csv,CSV,f4baacd1-078b-4952-a47b-082060e69a66
A,Group Stage,South Korea,Mexico,Estadio Akron,Guadalajara,Mexico,2026-06-18,21:00 ET,AFC,25.0,Hong Myung-bo,CONCACAF,15.0,Javier Aguirre,5b0d0b7b-d81e-4d14-866f-85a82cc227ce,2026-07-18T10:55:39.084787,wc_2026_fixtures.csv,CSV,f4baacd1-078b-4952-a47b-082060e69a66
A,Group Stage,Czechia,South Africa,Estadio Akron,Guadalajara,Mexico,2026-06-18,18:00 ET,UEFA,41.0,Ivan Hasek,CAF,60.0,Hugo Broos,6c773fc5-f812-4898-b2e9-cd44da61f653,2026-07-18T10:55:39.084787,wc_2026_fixtures.csv,CSV,f4baacd1-078b-4952-a47b-082060e69a66
A,Group Stage,Czechia,Mexico,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,UEFA,41.0,Ivan Hasek,CONCACAF,15.0,Javier Aguirre,ec99c699-ae88-4c8a-a181-b3a6f0b8aa43,2026-07-18T10:55:39.084787,wc_2026_fixtures.csv,CSV,f4baacd1-078b-4952-a47b-082060e69a66
A,Group Stage,South Africa,South Korea,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,CAF,60.0,Hugo Broos,AFC,25.0,Hong Myung-bo,1a5622f2-5085-4068-9527-35a23fbd7b75,2026-07-18T10:55:39.084787,wc_2026_fixtures.csv,CSV,f4baacd1-078b-4952-a47b-082060e69a66
B,Group Stage,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Canada,2026-06-12,15:00 ET,CONCACAF,30.0,Jesse Marsch,UEFA,52.0,Sergej Barbarez,cc64846f-6051-4e8b-986b-48f38ca024c2,2026-07-18T10:55:39.084787,wc_2026_fixtures.csv,CSV,f4baacd1-078b-4952-a47b-082060e69a66
B,Group Stage,Qatar,Switzerland,Lumen Field,Seattle,USA,2026-06-13,15:00 ET,AFC,35.0,Marquez Lopez,UEFA,19.0,Murat Yakin,8fb57517-4740-4b61-a87c-955454e1cc22,2026-07-18T10:55:39.084787,wc_2026_fixtures.csv,CSV,f4baacd1-078b-4952-a47b-082060e69a66
B,Group Stage,Switzerland,Bosnia and Herzegovina,BC Place,Vancouver,Canada,2026-06-18,15:00 ET,UEFA,19.0,Murat Yakin,UEFA,52.0,Sergej Barbarez,3c517818-d704-429a-bf6d-6d62deaea341,2026-07-18T10:55:39.084787,wc_2026_fixtures.csv,CSV,f4baacd1-078b-4952-a47b-082060e69a66
B,Group Stage,Canada,Qatar,BC Place,Vancouver,Canada,2026-06-19,18:00 ET,CONCACAF,30.0,Jesse Marsch,AFC,35.0,Marquez Lopez,f9e69016-3e1a-4f91-8b68-5ab6689905ff,2026-07-18T10:55:39.084787,wc_2026_fixtures.csv,CSV,f4baacd1-078b-4952-a47b-082060e69a66
