group,stage,team1,team2,venue,city,country,date,kickoff_et,team1_confederation,team1_fifa_rank,team1_coach,team2_confederation,team2_fifa_rank,team2_coach,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
A,Group Stage,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,2026-06-11,20:00 ET,CONCACAF,15.0,Javier Aguirre,CAF,60.0,Hugo Broos,397e7c0c-a1ac-4ad9-a47b-8c6edc08a094,2026-07-21T14:40:46.569091,wc_2026_fixtures.csv,CSV,28b06e72-2989-4cb8-aeb1-1b9b1708057b
A,Group Stage,South Korea,Czechia,Estadio Akron,Guadalajara,Mexico,2026-06-11,22:00 ET,AFC,25.0,Hong Myung-bo,UEFA,41.0,Ivan Hasek,b87d9fd3-6dfe-4553-831c-2cb40a4f5b9a,2026-07-21T14:40:46.569091,wc_2026_fixtures.csv,CSV,28b06e72-2989-4cb8-aeb1-1b9b1708057b
A,Group Stage,South Korea,Mexico,Estadio Akron,Guadalajara,Mexico,2026-06-18,21:00 ET,AFC,25.0,Hong Myung-bo,CONCACAF,15.0,Javier Aguirre,83276e58-7e69-458c-a2a9-a1b451651298,2026-07-21T14:40:46.569091,wc_2026_fixtures.csv,CSV,28b06e72-2989-4cb8-aeb1-1b9b1708057b
A,Group Stage,Czechia,South Africa,Estadio Akron,Guadalajara,Mexico,2026-06-18,18:00 ET,UEFA,41.0,Ivan Hasek,CAF,60.0,Hugo Broos,0f44ebaa-e06f-456b-b5ab-4e144b3dee8d,2026-07-21T14:40:46.569091,wc_2026_fixtures.csv,CSV,28b06e72-2989-4cb8-aeb1-1b9b1708057b
A,Group Stage,Czechia,Mexico,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,UEFA,41.0,Ivan Hasek,CONCACAF,15.0,Javier Aguirre,7643597f-f1e2-45aa-9319-d4a6121a9818,2026-07-21T14:40:46.569091,wc_2026_fixtures.csv,CSV,28b06e72-2989-4cb8-aeb1-1b9b1708057b
A,Group Stage,South Africa,South Korea,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,CAF,60.0,Hugo Broos,AFC,25.0,Hong Myung-bo,7dcc5cef-5dba-4703-9c41-980959ba20b7,2026-07-21T14:40:46.569091,wc_2026_fixtures.csv,CSV,28b06e72-2989-4cb8-aeb1-1b9b1708057b
B,Group Stage,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Canada,2026-06-12,15:00 ET,CONCACAF,30.0,Jesse Marsch,UEFA,52.0,Sergej Barbarez,44ca533c-3a85-4eb4-a6f6-e5d0c96a2c05,2026-07-21T14:40:46.569091,wc_2026_fixtures.csv,CSV,28b06e72-2989-4cb8-aeb1-1b9b1708057b
B,Group Stage,Qatar,Switzerland,Lumen Field,Seattle,USA,2026-06-13,15:00 ET,AFC,35.0,Marquez Lopez,UEFA,19.0,Murat Yakin,9ef96972-a6ff-477a-8263-a1c48fdad8bc,2026-07-21T14:40:46.569091,wc_2026_fixtures.csv,CSV,28b06e72-2989-4cb8-aeb1-1b9b1708057b
B,Group Stage,Switzerland,Bosnia and Herzegovina,BC Place,Vancouver,Canada,2026-06-18,15:00 ET,UEFA,19.0,Murat Yakin,UEFA,52.0,Sergej Barbarez,0d49916f-a603-4293-941b-7a72ea0f1158,2026-07-21T14:40:46.569091,wc_2026_fixtures.csv,CSV,28b06e72-2989-4cb8-aeb1-1b9b1708057b
B,Group Stage,Canada,Qatar,BC Place,Vancouver,Canada,2026-06-19,18:00 ET,CONCACAF,30.0,Jesse Marsch,AFC,35.0,Marquez Lopez,c7e5b14b-d4e8-485c-ae6c-b98123d4f48f,2026-07-21T14:40:46.569091,wc_2026_fixtures.csv,CSV,28b06e72-2989-4cb8-aeb1-1b9b1708057b
