group,stage,team1,team2,venue,city,country,date,kickoff_et,team1_confederation,team1_fifa_rank,team1_coach,team2_confederation,team2_fifa_rank,team2_coach,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
A,Group Stage,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,2026-06-11,20:00 ET,CONCACAF,15.0,Javier Aguirre,CAF,60.0,Hugo Broos,8e23d385-a10d-4fd6-9ab0-738d89b27a76,2026-07-21T14:38:42.737953,wc_2026_fixtures.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
A,Group Stage,South Korea,Czechia,Estadio Akron,Guadalajara,Mexico,2026-06-11,22:00 ET,AFC,25.0,Hong Myung-bo,UEFA,41.0,Ivan Hasek,eac396ff-2e55-43ad-9609-9e1ce410abfd,2026-07-21T14:38:42.737953,wc_2026_fixtures.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
A,Group Stage,South Korea,Mexico,Estadio Akron,Guadalajara,Mexico,2026-06-18,21:00 ET,AFC,25.0,Hong Myung-bo,CONCACAF,15.0,Javier Aguirre,ce06be7c-d8b3-4eca-9dcf-765d179c540b,2026-07-21T14:38:42.737953,wc_2026_fixtures.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
A,Group Stage,Czechia,South Africa,Estadio Akron,Guadalajara,Mexico,2026-06-18,18:00 ET,UEFA,41.0,Ivan Hasek,CAF,60.0,Hugo Broos,35a146b1-71d3-4651-b14e-2d7b8f6cf4ed,2026-07-21T14:38:42.737953,wc_2026_fixtures.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
A,Group Stage,Czechia,Mexico,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,UEFA,41.0,Ivan Hasek,CONCACAF,15.0,Javier Aguirre,7e475239-164e-4778-ac01-e6735171e8c1,2026-07-21T14:38:42.737953,wc_2026_fixtures.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
A,Group Stage,South Africa,South Korea,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,CAF,60.0,Hugo Broos,AFC,25.0,Hong Myung-bo,9ac230c2-716c-43db-9268-d414974b5197,2026-07-21T14:38:42.737953,wc_2026_fixtures.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
B,Group Stage,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Canada,2026-06-12,15:00 ET,CONCACAF,30.0,Jesse Marsch,UEFA,52.0,Sergej Barbarez,11ad7d43-c0da-4e7c-b82b-7e4c4b340ab2,2026-07-21T14:38:42.737953,wc_2026_fixtures.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
B,Group Stage,Qatar,Switzerland,Lumen Field,Seattle,USA,2026-06-13,15:00 ET,AFC,35.0,Marquez Lopez,UEFA,19.0,Murat Yakin,6849d59e-c851-4a9f-baea-55841e14029a,2026-07-21T14:38:42.737953,wc_2026_fixtures.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
B,Group Stage,Switzerland,Bosnia and Herzegovina,BC Place,Vancouver,Canada,2026-06-18,15:00 ET,UEFA,19.0,Murat Yakin,UEFA,52.0,Sergej Barbarez,1eee59c5-5b75-4471-b3ce-5d653fce998d,2026-07-21T14:38:42.737953,wc_2026_fixtures.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
B,Group Stage,Canada,Qatar,BC Place,Vancouver,Canada,2026-06-19,18:00 ET,CONCACAF,30.0,Jesse Marsch,AFC,35.0,Marquez Lopez,3bdbc0be-2a72-4d17-9b78-2a5c918bd515,2026-07-21T14:38:42.737953,wc_2026_fixtures.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
B,Group Stage,Switzerland,Canada,BC Place,Vancouver,Canada,2026-06-24,18:00 ET,UEFA,19.0,Murat Yakin,CONCACAF,30.0,Jesse Marsch,a737ed1b-f959-46a9-9c96-40fc9e842b97,2026-07-21T14:38:42.737953,wc_2026_fixtures.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
B,Group Stage,Bosnia and Herzegovina,Qatar,BMO Field,Toronto,Canada,2026-06-24,18:00 ET,UEFA,52.0,Sergej Barbarez,AFC,35.0,Marquez Lopez,a7826ea2-1d3b-4135-98ce-b3f8579c9de4,2026-07-21T14:38:42.737953,wc_2026_fixtures.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
C,Group Stage,Brazil,Morocco,MetLife Stadium,East Rutherford,USA,2026-06-13,18:00 ET,CONMEBOL,6.0,Dorival Júnior,CAF,8.0,Walid Regragui,c084ba3d-5be5-4da6-a09b-3af403834485,2026-07-21T14:38:42.737953,wc_2026_fixtures.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
C,Group Stage,Haiti,Scotland,Gillette Stadium,Foxborough,USA,2026-06-13,21:00 ET,CONCACAF,83.0,Marc Collat,UEFA,47.0,Steve Clarke,d1a151aa-3ff3-4787-8aca-59fb7bb98d01,2026-07-21T14:38:42.737953,wc_2026_fixtures.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
C,Group Stage,Brazil,Scotland,MetLife Stadium,East Rutherford,USA,2026-06-19,21:00 ET,CONMEBOL,6.0,Dorival Júnior,UEFA,47.0,Steve Clarke,8c703460-b755-4dd0-8d21-98f50bcd75fb,2026-07-21T14:38:42.737953,wc_2026_fixtures.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
C,Group Stage,Morocco,Haiti,MetLife Stadium,East Rutherford,USA,2026-06-19,21:00 ET,CAF,8.0,Walid Regragui,CONCACAF,83.0,Marc Collat,1ce416ea-a099-47e1-be79-909aeb4bd2c8,2026-07-21T14:38:42.737953,wc_2026_fixtures.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
C,Group Stage,Scotland,Brazil,Gillette Stadium,Foxborough,USA,2026-06-24,21:00 ET,UEFA,47.0,Steve Clarke,CONMEBOL,6.0,Dorival Júnior,f1baa48a-0afa-4f52-adb3-153d9581c42d,2026-07-21T14:38:42.737953,wc_2026_fixtures.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
C,Group Stage,Morocco,Haiti,Gillette Stadium,Foxborough,USA,2026-06-24,21:00 ET,CAF,8.0,Walid Regragui,CONCACAF,83.0,Marc Collat,f63426a2-6467-46cc-b750-740ec4b0d586,2026-07-21T14:38:42.737953,wc_2026_fixtures.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
D,Group Stage,USA,Paraguay,SoFi Stadium,Inglewood,USA,2026-06-12,21:00 ET,CONCACAF,16.0,Mauricio Pochettino,CONMEBOL,64.0,Gustavo Alfaro,8274988e-efb8-492f-a9c6-7c9322583ef6,2026-07-21T14:38:42.737953,wc_2026_fixtures.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
D,Group Stage,Australia,Türkiye,MetLife Stadium,East Rutherford,USA,2026-06-13,12:00 ET,AFC,26.0,Tony Popovic,UEFA,42.0,Vincenzo Montella,0b832fb5-54bf-448c-9248-be3ef25d6a60,2026-07-21T14:38:42.737953,wc_2026_fixtures.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
D,Group Stage,USA,Australia,Lincoln Financial Field,Philadelphia,USA,2026-06-19,15:00 ET,CONCACAF,16.0,Mauricio Pochettino,AFC,26.0,Tony Popovic,f4bc0024-ee2b-4f5b-b223-4c309b985ccb,2026-07-21T14:38:42.737953,wc_2026_fixtures.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
D,Group Stage,Türkiye,Paraguay,MetLife Stadium,East Rutherford,USA,2026-06-20,00:00 ET,UEFA,42.0,Vincenzo Montella,CONMEBOL,64.0,Gustavo Alfaro,16f44d0f-12d3-4721-98aa-19be18146740,2026-07-21T14:38:42.737953,wc_2026_fixtures.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
D,Group Stage,Türkiye,USA,AT&T Stadium,Arlington,USA,2026-06-25,21:00 ET,UEFA,42.0,Vincenzo Montella,CONCACAF,16.0,Mauricio Pochettino,5bf66b43-b360-4e2f-beea-e20ca5b5401d,2026-07-21T14:38:42.737953,wc_2026_fixtures.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
D,Group Stage,Paraguay,Australia,AT&T Stadium,Arlington,USA,2026-06-25,21:00 ET,CONMEBOL,64.0,Gustavo Alfaro,AFC,26.0,Tony Popovic,930b818b-d79d-4db0-a2da-f6c16f53d2d9,2026-07-21T14:38:42.737953,wc_2026_fixtures.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
E,Group Stage,Germany,Curaçao,NRG Stadium,Houston,USA,2026-06-14,13:00 ET,UEFA,10.0,Julian Nagelsmann,CONCACAF,81.0,Dick Advocaat,bc899f69-09c1-4028-ad4a-6096bc5e5b5b,2026-07-21T14:38:42.737953,wc_2026_fixtures.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
E,Group Stage,Ivory Coast,Ecuador,Lincoln Financial Field,Philadelphia,USA,2026-06-14,19:00 ET,CAF,33.0,Emerse Faé,CONMEBOL,24.0,Sebastián Beccacece,bb2ce86f-276c-4459-9f3d-bda831a5f0a6,2026-07-21T14:38:42.737953,wc_2026_fixtures.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
E,Group Stage,Germany,Ivory Coast,NRG Stadium,Houston,USA,2026-06-20,19:00 ET,UEFA,10.0,Julian Nagelsmann,CAF,33.0,Emerse Faé,f02c60fa-ab40-4e48-ba83-f39f178dd6f4,2026-07-21T14:38:42.737953,wc_2026_fixtures.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
E,Group Stage,Ecuador,Curaçao,Mercedes-Benz Stadium,Atlanta,USA,2026-06-20,22:00 ET,CONMEBOL,24.0,Sebastián Beccacece,CONCACAF,81.0,Dick Advocaat,4bfb4567-7a27-4caa-99b2-3360864d9883,2026-07-21T14:38:42.737953,wc_2026_fixtures.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
