group,stage,team1,team2,venue,city,country,date,kickoff_et,team1_confederation,team1_fifa_rank,team1_coach,team2_confederation,team2_fifa_rank,team2_coach,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
A,Group Stage,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,2026-06-11,20:00 ET,CONCACAF,15.0,Javier Aguirre,CAF,60.0,Hugo Broos,77d32768-060c-45a3-8262-86e52cd37c3e,2026-07-26T12:10:00.029164,wc_2026_fixtures.csv,CSV,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
A,Group Stage,South Korea,Czechia,Estadio Akron,Guadalajara,Mexico,2026-06-11,22:00 ET,AFC,25.0,Hong Myung-bo,UEFA,41.0,Ivan Hasek,0c5b1db1-b753-4530-80d2-bf7207ffb77a,2026-07-26T12:10:00.029164,wc_2026_fixtures.csv,CSV,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
A,Group Stage,South Korea,Mexico,Estadio Akron,Guadalajara,Mexico,2026-06-18,21:00 ET,AFC,25.0,Hong Myung-bo,CONCACAF,15.0,Javier Aguirre,1d708fa0-bf60-4fe7-9f36-d984203fccd1,2026-07-26T12:10:00.029164,wc_2026_fixtures.csv,CSV,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
A,Group Stage,Czechia,South Africa,Estadio Akron,Guadalajara,Mexico,2026-06-18,18:00 ET,UEFA,41.0,Ivan Hasek,CAF,60.0,Hugo Broos,d92804ec-87a0-42a0-ab65-4855802266b3,2026-07-26T12:10:00.029164,wc_2026_fixtures.csv,CSV,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
A,Group Stage,Czechia,Mexico,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,UEFA,41.0,Ivan Hasek,CONCACAF,15.0,Javier Aguirre,61cd801d-a7eb-4a8d-8472-84ad30338b03,2026-07-26T12:10:00.029164,wc_2026_fixtures.csv,CSV,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
A,Group Stage,South Africa,South Korea,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,CAF,60.0,Hugo Broos,AFC,25.0,Hong Myung-bo,3d21b733-a96d-4f18-9f9a-2f5d8967534a,2026-07-26T12:10:00.029164,wc_2026_fixtures.csv,CSV,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
B,Group Stage,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Canada,2026-06-12,15:00 ET,CONCACAF,30.0,Jesse Marsch,UEFA,52.0,Sergej Barbarez,5e9c9aee-24c0-4760-ab50-fbd6cddc2652,2026-07-26T12:10:00.029164,wc_2026_fixtures.csv,CSV,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
B,Group Stage,Qatar,Switzerland,Lumen Field,Seattle,USA,2026-06-13,15:00 ET,AFC,35.0,Marquez Lopez,UEFA,19.0,Murat Yakin,8b164463-1a83-4d3b-88a8-86a2d2ffe737,2026-07-26T12:10:00.029164,wc_2026_fixtures.csv,CSV,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
B,Group Stage,Switzerland,Bosnia and Herzegovina,BC Place,Vancouver,Canada,2026-06-18,15:00 ET,UEFA,19.0,Murat Yakin,UEFA,52.0,Sergej Barbarez,01108f82-67e7-47ba-9c47-24bea2baec09,2026-07-26T12:10:00.029164,wc_2026_fixtures.csv,CSV,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
B,Group Stage,Canada,Qatar,BC Place,Vancouver,Canada,2026-06-19,18:00 ET,CONCACAF,30.0,Jesse Marsch,AFC,35.0,Marquez Lopez,4d5cef0d-aac0-4624-bb7b-51b58932eebe,2026-07-26T12:10:00.029164,wc_2026_fixtures.csv,CSV,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
