group,stage,team1,team2,venue,city,country,date,kickoff_et,team1_confederation,team1_fifa_rank,team1_coach,team2_confederation,team2_fifa_rank,team2_coach,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
A,Group Stage,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,2026-06-11,20:00 ET,CONCACAF,15.0,Javier Aguirre,CAF,60.0,Hugo Broos,636c9bc4-9305-4ee7-aa9a-525e7862dab3,2026-07-28T05:03:01.004795,wc_2026_fixtures.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
A,Group Stage,South Korea,Czechia,Estadio Akron,Guadalajara,Mexico,2026-06-11,22:00 ET,AFC,25.0,Hong Myung-bo,UEFA,41.0,Ivan Hasek,248440ad-0fee-4fa7-986f-8c98c29a8264,2026-07-28T05:03:01.004795,wc_2026_fixtures.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
A,Group Stage,South Korea,Mexico,Estadio Akron,Guadalajara,Mexico,2026-06-18,21:00 ET,AFC,25.0,Hong Myung-bo,CONCACAF,15.0,Javier Aguirre,ce5c8998-1867-4d21-b8f6-e38c752cf61e,2026-07-28T05:03:01.004795,wc_2026_fixtures.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
A,Group Stage,Czechia,South Africa,Estadio Akron,Guadalajara,Mexico,2026-06-18,18:00 ET,UEFA,41.0,Ivan Hasek,CAF,60.0,Hugo Broos,4f76dc7e-6cc0-44f9-bec1-06f1816d72bb,2026-07-28T05:03:01.004795,wc_2026_fixtures.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
A,Group Stage,Czechia,Mexico,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,UEFA,41.0,Ivan Hasek,CONCACAF,15.0,Javier Aguirre,aaf0a117-c687-4cba-9d75-3dd07a13e248,2026-07-28T05:03:01.004795,wc_2026_fixtures.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
A,Group Stage,South Africa,South Korea,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,CAF,60.0,Hugo Broos,AFC,25.0,Hong Myung-bo,379d6d8a-d9c2-47f6-8a7a-356b073051d2,2026-07-28T05:03:01.004795,wc_2026_fixtures.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
B,Group Stage,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Canada,2026-06-12,15:00 ET,CONCACAF,30.0,Jesse Marsch,UEFA,52.0,Sergej Barbarez,7665170a-d285-4208-b810-c3f2abb92430,2026-07-28T05:03:01.004795,wc_2026_fixtures.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
B,Group Stage,Qatar,Switzerland,Lumen Field,Seattle,USA,2026-06-13,15:00 ET,AFC,35.0,Marquez Lopez,UEFA,19.0,Murat Yakin,c1bb2f4f-9282-4261-bf04-a0f06217c662,2026-07-28T05:03:01.004795,wc_2026_fixtures.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
B,Group Stage,Switzerland,Bosnia and Herzegovina,BC Place,Vancouver,Canada,2026-06-18,15:00 ET,UEFA,19.0,Murat Yakin,UEFA,52.0,Sergej Barbarez,f7cb0d86-cf60-4c88-933d-94f408d9b7d5,2026-07-28T05:03:01.004795,wc_2026_fixtures.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
B,Group Stage,Canada,Qatar,BC Place,Vancouver,Canada,2026-06-19,18:00 ET,CONCACAF,30.0,Jesse Marsch,AFC,35.0,Marquez Lopez,5c95298f-b0ad-442e-8dc5-3632cdf9be4b,2026-07-28T05:03:01.004795,wc_2026_fixtures.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
B,Group Stage,Switzerland,Canada,BC Place,Vancouver,Canada,2026-06-24,18:00 ET,UEFA,19.0,Murat Yakin,CONCACAF,30.0,Jesse Marsch,186d7ea6-650f-4306-911d-33301048b637,2026-07-28T05:03:01.004795,wc_2026_fixtures.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
B,Group Stage,Bosnia and Herzegovina,Qatar,BMO Field,Toronto,Canada,2026-06-24,18:00 ET,UEFA,52.0,Sergej Barbarez,AFC,35.0,Marquez Lopez,f83b7074-3428-4365-94dc-e95293f29d00,2026-07-28T05:03:01.004795,wc_2026_fixtures.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
C,Group Stage,Brazil,Morocco,MetLife Stadium,East Rutherford,USA,2026-06-13,18:00 ET,CONMEBOL,6.0,Dorival Júnior,CAF,8.0,Walid Regragui,3399e496-f00a-4ef3-883e-511857721198,2026-07-28T05:03:01.004795,wc_2026_fixtures.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
C,Group Stage,Haiti,Scotland,Gillette Stadium,Foxborough,USA,2026-06-13,21:00 ET,CONCACAF,83.0,Marc Collat,UEFA,47.0,Steve Clarke,957c7409-136f-468f-bc37-806d75c8a299,2026-07-28T05:03:01.004795,wc_2026_fixtures.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
C,Group Stage,Brazil,Scotland,MetLife Stadium,East Rutherford,USA,2026-06-19,21:00 ET,CONMEBOL,6.0,Dorival Júnior,UEFA,47.0,Steve Clarke,091200df-1e8b-493c-903a-8d969ce6d420,2026-07-28T05:03:01.004795,wc_2026_fixtures.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
C,Group Stage,Morocco,Haiti,MetLife Stadium,East Rutherford,USA,2026-06-19,21:00 ET,CAF,8.0,Walid Regragui,CONCACAF,83.0,Marc Collat,5332d37a-8c0b-4dd0-b74a-d95bd24f07f8,2026-07-28T05:03:01.004795,wc_2026_fixtures.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
C,Group Stage,Scotland,Brazil,Gillette Stadium,Foxborough,USA,2026-06-24,21:00 ET,UEFA,47.0,Steve Clarke,CONMEBOL,6.0,Dorival Júnior,4c7105ab-5fa1-4554-8e8c-67c6c01e50da,2026-07-28T05:03:01.004795,wc_2026_fixtures.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
C,Group Stage,Morocco,Haiti,Gillette Stadium,Foxborough,USA,2026-06-24,21:00 ET,CAF,8.0,Walid Regragui,CONCACAF,83.0,Marc Collat,45aa6386-065d-46fe-b460-e5896c6723b3,2026-07-28T05:03:01.004795,wc_2026_fixtures.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
D,Group Stage,USA,Paraguay,SoFi Stadium,Inglewood,USA,2026-06-12,21:00 ET,CONCACAF,16.0,Mauricio Pochettino,CONMEBOL,64.0,Gustavo Alfaro,82c6d01b-b235-479a-8fb4-388b07c8227f,2026-07-28T05:03:01.004795,wc_2026_fixtures.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
D,Group Stage,Australia,Türkiye,MetLife Stadium,East Rutherford,USA,2026-06-13,12:00 ET,AFC,26.0,Tony Popovic,UEFA,42.0,Vincenzo Montella,10e24be8-917e-4908-b370-795f83029aa1,2026-07-28T05:03:01.004795,wc_2026_fixtures.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
D,Group Stage,USA,Australia,Lincoln Financial Field,Philadelphia,USA,2026-06-19,15:00 ET,CONCACAF,16.0,Mauricio Pochettino,AFC,26.0,Tony Popovic,672e5e34-c36b-4786-b35d-6cefe6dbf065,2026-07-28T05:03:01.004795,wc_2026_fixtures.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
