group,stage,team1,team2,venue,city,country,date,kickoff_et,team1_confederation,team1_fifa_rank,team1_coach,team2_confederation,team2_fifa_rank,team2_coach,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
A,Group Stage,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,2026-06-11,20:00 ET,CONCACAF,15.0,Javier Aguirre,CAF,60.0,Hugo Broos,1195890e-cca4-469d-b4be-2932d4dac41a,2026-08-04T15:13:21.816051,wc_2026_fixtures.csv,CSV,2d3566d1-cabc-43d5-a1c3-519cc333b41c
A,Group Stage,South Korea,Czechia,Estadio Akron,Guadalajara,Mexico,2026-06-11,22:00 ET,AFC,25.0,Hong Myung-bo,UEFA,41.0,Ivan Hasek,c82bd010-bbe2-442b-bbc0-cc95e25a7121,2026-08-04T15:13:21.816051,wc_2026_fixtures.csv,CSV,2d3566d1-cabc-43d5-a1c3-519cc333b41c
A,Group Stage,South Korea,Mexico,Estadio Akron,Guadalajara,Mexico,2026-06-18,21:00 ET,AFC,25.0,Hong Myung-bo,CONCACAF,15.0,Javier Aguirre,00f13092-74c2-4267-a69a-a8cce3be7c16,2026-08-04T15:13:21.816051,wc_2026_fixtures.csv,CSV,2d3566d1-cabc-43d5-a1c3-519cc333b41c
A,Group Stage,Czechia,South Africa,Estadio Akron,Guadalajara,Mexico,2026-06-18,18:00 ET,UEFA,41.0,Ivan Hasek,CAF,60.0,Hugo Broos,55ed7764-dbe8-41a8-8d2e-d316cad5d30f,2026-08-04T15:13:21.816051,wc_2026_fixtures.csv,CSV,2d3566d1-cabc-43d5-a1c3-519cc333b41c
A,Group Stage,Czechia,Mexico,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,UEFA,41.0,Ivan Hasek,CONCACAF,15.0,Javier Aguirre,bef9b5e7-28df-49b1-8200-8f2a9b669c72,2026-08-04T15:13:21.816051,wc_2026_fixtures.csv,CSV,2d3566d1-cabc-43d5-a1c3-519cc333b41c
A,Group Stage,South Africa,South Korea,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,CAF,60.0,Hugo Broos,AFC,25.0,Hong Myung-bo,8eab3e99-f14d-4746-9a06-a27901abe217,2026-08-04T15:13:21.816051,wc_2026_fixtures.csv,CSV,2d3566d1-cabc-43d5-a1c3-519cc333b41c
B,Group Stage,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Canada,2026-06-12,15:00 ET,CONCACAF,30.0,Jesse Marsch,UEFA,52.0,Sergej Barbarez,d7d10acc-2903-4e08-bfec-73e9a4ab8c07,2026-08-04T15:13:21.816051,wc_2026_fixtures.csv,CSV,2d3566d1-cabc-43d5-a1c3-519cc333b41c
B,Group Stage,Qatar,Switzerland,Lumen Field,Seattle,USA,2026-06-13,15:00 ET,AFC,35.0,Marquez Lopez,UEFA,19.0,Murat Yakin,2e799500-6c1b-4c8f-879d-59ff0ea338c9,2026-08-04T15:13:21.816051,wc_2026_fixtures.csv,CSV,2d3566d1-cabc-43d5-a1c3-519cc333b41c
B,Group Stage,Switzerland,Bosnia and Herzegovina,BC Place,Vancouver,Canada,2026-06-18,15:00 ET,UEFA,19.0,Murat Yakin,UEFA,52.0,Sergej Barbarez,16b40ebe-83fb-4c87-8ac7-33dc950e32c9,2026-08-04T15:13:21.816051,wc_2026_fixtures.csv,CSV,2d3566d1-cabc-43d5-a1c3-519cc333b41c
B,Group Stage,Canada,Qatar,BC Place,Vancouver,Canada,2026-06-19,18:00 ET,CONCACAF,30.0,Jesse Marsch,AFC,35.0,Marquez Lopez,c54f9e81-bfc1-414a-a312-308c39b5b6f0,2026-08-04T15:13:21.816051,wc_2026_fixtures.csv,CSV,2d3566d1-cabc-43d5-a1c3-519cc333b41c
B,Group Stage,Switzerland,Canada,BC Place,Vancouver,Canada,2026-06-24,18:00 ET,UEFA,19.0,Murat Yakin,CONCACAF,30.0,Jesse Marsch,e5dd7cc7-dc40-4e2b-8da2-018de6464a6c,2026-08-04T15:13:21.816051,wc_2026_fixtures.csv,CSV,2d3566d1-cabc-43d5-a1c3-519cc333b41c
B,Group Stage,Bosnia and Herzegovina,Qatar,BMO Field,Toronto,Canada,2026-06-24,18:00 ET,UEFA,52.0,Sergej Barbarez,AFC,35.0,Marquez Lopez,0c286a10-ca73-4593-9f08-9e93717955ee,2026-08-04T15:13:21.816051,wc_2026_fixtures.csv,CSV,2d3566d1-cabc-43d5-a1c3-519cc333b41c
C,Group Stage,Brazil,Morocco,MetLife Stadium,East Rutherford,USA,2026-06-13,18:00 ET,CONMEBOL,6.0,Dorival Júnior,CAF,8.0,Walid Regragui,9823d0ab-7fa4-49b4-aa01-54187b46e10f,2026-08-04T15:13:21.816051,wc_2026_fixtures.csv,CSV,2d3566d1-cabc-43d5-a1c3-519cc333b41c
C,Group Stage,Haiti,Scotland,Gillette Stadium,Foxborough,USA,2026-06-13,21:00 ET,CONCACAF,83.0,Marc Collat,UEFA,47.0,Steve Clarke,f5b3dc2d-dd9b-4de7-9cc3-6ea948e9d6eb,2026-08-04T15:13:21.816051,wc_2026_fixtures.csv,CSV,2d3566d1-cabc-43d5-a1c3-519cc333b41c
C,Group Stage,Brazil,Scotland,MetLife Stadium,East Rutherford,USA,2026-06-19,21:00 ET,CONMEBOL,6.0,Dorival Júnior,UEFA,47.0,Steve Clarke,1a62b0b7-22c6-40a2-a55e-ccc39694053b,2026-08-04T15:13:21.816051,wc_2026_fixtures.csv,CSV,2d3566d1-cabc-43d5-a1c3-519cc333b41c
C,Group Stage,Morocco,Haiti,MetLife Stadium,East Rutherford,USA,2026-06-19,21:00 ET,CAF,8.0,Walid Regragui,CONCACAF,83.0,Marc Collat,322f4542-ec48-45f0-bf05-f2145b3dee84,2026-08-04T15:13:21.816051,wc_2026_fixtures.csv,CSV,2d3566d1-cabc-43d5-a1c3-519cc333b41c
C,Group Stage,Scotland,Brazil,Gillette Stadium,Foxborough,USA,2026-06-24,21:00 ET,UEFA,47.0,Steve Clarke,CONMEBOL,6.0,Dorival Júnior,0c364090-926e-4bf6-a847-d7d45ebace21,2026-08-04T15:13:21.816051,wc_2026_fixtures.csv,CSV,2d3566d1-cabc-43d5-a1c3-519cc333b41c
C,Group Stage,Morocco,Haiti,Gillette Stadium,Foxborough,USA,2026-06-24,21:00 ET,CAF,8.0,Walid Regragui,CONCACAF,83.0,Marc Collat,f805a06a-d188-4384-aafd-4376940af73e,2026-08-04T15:13:21.816051,wc_2026_fixtures.csv,CSV,2d3566d1-cabc-43d5-a1c3-519cc333b41c
D,Group Stage,USA,Paraguay,SoFi Stadium,Inglewood,USA,2026-06-12,21:00 ET,CONCACAF,16.0,Mauricio Pochettino,CONMEBOL,64.0,Gustavo Alfaro,8cfc3d41-602d-4b5e-baf0-6e10e770b7b0,2026-08-04T15:13:21.816051,wc_2026_fixtures.csv,CSV,2d3566d1-cabc-43d5-a1c3-519cc333b41c
