group,stage,team1,team2,venue,city,country,date,kickoff_et,team1_confederation,team1_fifa_rank,team1_coach,team2_confederation,team2_fifa_rank,team2_coach,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
A,Group Stage,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,2026-06-11,20:00 ET,CONCACAF,15.0,Javier Aguirre,CAF,60.0,Hugo Broos,663f6e80-288c-43b1-ba41-b3d882fce800,2026-08-04T15:06:26.185621,wc_2026_fixtures.csv,CSV,520c8291-5e3d-4b1d-88b1-8e274994b09b
A,Group Stage,South Korea,Czechia,Estadio Akron,Guadalajara,Mexico,2026-06-11,22:00 ET,AFC,25.0,Hong Myung-bo,UEFA,41.0,Ivan Hasek,ef98999b-070e-48bb-ab88-ad3d19c42af8,2026-08-04T15:06:26.185621,wc_2026_fixtures.csv,CSV,520c8291-5e3d-4b1d-88b1-8e274994b09b
A,Group Stage,South Korea,Mexico,Estadio Akron,Guadalajara,Mexico,2026-06-18,21:00 ET,AFC,25.0,Hong Myung-bo,CONCACAF,15.0,Javier Aguirre,14066bc3-d672-44e9-82e2-0af2552bee53,2026-08-04T15:06:26.185621,wc_2026_fixtures.csv,CSV,520c8291-5e3d-4b1d-88b1-8e274994b09b
A,Group Stage,Czechia,South Africa,Estadio Akron,Guadalajara,Mexico,2026-06-18,18:00 ET,UEFA,41.0,Ivan Hasek,CAF,60.0,Hugo Broos,9a0b1e54-231e-424e-8344-13ba490c9814,2026-08-04T15:06:26.185621,wc_2026_fixtures.csv,CSV,520c8291-5e3d-4b1d-88b1-8e274994b09b
A,Group Stage,Czechia,Mexico,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,UEFA,41.0,Ivan Hasek,CONCACAF,15.0,Javier Aguirre,6820564c-e03a-4e37-b635-868fe4f27d68,2026-08-04T15:06:26.185621,wc_2026_fixtures.csv,CSV,520c8291-5e3d-4b1d-88b1-8e274994b09b
A,Group Stage,South Africa,South Korea,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,CAF,60.0,Hugo Broos,AFC,25.0,Hong Myung-bo,e73459cd-5141-4d38-a59a-f82c46f687af,2026-08-04T15:06:26.185621,wc_2026_fixtures.csv,CSV,520c8291-5e3d-4b1d-88b1-8e274994b09b
B,Group Stage,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Canada,2026-06-12,15:00 ET,CONCACAF,30.0,Jesse Marsch,UEFA,52.0,Sergej Barbarez,3cfd2133-b2d4-43ae-8abc-c4d92ad2b725,2026-08-04T15:06:26.185621,wc_2026_fixtures.csv,CSV,520c8291-5e3d-4b1d-88b1-8e274994b09b
B,Group Stage,Qatar,Switzerland,Lumen Field,Seattle,USA,2026-06-13,15:00 ET,AFC,35.0,Marquez Lopez,UEFA,19.0,Murat Yakin,6ee7e413-8ca0-40d0-aa62-3215a64ca621,2026-08-04T15:06:26.185621,wc_2026_fixtures.csv,CSV,520c8291-5e3d-4b1d-88b1-8e274994b09b
B,Group Stage,Switzerland,Bosnia and Herzegovina,BC Place,Vancouver,Canada,2026-06-18,15:00 ET,UEFA,19.0,Murat Yakin,UEFA,52.0,Sergej Barbarez,fbc7a74f-6cdf-457e-b649-db04d0689945,2026-08-04T15:06:26.185621,wc_2026_fixtures.csv,CSV,520c8291-5e3d-4b1d-88b1-8e274994b09b
B,Group Stage,Canada,Qatar,BC Place,Vancouver,Canada,2026-06-19,18:00 ET,CONCACAF,30.0,Jesse Marsch,AFC,35.0,Marquez Lopez,e8acb781-e08a-4482-b3fe-a5677856c863,2026-08-04T15:06:26.185621,wc_2026_fixtures.csv,CSV,520c8291-5e3d-4b1d-88b1-8e274994b09b
