group,stage,team1,team2,venue,city,country,date,kickoff_et,team1_confederation,team1_fifa_rank,team1_coach,team2_confederation,team2_fifa_rank,team2_coach,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
A,Group Stage,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,2026-06-11,20:00 ET,CONCACAF,15.0,Javier Aguirre,CAF,60.0,Hugo Broos,99104b96-0046-4d47-b526-b683b8733ae0,2026-08-04T15:11:37.674956,wc_2026_fixtures.csv,CSV,9f0e5095-15e8-4beb-a8cf-96ee5597f451
A,Group Stage,South Korea,Czechia,Estadio Akron,Guadalajara,Mexico,2026-06-11,22:00 ET,AFC,25.0,Hong Myung-bo,UEFA,41.0,Ivan Hasek,2856ef80-207f-4558-9722-dc82d87a98b1,2026-08-04T15:11:37.674956,wc_2026_fixtures.csv,CSV,9f0e5095-15e8-4beb-a8cf-96ee5597f451
A,Group Stage,South Korea,Mexico,Estadio Akron,Guadalajara,Mexico,2026-06-18,21:00 ET,AFC,25.0,Hong Myung-bo,CONCACAF,15.0,Javier Aguirre,acd721af-77c3-49a7-97f0-e3c3674373fb,2026-08-04T15:11:37.674956,wc_2026_fixtures.csv,CSV,9f0e5095-15e8-4beb-a8cf-96ee5597f451
A,Group Stage,Czechia,South Africa,Estadio Akron,Guadalajara,Mexico,2026-06-18,18:00 ET,UEFA,41.0,Ivan Hasek,CAF,60.0,Hugo Broos,edba3bd9-b796-4da1-9cdf-983373ea6bd8,2026-08-04T15:11:37.674956,wc_2026_fixtures.csv,CSV,9f0e5095-15e8-4beb-a8cf-96ee5597f451
A,Group Stage,Czechia,Mexico,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,UEFA,41.0,Ivan Hasek,CONCACAF,15.0,Javier Aguirre,d87b6323-b7eb-40dd-a223-75c006f6c261,2026-08-04T15:11:37.674956,wc_2026_fixtures.csv,CSV,9f0e5095-15e8-4beb-a8cf-96ee5597f451
A,Group Stage,South Africa,South Korea,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,CAF,60.0,Hugo Broos,AFC,25.0,Hong Myung-bo,b251ca08-8960-4466-8bc3-4ebd7a18e4d8,2026-08-04T15:11:37.674956,wc_2026_fixtures.csv,CSV,9f0e5095-15e8-4beb-a8cf-96ee5597f451
B,Group Stage,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Canada,2026-06-12,15:00 ET,CONCACAF,30.0,Jesse Marsch,UEFA,52.0,Sergej Barbarez,47789213-7b13-496c-a3ea-582625514085,2026-08-04T15:11:37.674956,wc_2026_fixtures.csv,CSV,9f0e5095-15e8-4beb-a8cf-96ee5597f451
B,Group Stage,Qatar,Switzerland,Lumen Field,Seattle,USA,2026-06-13,15:00 ET,AFC,35.0,Marquez Lopez,UEFA,19.0,Murat Yakin,4fac3547-de71-4d3c-a5dd-79510a6611fb,2026-08-04T15:11:37.674956,wc_2026_fixtures.csv,CSV,9f0e5095-15e8-4beb-a8cf-96ee5597f451
B,Group Stage,Switzerland,Bosnia and Herzegovina,BC Place,Vancouver,Canada,2026-06-18,15:00 ET,UEFA,19.0,Murat Yakin,UEFA,52.0,Sergej Barbarez,9b42a62c-abba-4cc3-a847-e6fc4ab6ce8b,2026-08-04T15:11:37.674956,wc_2026_fixtures.csv,CSV,9f0e5095-15e8-4beb-a8cf-96ee5597f451
B,Group Stage,Canada,Qatar,BC Place,Vancouver,Canada,2026-06-19,18:00 ET,CONCACAF,30.0,Jesse Marsch,AFC,35.0,Marquez Lopez,137775b8-1bf7-4b80-a4d4-5ee58ac7141e,2026-08-04T15:11:37.674956,wc_2026_fixtures.csv,CSV,9f0e5095-15e8-4beb-a8cf-96ee5597f451
B,Group Stage,Switzerland,Canada,BC Place,Vancouver,Canada,2026-06-24,18:00 ET,UEFA,19.0,Murat Yakin,CONCACAF,30.0,Jesse Marsch,5b579352-23fc-4394-9968-2a7261c45163,2026-08-04T15:11:37.674956,wc_2026_fixtures.csv,CSV,9f0e5095-15e8-4beb-a8cf-96ee5597f451
B,Group Stage,Bosnia and Herzegovina,Qatar,BMO Field,Toronto,Canada,2026-06-24,18:00 ET,UEFA,52.0,Sergej Barbarez,AFC,35.0,Marquez Lopez,9b8ef1d0-2f61-4947-809d-6a77a631f5dd,2026-08-04T15:11:37.674956,wc_2026_fixtures.csv,CSV,9f0e5095-15e8-4beb-a8cf-96ee5597f451
C,Group Stage,Brazil,Morocco,MetLife Stadium,East Rutherford,USA,2026-06-13,18:00 ET,CONMEBOL,6.0,Dorival Júnior,CAF,8.0,Walid Regragui,516c5b2d-dadc-4749-aecb-ee1c63c8e754,2026-08-04T15:11:37.674956,wc_2026_fixtures.csv,CSV,9f0e5095-15e8-4beb-a8cf-96ee5597f451
C,Group Stage,Haiti,Scotland,Gillette Stadium,Foxborough,USA,2026-06-13,21:00 ET,CONCACAF,83.0,Marc Collat,UEFA,47.0,Steve Clarke,0a8dfef1-3cbc-4f7b-84eb-d8a2df71e4b3,2026-08-04T15:11:37.674956,wc_2026_fixtures.csv,CSV,9f0e5095-15e8-4beb-a8cf-96ee5597f451
C,Group Stage,Brazil,Scotland,MetLife Stadium,East Rutherford,USA,2026-06-19,21:00 ET,CONMEBOL,6.0,Dorival Júnior,UEFA,47.0,Steve Clarke,ef110178-9df6-4b06-ba6e-656e0fa0f78c,2026-08-04T15:11:37.674956,wc_2026_fixtures.csv,CSV,9f0e5095-15e8-4beb-a8cf-96ee5597f451
