group,stage,team1,team2,venue,city,country,date,kickoff_et,team1_confederation,team1_fifa_rank,team1_coach,team2_confederation,team2_fifa_rank,team2_coach,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
A,Group Stage,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,2026-06-11,20:00 ET,CONCACAF,15.0,Javier Aguirre,CAF,60.0,Hugo Broos,9c3fe4e8-5193-4c8b-9f62-5026b6926943,2026-08-12T14:05:47.664043,wc_2026_fixtures.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
A,Group Stage,South Korea,Czechia,Estadio Akron,Guadalajara,Mexico,2026-06-11,22:00 ET,AFC,25.0,Hong Myung-bo,UEFA,41.0,Ivan Hasek,faaa288b-d6a0-4807-bf12-35ba55b44468,2026-08-12T14:05:47.664043,wc_2026_fixtures.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
A,Group Stage,South Korea,Mexico,Estadio Akron,Guadalajara,Mexico,2026-06-18,21:00 ET,AFC,25.0,Hong Myung-bo,CONCACAF,15.0,Javier Aguirre,8fd102f5-2576-454d-8400-52f00bf1c3fb,2026-08-12T14:05:47.664043,wc_2026_fixtures.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
A,Group Stage,Czechia,South Africa,Estadio Akron,Guadalajara,Mexico,2026-06-18,18:00 ET,UEFA,41.0,Ivan Hasek,CAF,60.0,Hugo Broos,ff882376-18c3-4f54-a12f-9589dbc1b5b9,2026-08-12T14:05:47.664043,wc_2026_fixtures.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
A,Group Stage,Czechia,Mexico,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,UEFA,41.0,Ivan Hasek,CONCACAF,15.0,Javier Aguirre,46f2d28c-a70a-401b-9e74-769f5b1b9ee5,2026-08-12T14:05:47.664043,wc_2026_fixtures.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
A,Group Stage,South Africa,South Korea,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,CAF,60.0,Hugo Broos,AFC,25.0,Hong Myung-bo,04a15a3d-bcff-40e1-b8fe-6cfb6114f76b,2026-08-12T14:05:47.664043,wc_2026_fixtures.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
B,Group Stage,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Canada,2026-06-12,15:00 ET,CONCACAF,30.0,Jesse Marsch,UEFA,52.0,Sergej Barbarez,901e4a50-a4dd-484f-8d5c-00e501443671,2026-08-12T14:05:47.664043,wc_2026_fixtures.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
B,Group Stage,Qatar,Switzerland,Lumen Field,Seattle,USA,2026-06-13,15:00 ET,AFC,35.0,Marquez Lopez,UEFA,19.0,Murat Yakin,c8736239-444b-4ba3-a0f4-e59e66b6d82b,2026-08-12T14:05:47.664043,wc_2026_fixtures.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
B,Group Stage,Switzerland,Bosnia and Herzegovina,BC Place,Vancouver,Canada,2026-06-18,15:00 ET,UEFA,19.0,Murat Yakin,UEFA,52.0,Sergej Barbarez,c066d25b-09ac-4479-a11f-267a575f9ce9,2026-08-12T14:05:47.664043,wc_2026_fixtures.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
B,Group Stage,Canada,Qatar,BC Place,Vancouver,Canada,2026-06-19,18:00 ET,CONCACAF,30.0,Jesse Marsch,AFC,35.0,Marquez Lopez,0bee4879-4d77-41cb-b203-779679123f78,2026-08-12T14:05:47.664043,wc_2026_fixtures.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
B,Group Stage,Switzerland,Canada,BC Place,Vancouver,Canada,2026-06-24,18:00 ET,UEFA,19.0,Murat Yakin,CONCACAF,30.0,Jesse Marsch,fd041b58-ec44-4166-892c-e3a0b422eda9,2026-08-12T14:05:47.664043,wc_2026_fixtures.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
B,Group Stage,Bosnia and Herzegovina,Qatar,BMO Field,Toronto,Canada,2026-06-24,18:00 ET,UEFA,52.0,Sergej Barbarez,AFC,35.0,Marquez Lopez,dce3d978-3ae4-4db0-a7cb-39b613a03018,2026-08-12T14:05:47.664043,wc_2026_fixtures.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
C,Group Stage,Brazil,Morocco,MetLife Stadium,East Rutherford,USA,2026-06-13,18:00 ET,CONMEBOL,6.0,Dorival Júnior,CAF,8.0,Walid Regragui,292020bb-54c7-45d2-a24b-0daf19228c2e,2026-08-12T14:05:47.664043,wc_2026_fixtures.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
C,Group Stage,Haiti,Scotland,Gillette Stadium,Foxborough,USA,2026-06-13,21:00 ET,CONCACAF,83.0,Marc Collat,UEFA,47.0,Steve Clarke,ee4de52e-49d3-4e31-96cd-46db9a7ab987,2026-08-12T14:05:47.664043,wc_2026_fixtures.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
C,Group Stage,Brazil,Scotland,MetLife Stadium,East Rutherford,USA,2026-06-19,21:00 ET,CONMEBOL,6.0,Dorival Júnior,UEFA,47.0,Steve Clarke,466d5e46-9ad0-4bcb-9b86-5aa08dbd4143,2026-08-12T14:05:47.664043,wc_2026_fixtures.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
C,Group Stage,Morocco,Haiti,MetLife Stadium,East Rutherford,USA,2026-06-19,21:00 ET,CAF,8.0,Walid Regragui,CONCACAF,83.0,Marc Collat,5de2b4ca-6d37-41cc-aa08-ea55aa1e7ed0,2026-08-12T14:05:47.664043,wc_2026_fixtures.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
C,Group Stage,Scotland,Brazil,Gillette Stadium,Foxborough,USA,2026-06-24,21:00 ET,UEFA,47.0,Steve Clarke,CONMEBOL,6.0,Dorival Júnior,57c950f7-2521-4e84-a4bb-6a587d331394,2026-08-12T14:05:47.664043,wc_2026_fixtures.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
C,Group Stage,Morocco,Haiti,Gillette Stadium,Foxborough,USA,2026-06-24,21:00 ET,CAF,8.0,Walid Regragui,CONCACAF,83.0,Marc Collat,f8a5014b-de5e-4260-ad17-c67e249536a1,2026-08-12T14:05:47.664043,wc_2026_fixtures.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
D,Group Stage,USA,Paraguay,SoFi Stadium,Inglewood,USA,2026-06-12,21:00 ET,CONCACAF,16.0,Mauricio Pochettino,CONMEBOL,64.0,Gustavo Alfaro,7f770c52-e8ca-4abd-8b36-0e05c2704ec8,2026-08-12T14:05:47.664043,wc_2026_fixtures.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
D,Group Stage,Australia,Türkiye,MetLife Stadium,East Rutherford,USA,2026-06-13,12:00 ET,AFC,26.0,Tony Popovic,UEFA,42.0,Vincenzo Montella,914343b6-5d6b-4769-a831-157febbefe4b,2026-08-12T14:05:47.664043,wc_2026_fixtures.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
