group,stage,team1,team2,venue,city,country,date,kickoff_et,team1_confederation,team1_fifa_rank,team1_coach,team2_confederation,team2_fifa_rank,team2_coach,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
A,Group Stage,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,2026-06-11,20:00 ET,CONCACAF,15.0,Javier Aguirre,CAF,60.0,Hugo Broos,5306a629-22e7-4d0f-a6ae-5d97c6ae640a,2026-08-12T12:47:06.955909,wc_2026_fixtures.csv,CSV,6863b9ef-51c5-4499-b443-3941b42257c8
A,Group Stage,South Korea,Czechia,Estadio Akron,Guadalajara,Mexico,2026-06-11,22:00 ET,AFC,25.0,Hong Myung-bo,UEFA,41.0,Ivan Hasek,86e14cf4-8b94-4bfb-b1bc-85f485e2940e,2026-08-12T12:47:06.955909,wc_2026_fixtures.csv,CSV,6863b9ef-51c5-4499-b443-3941b42257c8
A,Group Stage,South Korea,Mexico,Estadio Akron,Guadalajara,Mexico,2026-06-18,21:00 ET,AFC,25.0,Hong Myung-bo,CONCACAF,15.0,Javier Aguirre,b298bcc5-4dac-4ef6-976f-59cf01184432,2026-08-12T12:47:06.955909,wc_2026_fixtures.csv,CSV,6863b9ef-51c5-4499-b443-3941b42257c8
A,Group Stage,Czechia,South Africa,Estadio Akron,Guadalajara,Mexico,2026-06-18,18:00 ET,UEFA,41.0,Ivan Hasek,CAF,60.0,Hugo Broos,24168476-931b-4c90-88df-85ebde8fbea6,2026-08-12T12:47:06.955909,wc_2026_fixtures.csv,CSV,6863b9ef-51c5-4499-b443-3941b42257c8
A,Group Stage,Czechia,Mexico,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,UEFA,41.0,Ivan Hasek,CONCACAF,15.0,Javier Aguirre,bffe7c4d-fde6-4cef-a408-146846929034,2026-08-12T12:47:06.955909,wc_2026_fixtures.csv,CSV,6863b9ef-51c5-4499-b443-3941b42257c8
A,Group Stage,South Africa,South Korea,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,CAF,60.0,Hugo Broos,AFC,25.0,Hong Myung-bo,2d6e815c-f2e1-4fdd-89b2-a2a16cb13fdf,2026-08-12T12:47:06.955909,wc_2026_fixtures.csv,CSV,6863b9ef-51c5-4499-b443-3941b42257c8
B,Group Stage,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Canada,2026-06-12,15:00 ET,CONCACAF,30.0,Jesse Marsch,UEFA,52.0,Sergej Barbarez,47cc8699-9362-4bec-8592-4c43a73eed1b,2026-08-12T12:47:06.955909,wc_2026_fixtures.csv,CSV,6863b9ef-51c5-4499-b443-3941b42257c8
B,Group Stage,Qatar,Switzerland,Lumen Field,Seattle,USA,2026-06-13,15:00 ET,AFC,35.0,Marquez Lopez,UEFA,19.0,Murat Yakin,7957add3-5a65-471e-81d1-03a108f0baf2,2026-08-12T12:47:06.955909,wc_2026_fixtures.csv,CSV,6863b9ef-51c5-4499-b443-3941b42257c8
B,Group Stage,Switzerland,Bosnia and Herzegovina,BC Place,Vancouver,Canada,2026-06-18,15:00 ET,UEFA,19.0,Murat Yakin,UEFA,52.0,Sergej Barbarez,7a745328-9574-419a-b303-5447fa286261,2026-08-12T12:47:06.955909,wc_2026_fixtures.csv,CSV,6863b9ef-51c5-4499-b443-3941b42257c8
B,Group Stage,Canada,Qatar,BC Place,Vancouver,Canada,2026-06-19,18:00 ET,CONCACAF,30.0,Jesse Marsch,AFC,35.0,Marquez Lopez,785df665-d727-4e5f-a523-d7943ca98ac1,2026-08-12T12:47:06.955909,wc_2026_fixtures.csv,CSV,6863b9ef-51c5-4499-b443-3941b42257c8
