group,stage,team1,team2,venue,city,country,date,kickoff_et,team1_confederation,team1_fifa_rank,team1_coach,team2_confederation,team2_fifa_rank,team2_coach,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
A,Group Stage,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,2026-06-11,20:00 ET,CONCACAF,15.0,Javier Aguirre,CAF,60.0,Hugo Broos,2f52e0e7-6c74-4b54-bccf-c0da6f3955e7,2026-08-12T13:39:28.825848,wc_2026_fixtures.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
A,Group Stage,South Korea,Czechia,Estadio Akron,Guadalajara,Mexico,2026-06-11,22:00 ET,AFC,25.0,Hong Myung-bo,UEFA,41.0,Ivan Hasek,a96654c4-5ddc-4664-baf7-56f15e862d35,2026-08-12T13:39:28.825848,wc_2026_fixtures.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
A,Group Stage,South Korea,Mexico,Estadio Akron,Guadalajara,Mexico,2026-06-18,21:00 ET,AFC,25.0,Hong Myung-bo,CONCACAF,15.0,Javier Aguirre,270d59de-0533-422e-abf7-fcefb72b594b,2026-08-12T13:39:28.825848,wc_2026_fixtures.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
A,Group Stage,Czechia,South Africa,Estadio Akron,Guadalajara,Mexico,2026-06-18,18:00 ET,UEFA,41.0,Ivan Hasek,CAF,60.0,Hugo Broos,14a49930-39ae-4a63-8b65-78cbbad52b49,2026-08-12T13:39:28.825848,wc_2026_fixtures.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
A,Group Stage,Czechia,Mexico,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,UEFA,41.0,Ivan Hasek,CONCACAF,15.0,Javier Aguirre,c0916cd5-1dcf-468d-b0ea-db4f50d63844,2026-08-12T13:39:28.825848,wc_2026_fixtures.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
A,Group Stage,South Africa,South Korea,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,CAF,60.0,Hugo Broos,AFC,25.0,Hong Myung-bo,e986d64b-e902-4a9e-9fb6-d0923a9a2235,2026-08-12T13:39:28.825848,wc_2026_fixtures.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
B,Group Stage,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Canada,2026-06-12,15:00 ET,CONCACAF,30.0,Jesse Marsch,UEFA,52.0,Sergej Barbarez,17ec48b1-36fb-43de-bfc2-02f83785b25a,2026-08-12T13:39:28.825848,wc_2026_fixtures.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
B,Group Stage,Qatar,Switzerland,Lumen Field,Seattle,USA,2026-06-13,15:00 ET,AFC,35.0,Marquez Lopez,UEFA,19.0,Murat Yakin,44c13a47-4232-4a8a-89b5-292aa4562e57,2026-08-12T13:39:28.825848,wc_2026_fixtures.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
B,Group Stage,Switzerland,Bosnia and Herzegovina,BC Place,Vancouver,Canada,2026-06-18,15:00 ET,UEFA,19.0,Murat Yakin,UEFA,52.0,Sergej Barbarez,1fdd2cf2-c378-4551-94c0-81e89ab3f268,2026-08-12T13:39:28.825848,wc_2026_fixtures.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
B,Group Stage,Canada,Qatar,BC Place,Vancouver,Canada,2026-06-19,18:00 ET,CONCACAF,30.0,Jesse Marsch,AFC,35.0,Marquez Lopez,4f51909a-e8c5-4af2-9eed-42636891fc13,2026-08-12T13:39:28.825848,wc_2026_fixtures.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
B,Group Stage,Switzerland,Canada,BC Place,Vancouver,Canada,2026-06-24,18:00 ET,UEFA,19.0,Murat Yakin,CONCACAF,30.0,Jesse Marsch,564618fe-5065-42fe-bfe5-acc933c0d8d7,2026-08-12T13:39:28.825848,wc_2026_fixtures.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
B,Group Stage,Bosnia and Herzegovina,Qatar,BMO Field,Toronto,Canada,2026-06-24,18:00 ET,UEFA,52.0,Sergej Barbarez,AFC,35.0,Marquez Lopez,1615adf6-1731-4746-9bb0-a17b0cd8be4d,2026-08-12T13:39:28.825848,wc_2026_fixtures.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
C,Group Stage,Brazil,Morocco,MetLife Stadium,East Rutherford,USA,2026-06-13,18:00 ET,CONMEBOL,6.0,Dorival Júnior,CAF,8.0,Walid Regragui,c12499f5-184b-4fc0-94df-32b85de86b44,2026-08-12T13:39:28.825848,wc_2026_fixtures.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
C,Group Stage,Haiti,Scotland,Gillette Stadium,Foxborough,USA,2026-06-13,21:00 ET,CONCACAF,83.0,Marc Collat,UEFA,47.0,Steve Clarke,f7f0d879-11a1-4fcf-a52e-86499281e167,2026-08-12T13:39:28.825848,wc_2026_fixtures.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
C,Group Stage,Brazil,Scotland,MetLife Stadium,East Rutherford,USA,2026-06-19,21:00 ET,CONMEBOL,6.0,Dorival Júnior,UEFA,47.0,Steve Clarke,7a9b243b-d84c-4411-8179-5674579c797b,2026-08-12T13:39:28.825848,wc_2026_fixtures.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
C,Group Stage,Morocco,Haiti,MetLife Stadium,East Rutherford,USA,2026-06-19,21:00 ET,CAF,8.0,Walid Regragui,CONCACAF,83.0,Marc Collat,0c54cbe8-0863-4666-85c2-c71a466013d1,2026-08-12T13:39:28.825848,wc_2026_fixtures.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
C,Group Stage,Scotland,Brazil,Gillette Stadium,Foxborough,USA,2026-06-24,21:00 ET,UEFA,47.0,Steve Clarke,CONMEBOL,6.0,Dorival Júnior,c2df7717-1139-4ca7-abed-707b7ab35739,2026-08-12T13:39:28.825848,wc_2026_fixtures.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
C,Group Stage,Morocco,Haiti,Gillette Stadium,Foxborough,USA,2026-06-24,21:00 ET,CAF,8.0,Walid Regragui,CONCACAF,83.0,Marc Collat,e9564f12-6c5c-40e1-85d7-f121808a120d,2026-08-12T13:39:28.825848,wc_2026_fixtures.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
D,Group Stage,USA,Paraguay,SoFi Stadium,Inglewood,USA,2026-06-12,21:00 ET,CONCACAF,16.0,Mauricio Pochettino,CONMEBOL,64.0,Gustavo Alfaro,59ba992a-ba10-46ba-848c-f1136b51afe3,2026-08-12T13:39:28.825848,wc_2026_fixtures.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
D,Group Stage,Australia,Türkiye,MetLife Stadium,East Rutherford,USA,2026-06-13,12:00 ET,AFC,26.0,Tony Popovic,UEFA,42.0,Vincenzo Montella,7f6f8074-3659-4c88-9d98-a95ae4cc9154,2026-08-12T13:39:28.825848,wc_2026_fixtures.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
D,Group Stage,USA,Australia,Lincoln Financial Field,Philadelphia,USA,2026-06-19,15:00 ET,CONCACAF,16.0,Mauricio Pochettino,AFC,26.0,Tony Popovic,f74c96c6-41e7-4e09-9465-21a1c4e43a10,2026-08-12T13:39:28.825848,wc_2026_fixtures.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
D,Group Stage,Türkiye,Paraguay,MetLife Stadium,East Rutherford,USA,2026-06-20,00:00 ET,UEFA,42.0,Vincenzo Montella,CONMEBOL,64.0,Gustavo Alfaro,29f1ae64-12f8-461b-9f55-12ffb53618a4,2026-08-12T13:39:28.825848,wc_2026_fixtures.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
D,Group Stage,Türkiye,USA,AT&T Stadium,Arlington,USA,2026-06-25,21:00 ET,UEFA,42.0,Vincenzo Montella,CONCACAF,16.0,Mauricio Pochettino,aadadea3-8cc9-46e8-b57c-9d658f4598fd,2026-08-12T13:39:28.825848,wc_2026_fixtures.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
D,Group Stage,Paraguay,Australia,AT&T Stadium,Arlington,USA,2026-06-25,21:00 ET,CONMEBOL,64.0,Gustavo Alfaro,AFC,26.0,Tony Popovic,2910c9c0-566b-49fc-a1ba-c218feefb69c,2026-08-12T13:39:28.825848,wc_2026_fixtures.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
E,Group Stage,Germany,Curaçao,NRG Stadium,Houston,USA,2026-06-14,13:00 ET,UEFA,10.0,Julian Nagelsmann,CONCACAF,81.0,Dick Advocaat,baec50de-424f-40c4-a6ab-a63e2fd17f0f,2026-08-12T13:39:28.825848,wc_2026_fixtures.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
E,Group Stage,Ivory Coast,Ecuador,Lincoln Financial Field,Philadelphia,USA,2026-06-14,19:00 ET,CAF,33.0,Emerse Faé,CONMEBOL,24.0,Sebastián Beccacece,683c620b-9527-472f-bcec-90e3818b7ecb,2026-08-12T13:39:28.825848,wc_2026_fixtures.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
E,Group Stage,Germany,Ivory Coast,NRG Stadium,Houston,USA,2026-06-20,19:00 ET,UEFA,10.0,Julian Nagelsmann,CAF,33.0,Emerse Faé,7c557d8c-1f32-4d44-bae1-af6a15a8d43d,2026-08-12T13:39:28.825848,wc_2026_fixtures.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
E,Group Stage,Ecuador,Curaçao,Mercedes-Benz Stadium,Atlanta,USA,2026-06-20,22:00 ET,CONMEBOL,24.0,Sebastián Beccacece,CONCACAF,81.0,Dick Advocaat,dcd0cef5-7efe-49d7-95ec-1274fc9bf432,2026-08-12T13:39:28.825848,wc_2026_fixtures.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
E,Group Stage,Ecuador,Germany,AT&T Stadium,Arlington,USA,2026-06-25,18:00 ET,CONMEBOL,24.0,Sebastián Beccacece,UEFA,10.0,Julian Nagelsmann,3f3df5ad-0928-45e4-8b3d-c803ccfa7ebc,2026-08-12T13:39:28.825848,wc_2026_fixtures.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
E,Group Stage,Curaçao,Ivory Coast,AT&T Stadium,Arlington,USA,2026-06-25,18:00 ET,CONCACAF,81.0,Dick Advocaat,CAF,33.0,Emerse Faé,e5d03514-47e8-4f02-883c-44c3bb9ecb81,2026-08-12T13:39:28.825848,wc_2026_fixtures.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
F,Group Stage,Netherlands,Japan,AT&T Stadium,Arlington,USA,2026-06-14,16:00 ET,UEFA,7.0,Ronald Koeman,AFC,18.0,Hajime Moriyasu,07291209-d16b-449b-b401-e17b2ae18e38,2026-08-12T13:39:28.825848,wc_2026_fixtures.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
