group,stage,team1,team2,venue,city,country,date,kickoff_et,team1_confederation,team1_fifa_rank,team1_coach,team2_confederation,team2_fifa_rank,team2_coach,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
A,Group Stage,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,2026-06-11,20:00 ET,CONCACAF,15.0,Javier Aguirre,CAF,60.0,Hugo Broos,68c9231a-522c-4d90-b1b3-176efafeaf1d,2026-08-12T13:02:22.092043,wc_2026_fixtures.csv,CSV,c681bae0-52fc-4e49-9e59-ebd302e927bd
A,Group Stage,South Korea,Czechia,Estadio Akron,Guadalajara,Mexico,2026-06-11,22:00 ET,AFC,25.0,Hong Myung-bo,UEFA,41.0,Ivan Hasek,3086dc4e-c9a4-4f32-8223-f33b166697ac,2026-08-12T13:02:22.092043,wc_2026_fixtures.csv,CSV,c681bae0-52fc-4e49-9e59-ebd302e927bd
A,Group Stage,South Korea,Mexico,Estadio Akron,Guadalajara,Mexico,2026-06-18,21:00 ET,AFC,25.0,Hong Myung-bo,CONCACAF,15.0,Javier Aguirre,8a169fb4-05f3-4faa-ba08-7bdc7b6f9e09,2026-08-12T13:02:22.092043,wc_2026_fixtures.csv,CSV,c681bae0-52fc-4e49-9e59-ebd302e927bd
A,Group Stage,Czechia,South Africa,Estadio Akron,Guadalajara,Mexico,2026-06-18,18:00 ET,UEFA,41.0,Ivan Hasek,CAF,60.0,Hugo Broos,75e39d18-8627-4564-a8c3-d3d765b631a3,2026-08-12T13:02:22.092043,wc_2026_fixtures.csv,CSV,c681bae0-52fc-4e49-9e59-ebd302e927bd
A,Group Stage,Czechia,Mexico,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,UEFA,41.0,Ivan Hasek,CONCACAF,15.0,Javier Aguirre,7364226c-9253-4d46-91f1-99485b59da97,2026-08-12T13:02:22.092043,wc_2026_fixtures.csv,CSV,c681bae0-52fc-4e49-9e59-ebd302e927bd
A,Group Stage,South Africa,South Korea,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,CAF,60.0,Hugo Broos,AFC,25.0,Hong Myung-bo,08955307-d6d3-4c68-a1ac-e4cd1421da63,2026-08-12T13:02:22.092043,wc_2026_fixtures.csv,CSV,c681bae0-52fc-4e49-9e59-ebd302e927bd
B,Group Stage,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Canada,2026-06-12,15:00 ET,CONCACAF,30.0,Jesse Marsch,UEFA,52.0,Sergej Barbarez,c5d964f6-5d61-4e9f-81ba-fb24f0cc5c6a,2026-08-12T13:02:22.092043,wc_2026_fixtures.csv,CSV,c681bae0-52fc-4e49-9e59-ebd302e927bd
B,Group Stage,Qatar,Switzerland,Lumen Field,Seattle,USA,2026-06-13,15:00 ET,AFC,35.0,Marquez Lopez,UEFA,19.0,Murat Yakin,7a6a3c14-38d3-4700-a1cb-f31b5e19f407,2026-08-12T13:02:22.092043,wc_2026_fixtures.csv,CSV,c681bae0-52fc-4e49-9e59-ebd302e927bd
B,Group Stage,Switzerland,Bosnia and Herzegovina,BC Place,Vancouver,Canada,2026-06-18,15:00 ET,UEFA,19.0,Murat Yakin,UEFA,52.0,Sergej Barbarez,e9b18941-5adc-481f-83ea-251b343ccd1d,2026-08-12T13:02:22.092043,wc_2026_fixtures.csv,CSV,c681bae0-52fc-4e49-9e59-ebd302e927bd
B,Group Stage,Canada,Qatar,BC Place,Vancouver,Canada,2026-06-19,18:00 ET,CONCACAF,30.0,Jesse Marsch,AFC,35.0,Marquez Lopez,d8531506-f24c-4eae-b3c9-c51656884215,2026-08-12T13:02:22.092043,wc_2026_fixtures.csv,CSV,c681bae0-52fc-4e49-9e59-ebd302e927bd
B,Group Stage,Switzerland,Canada,BC Place,Vancouver,Canada,2026-06-24,18:00 ET,UEFA,19.0,Murat Yakin,CONCACAF,30.0,Jesse Marsch,85cc2ac8-39ba-4edc-9358-b10e565bea0f,2026-08-12T13:02:22.092043,wc_2026_fixtures.csv,CSV,c681bae0-52fc-4e49-9e59-ebd302e927bd
B,Group Stage,Bosnia and Herzegovina,Qatar,BMO Field,Toronto,Canada,2026-06-24,18:00 ET,UEFA,52.0,Sergej Barbarez,AFC,35.0,Marquez Lopez,5465dc86-04ab-458c-bd7c-71c2567ed4ed,2026-08-12T13:02:22.092043,wc_2026_fixtures.csv,CSV,c681bae0-52fc-4e49-9e59-ebd302e927bd
C,Group Stage,Brazil,Morocco,MetLife Stadium,East Rutherford,USA,2026-06-13,18:00 ET,CONMEBOL,6.0,Dorival Júnior,CAF,8.0,Walid Regragui,fe9be4b4-3dea-4f5d-a351-a6248328aac2,2026-08-12T13:02:22.092043,wc_2026_fixtures.csv,CSV,c681bae0-52fc-4e49-9e59-ebd302e927bd
C,Group Stage,Haiti,Scotland,Gillette Stadium,Foxborough,USA,2026-06-13,21:00 ET,CONCACAF,83.0,Marc Collat,UEFA,47.0,Steve Clarke,088ef2b6-30aa-448a-a963-e100af42ea2d,2026-08-12T13:02:22.092043,wc_2026_fixtures.csv,CSV,c681bae0-52fc-4e49-9e59-ebd302e927bd
C,Group Stage,Brazil,Scotland,MetLife Stadium,East Rutherford,USA,2026-06-19,21:00 ET,CONMEBOL,6.0,Dorival Júnior,UEFA,47.0,Steve Clarke,641400b8-6a10-4358-abb6-5474d6f089a4,2026-08-12T13:02:22.092043,wc_2026_fixtures.csv,CSV,c681bae0-52fc-4e49-9e59-ebd302e927bd
C,Group Stage,Morocco,Haiti,MetLife Stadium,East Rutherford,USA,2026-06-19,21:00 ET,CAF,8.0,Walid Regragui,CONCACAF,83.0,Marc Collat,95d5bbb7-84c9-4177-b554-f45f104bb0fa,2026-08-12T13:02:22.092043,wc_2026_fixtures.csv,CSV,c681bae0-52fc-4e49-9e59-ebd302e927bd
C,Group Stage,Scotland,Brazil,Gillette Stadium,Foxborough,USA,2026-06-24,21:00 ET,UEFA,47.0,Steve Clarke,CONMEBOL,6.0,Dorival Júnior,c3764aaf-cb27-4226-9a57-bc9fe5000cd5,2026-08-12T13:02:22.092043,wc_2026_fixtures.csv,CSV,c681bae0-52fc-4e49-9e59-ebd302e927bd
