group,stage,team1,team2,venue,city,country,date,kickoff_et,team1_confederation,team1_fifa_rank,team1_coach,team2_confederation,team2_fifa_rank,team2_coach,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
A,Group Stage,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,2026-06-11,20:00 ET,CONCACAF,15.0,Javier Aguirre,CAF,60.0,Hugo Broos,3ec923fe-ccc6-496a-983e-2c80bdaa558a,2026-08-12T12:39:49.200528,wc_2026_fixtures.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
A,Group Stage,South Korea,Czechia,Estadio Akron,Guadalajara,Mexico,2026-06-11,22:00 ET,AFC,25.0,Hong Myung-bo,UEFA,41.0,Ivan Hasek,a8581ff3-37bd-46dc-a82f-83abd7addbb1,2026-08-12T12:39:49.200528,wc_2026_fixtures.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
A,Group Stage,South Korea,Mexico,Estadio Akron,Guadalajara,Mexico,2026-06-18,21:00 ET,AFC,25.0,Hong Myung-bo,CONCACAF,15.0,Javier Aguirre,2760ca85-74e8-43fa-a7db-2ea59c2225a8,2026-08-12T12:39:49.200528,wc_2026_fixtures.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
A,Group Stage,Czechia,South Africa,Estadio Akron,Guadalajara,Mexico,2026-06-18,18:00 ET,UEFA,41.0,Ivan Hasek,CAF,60.0,Hugo Broos,6c8d9d42-27bb-4800-bb77-45c06977e261,2026-08-12T12:39:49.200528,wc_2026_fixtures.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
A,Group Stage,Czechia,Mexico,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,UEFA,41.0,Ivan Hasek,CONCACAF,15.0,Javier Aguirre,885a6e01-2ad2-420e-8c97-aee07054432b,2026-08-12T12:39:49.200528,wc_2026_fixtures.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
A,Group Stage,South Africa,South Korea,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,CAF,60.0,Hugo Broos,AFC,25.0,Hong Myung-bo,b8c752af-8758-4b53-89e5-cdad0086c3fd,2026-08-12T12:39:49.200528,wc_2026_fixtures.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
B,Group Stage,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Canada,2026-06-12,15:00 ET,CONCACAF,30.0,Jesse Marsch,UEFA,52.0,Sergej Barbarez,7d9e4b70-ecec-4e18-8753-b0cea184c896,2026-08-12T12:39:49.200528,wc_2026_fixtures.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
B,Group Stage,Qatar,Switzerland,Lumen Field,Seattle,USA,2026-06-13,15:00 ET,AFC,35.0,Marquez Lopez,UEFA,19.0,Murat Yakin,4c2a6199-061d-410d-8920-20dc0cdc41b4,2026-08-12T12:39:49.200528,wc_2026_fixtures.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
B,Group Stage,Switzerland,Bosnia and Herzegovina,BC Place,Vancouver,Canada,2026-06-18,15:00 ET,UEFA,19.0,Murat Yakin,UEFA,52.0,Sergej Barbarez,d6753936-40d8-4083-9161-5713b0fb0946,2026-08-12T12:39:49.200528,wc_2026_fixtures.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
B,Group Stage,Canada,Qatar,BC Place,Vancouver,Canada,2026-06-19,18:00 ET,CONCACAF,30.0,Jesse Marsch,AFC,35.0,Marquez Lopez,871a66d5-ffe2-4b58-b231-9e4a3af0b4d7,2026-08-12T12:39:49.200528,wc_2026_fixtures.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
B,Group Stage,Switzerland,Canada,BC Place,Vancouver,Canada,2026-06-24,18:00 ET,UEFA,19.0,Murat Yakin,CONCACAF,30.0,Jesse Marsch,04c24fb3-25b3-4cea-9775-8ef68b9410fd,2026-08-12T12:39:49.200528,wc_2026_fixtures.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
