group,stage,team1,team2,venue,city,country,date,kickoff_et,team1_confederation,team1_fifa_rank,team1_coach,team2_confederation,team2_fifa_rank,team2_coach,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
A,Group Stage,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,2026-06-11,20:00 ET,CONCACAF,15.0,Javier Aguirre,CAF,60.0,Hugo Broos,46590a0d-7b7b-485e-af0c-1405489f60cf,2026-08-12T12:56:00.466164,wc_2026_fixtures.csv,CSV,d7beaccf-3c6e-472c-bc08-25c5df2a9eca
A,Group Stage,South Korea,Czechia,Estadio Akron,Guadalajara,Mexico,2026-06-11,22:00 ET,AFC,25.0,Hong Myung-bo,UEFA,41.0,Ivan Hasek,654163f5-cf37-4c3b-9050-fbe4c6519a32,2026-08-12T12:56:00.466164,wc_2026_fixtures.csv,CSV,d7beaccf-3c6e-472c-bc08-25c5df2a9eca
A,Group Stage,South Korea,Mexico,Estadio Akron,Guadalajara,Mexico,2026-06-18,21:00 ET,AFC,25.0,Hong Myung-bo,CONCACAF,15.0,Javier Aguirre,e973292f-8791-450b-95de-8a4780e6ac4d,2026-08-12T12:56:00.466164,wc_2026_fixtures.csv,CSV,d7beaccf-3c6e-472c-bc08-25c5df2a9eca
A,Group Stage,Czechia,South Africa,Estadio Akron,Guadalajara,Mexico,2026-06-18,18:00 ET,UEFA,41.0,Ivan Hasek,CAF,60.0,Hugo Broos,ffb4becd-e99f-48d7-9a52-ac2d57e1be5c,2026-08-12T12:56:00.466164,wc_2026_fixtures.csv,CSV,d7beaccf-3c6e-472c-bc08-25c5df2a9eca
A,Group Stage,Czechia,Mexico,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,UEFA,41.0,Ivan Hasek,CONCACAF,15.0,Javier Aguirre,ee5283d9-e43b-48c7-afd6-69a868b0e295,2026-08-12T12:56:00.466164,wc_2026_fixtures.csv,CSV,d7beaccf-3c6e-472c-bc08-25c5df2a9eca
A,Group Stage,South Africa,South Korea,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,CAF,60.0,Hugo Broos,AFC,25.0,Hong Myung-bo,c995d5a9-daf3-4037-a09d-5f6f381ba365,2026-08-12T12:56:00.466164,wc_2026_fixtures.csv,CSV,d7beaccf-3c6e-472c-bc08-25c5df2a9eca
B,Group Stage,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Canada,2026-06-12,15:00 ET,CONCACAF,30.0,Jesse Marsch,UEFA,52.0,Sergej Barbarez,22038864-898e-4d6a-b01b-5feb9ed02caa,2026-08-12T12:56:00.466164,wc_2026_fixtures.csv,CSV,d7beaccf-3c6e-472c-bc08-25c5df2a9eca
B,Group Stage,Qatar,Switzerland,Lumen Field,Seattle,USA,2026-06-13,15:00 ET,AFC,35.0,Marquez Lopez,UEFA,19.0,Murat Yakin,63393281-03bf-45fd-a35e-81eda3c83f4d,2026-08-12T12:56:00.466164,wc_2026_fixtures.csv,CSV,d7beaccf-3c6e-472c-bc08-25c5df2a9eca
B,Group Stage,Switzerland,Bosnia and Herzegovina,BC Place,Vancouver,Canada,2026-06-18,15:00 ET,UEFA,19.0,Murat Yakin,UEFA,52.0,Sergej Barbarez,639768b9-b7a0-4337-bc08-3eabeb5da785,2026-08-12T12:56:00.466164,wc_2026_fixtures.csv,CSV,d7beaccf-3c6e-472c-bc08-25c5df2a9eca
B,Group Stage,Canada,Qatar,BC Place,Vancouver,Canada,2026-06-19,18:00 ET,CONCACAF,30.0,Jesse Marsch,AFC,35.0,Marquez Lopez,2bfdca47-37ac-4c5d-b8f9-afeedd78c6ab,2026-08-12T12:56:00.466164,wc_2026_fixtures.csv,CSV,d7beaccf-3c6e-472c-bc08-25c5df2a9eca
