group,stage,team1,team2,venue,city,country,date,kickoff_et,team1_confederation,team1_fifa_rank,team1_coach,team2_confederation,team2_fifa_rank,team2_coach,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
A,Group Stage,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,2026-06-11,20:00 ET,CONCACAF,15.0,Javier Aguirre,CAF,60.0,Hugo Broos,64833a7f-6f3e-4bbe-a9f9-76fd34e3d409,2026-08-12T12:56:52.590352,wc_2026_fixtures.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
A,Group Stage,South Korea,Czechia,Estadio Akron,Guadalajara,Mexico,2026-06-11,22:00 ET,AFC,25.0,Hong Myung-bo,UEFA,41.0,Ivan Hasek,b97be07b-fade-4855-9bb0-8c7da3826709,2026-08-12T12:56:52.590352,wc_2026_fixtures.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
A,Group Stage,South Korea,Mexico,Estadio Akron,Guadalajara,Mexico,2026-06-18,21:00 ET,AFC,25.0,Hong Myung-bo,CONCACAF,15.0,Javier Aguirre,563403db-2513-4117-b85b-27f8057fcf7e,2026-08-12T12:56:52.590352,wc_2026_fixtures.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
A,Group Stage,Czechia,South Africa,Estadio Akron,Guadalajara,Mexico,2026-06-18,18:00 ET,UEFA,41.0,Ivan Hasek,CAF,60.0,Hugo Broos,b2010269-ff11-4064-bc23-12260a9ae8f4,2026-08-12T12:56:52.590352,wc_2026_fixtures.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
A,Group Stage,Czechia,Mexico,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,UEFA,41.0,Ivan Hasek,CONCACAF,15.0,Javier Aguirre,ebefc6cf-b8a4-4c2a-8578-5aaa65f5585b,2026-08-12T12:56:52.590352,wc_2026_fixtures.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
A,Group Stage,South Africa,South Korea,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,CAF,60.0,Hugo Broos,AFC,25.0,Hong Myung-bo,271d35dd-10dc-4661-8eb5-23e364b9f189,2026-08-12T12:56:52.590352,wc_2026_fixtures.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
B,Group Stage,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Canada,2026-06-12,15:00 ET,CONCACAF,30.0,Jesse Marsch,UEFA,52.0,Sergej Barbarez,e6a91412-5ad0-4b71-be5a-a6749696e083,2026-08-12T12:56:52.590352,wc_2026_fixtures.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
B,Group Stage,Qatar,Switzerland,Lumen Field,Seattle,USA,2026-06-13,15:00 ET,AFC,35.0,Marquez Lopez,UEFA,19.0,Murat Yakin,411090de-2071-4466-8991-4fbe31891b91,2026-08-12T12:56:52.590352,wc_2026_fixtures.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
B,Group Stage,Switzerland,Bosnia and Herzegovina,BC Place,Vancouver,Canada,2026-06-18,15:00 ET,UEFA,19.0,Murat Yakin,UEFA,52.0,Sergej Barbarez,023b7c81-3458-49ec-815f-58a0c0d6a592,2026-08-12T12:56:52.590352,wc_2026_fixtures.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
B,Group Stage,Canada,Qatar,BC Place,Vancouver,Canada,2026-06-19,18:00 ET,CONCACAF,30.0,Jesse Marsch,AFC,35.0,Marquez Lopez,790233f7-9cfc-4f1d-85a6-33020663aa6d,2026-08-12T12:56:52.590352,wc_2026_fixtures.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
