group,stage,team1,team2,venue,city,country,date,kickoff_et,team1_confederation,team1_fifa_rank,team1_coach,team2_confederation,team2_fifa_rank,team2_coach,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
A,Group Stage,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,2026-06-11,20:00 ET,CONCACAF,15.0,Javier Aguirre,CAF,60.0,Hugo Broos,4bea3c03-67f7-4487-9778-7c47bb542a0c,2026-08-14T11:39:23.494787,wc_2026_fixtures.csv,CSV,920a11d2-427d-4b6a-b1df-29a230886098
A,Group Stage,South Korea,Czechia,Estadio Akron,Guadalajara,Mexico,2026-06-11,22:00 ET,AFC,25.0,Hong Myung-bo,UEFA,41.0,Ivan Hasek,0b4294c8-c77c-4fea-a4bd-6a46e31ae42e,2026-08-14T11:39:23.494787,wc_2026_fixtures.csv,CSV,920a11d2-427d-4b6a-b1df-29a230886098
A,Group Stage,South Korea,Mexico,Estadio Akron,Guadalajara,Mexico,2026-06-18,21:00 ET,AFC,25.0,Hong Myung-bo,CONCACAF,15.0,Javier Aguirre,1defb476-2661-4cf0-92fb-75269282800c,2026-08-14T11:39:23.494787,wc_2026_fixtures.csv,CSV,920a11d2-427d-4b6a-b1df-29a230886098
A,Group Stage,Czechia,South Africa,Estadio Akron,Guadalajara,Mexico,2026-06-18,18:00 ET,UEFA,41.0,Ivan Hasek,CAF,60.0,Hugo Broos,049c3da4-8c09-4cdd-accd-40cf2759ced2,2026-08-14T11:39:23.494787,wc_2026_fixtures.csv,CSV,920a11d2-427d-4b6a-b1df-29a230886098
A,Group Stage,Czechia,Mexico,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,UEFA,41.0,Ivan Hasek,CONCACAF,15.0,Javier Aguirre,6a296c15-b152-463b-b3b8-5d87d2105a28,2026-08-14T11:39:23.494787,wc_2026_fixtures.csv,CSV,920a11d2-427d-4b6a-b1df-29a230886098
A,Group Stage,South Africa,South Korea,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,CAF,60.0,Hugo Broos,AFC,25.0,Hong Myung-bo,a5f13e30-867c-4502-931c-8d3bd3f1e9e9,2026-08-14T11:39:23.494787,wc_2026_fixtures.csv,CSV,920a11d2-427d-4b6a-b1df-29a230886098
B,Group Stage,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Canada,2026-06-12,15:00 ET,CONCACAF,30.0,Jesse Marsch,UEFA,52.0,Sergej Barbarez,bd90b153-5a86-4ae0-8939-d9bf8951a9e2,2026-08-14T11:39:23.494787,wc_2026_fixtures.csv,CSV,920a11d2-427d-4b6a-b1df-29a230886098
B,Group Stage,Qatar,Switzerland,Lumen Field,Seattle,USA,2026-06-13,15:00 ET,AFC,35.0,Marquez Lopez,UEFA,19.0,Murat Yakin,ffbe6f69-39d3-4b26-93fa-57a17069c257,2026-08-14T11:39:23.494787,wc_2026_fixtures.csv,CSV,920a11d2-427d-4b6a-b1df-29a230886098
B,Group Stage,Switzerland,Bosnia and Herzegovina,BC Place,Vancouver,Canada,2026-06-18,15:00 ET,UEFA,19.0,Murat Yakin,UEFA,52.0,Sergej Barbarez,fc053f9b-55da-4ab3-a1e0-289da6730cdf,2026-08-14T11:39:23.494787,wc_2026_fixtures.csv,CSV,920a11d2-427d-4b6a-b1df-29a230886098
B,Group Stage,Canada,Qatar,BC Place,Vancouver,Canada,2026-06-19,18:00 ET,CONCACAF,30.0,Jesse Marsch,AFC,35.0,Marquez Lopez,60484e36-9fe1-4e76-ab11-c38492087daf,2026-08-14T11:39:23.494787,wc_2026_fixtures.csv,CSV,920a11d2-427d-4b6a-b1df-29a230886098
B,Group Stage,Switzerland,Canada,BC Place,Vancouver,Canada,2026-06-24,18:00 ET,UEFA,19.0,Murat Yakin,CONCACAF,30.0,Jesse Marsch,fb9bd747-8d21-4d74-9fe8-c4a706bafa81,2026-08-14T11:39:23.494787,wc_2026_fixtures.csv,CSV,920a11d2-427d-4b6a-b1df-29a230886098
