group,stage,team1,team2,venue,city,country,date,kickoff_et,team1_confederation,team1_fifa_rank,team1_coach,team2_confederation,team2_fifa_rank,team2_coach,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
A,Group Stage,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,2026-06-11,20:00 ET,CONCACAF,15.0,Javier Aguirre,CAF,60.0,Hugo Broos,5f465a02-afed-4a02-8c88-4883497116f7,2026-08-14T11:38:32.189600,wc_2026_fixtures.csv,CSV,aa010f75-72ca-4ddd-beea-f5acf84cf033
A,Group Stage,South Korea,Czechia,Estadio Akron,Guadalajara,Mexico,2026-06-11,22:00 ET,AFC,25.0,Hong Myung-bo,UEFA,41.0,Ivan Hasek,dfa2dd2c-a624-4d92-a2a8-58dc4f73b206,2026-08-14T11:38:32.189600,wc_2026_fixtures.csv,CSV,aa010f75-72ca-4ddd-beea-f5acf84cf033
A,Group Stage,South Korea,Mexico,Estadio Akron,Guadalajara,Mexico,2026-06-18,21:00 ET,AFC,25.0,Hong Myung-bo,CONCACAF,15.0,Javier Aguirre,7056d04e-0f3e-4666-bb03-39c6418c8dd2,2026-08-14T11:38:32.189600,wc_2026_fixtures.csv,CSV,aa010f75-72ca-4ddd-beea-f5acf84cf033
A,Group Stage,Czechia,South Africa,Estadio Akron,Guadalajara,Mexico,2026-06-18,18:00 ET,UEFA,41.0,Ivan Hasek,CAF,60.0,Hugo Broos,1f79ef7f-ee89-4537-bdf4-be9ba8a804eb,2026-08-14T11:38:32.189600,wc_2026_fixtures.csv,CSV,aa010f75-72ca-4ddd-beea-f5acf84cf033
A,Group Stage,Czechia,Mexico,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,UEFA,41.0,Ivan Hasek,CONCACAF,15.0,Javier Aguirre,216b16fd-7484-4e56-b1af-ded5784e8c8f,2026-08-14T11:38:32.189600,wc_2026_fixtures.csv,CSV,aa010f75-72ca-4ddd-beea-f5acf84cf033
A,Group Stage,South Africa,South Korea,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,CAF,60.0,Hugo Broos,AFC,25.0,Hong Myung-bo,b46b8603-2dec-4b39-84fe-139f200e84b1,2026-08-14T11:38:32.189600,wc_2026_fixtures.csv,CSV,aa010f75-72ca-4ddd-beea-f5acf84cf033
B,Group Stage,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Canada,2026-06-12,15:00 ET,CONCACAF,30.0,Jesse Marsch,UEFA,52.0,Sergej Barbarez,99eb058c-dfd0-4260-9aa5-51e72adbc5de,2026-08-14T11:38:32.189600,wc_2026_fixtures.csv,CSV,aa010f75-72ca-4ddd-beea-f5acf84cf033
B,Group Stage,Qatar,Switzerland,Lumen Field,Seattle,USA,2026-06-13,15:00 ET,AFC,35.0,Marquez Lopez,UEFA,19.0,Murat Yakin,e5f57507-004f-46cd-b599-db667658149b,2026-08-14T11:38:32.189600,wc_2026_fixtures.csv,CSV,aa010f75-72ca-4ddd-beea-f5acf84cf033
B,Group Stage,Switzerland,Bosnia and Herzegovina,BC Place,Vancouver,Canada,2026-06-18,15:00 ET,UEFA,19.0,Murat Yakin,UEFA,52.0,Sergej Barbarez,ee5e219d-e350-4985-b85b-05fc8a69b45a,2026-08-14T11:38:32.189600,wc_2026_fixtures.csv,CSV,aa010f75-72ca-4ddd-beea-f5acf84cf033
B,Group Stage,Canada,Qatar,BC Place,Vancouver,Canada,2026-06-19,18:00 ET,CONCACAF,30.0,Jesse Marsch,AFC,35.0,Marquez Lopez,efe3c3ee-765d-4079-bec6-b95aa6598e8a,2026-08-14T11:38:32.189600,wc_2026_fixtures.csv,CSV,aa010f75-72ca-4ddd-beea-f5acf84cf033
B,Group Stage,Switzerland,Canada,BC Place,Vancouver,Canada,2026-06-24,18:00 ET,UEFA,19.0,Murat Yakin,CONCACAF,30.0,Jesse Marsch,4c248c70-5c6b-47f7-a9e5-9d60114bb6f0,2026-08-14T11:38:32.189600,wc_2026_fixtures.csv,CSV,aa010f75-72ca-4ddd-beea-f5acf84cf033
B,Group Stage,Bosnia and Herzegovina,Qatar,BMO Field,Toronto,Canada,2026-06-24,18:00 ET,UEFA,52.0,Sergej Barbarez,AFC,35.0,Marquez Lopez,8aef37f5-edbd-43d0-8cc0-790f19cdcba6,2026-08-14T11:38:32.189600,wc_2026_fixtures.csv,CSV,aa010f75-72ca-4ddd-beea-f5acf84cf033
C,Group Stage,Brazil,Morocco,MetLife Stadium,East Rutherford,USA,2026-06-13,18:00 ET,CONMEBOL,6.0,Dorival Júnior,CAF,8.0,Walid Regragui,2003f7e8-5199-4c54-abff-8144ec27b0ee,2026-08-14T11:38:32.189600,wc_2026_fixtures.csv,CSV,aa010f75-72ca-4ddd-beea-f5acf84cf033
C,Group Stage,Haiti,Scotland,Gillette Stadium,Foxborough,USA,2026-06-13,21:00 ET,CONCACAF,83.0,Marc Collat,UEFA,47.0,Steve Clarke,7b4cb43a-618e-4029-9809-5a5284add9f4,2026-08-14T11:38:32.189600,wc_2026_fixtures.csv,CSV,aa010f75-72ca-4ddd-beea-f5acf84cf033
C,Group Stage,Brazil,Scotland,MetLife Stadium,East Rutherford,USA,2026-06-19,21:00 ET,CONMEBOL,6.0,Dorival Júnior,UEFA,47.0,Steve Clarke,fa8dd7f6-65ce-4db9-a05d-a383877a0f2a,2026-08-14T11:38:32.189600,wc_2026_fixtures.csv,CSV,aa010f75-72ca-4ddd-beea-f5acf84cf033
C,Group Stage,Morocco,Haiti,MetLife Stadium,East Rutherford,USA,2026-06-19,21:00 ET,CAF,8.0,Walid Regragui,CONCACAF,83.0,Marc Collat,05c82964-ee83-46d9-8b33-02155cca6898,2026-08-14T11:38:32.189600,wc_2026_fixtures.csv,CSV,aa010f75-72ca-4ddd-beea-f5acf84cf033
C,Group Stage,Scotland,Brazil,Gillette Stadium,Foxborough,USA,2026-06-24,21:00 ET,UEFA,47.0,Steve Clarke,CONMEBOL,6.0,Dorival Júnior,366ae4e5-926b-4b96-b20f-c9c553d15e3a,2026-08-14T11:38:32.189600,wc_2026_fixtures.csv,CSV,aa010f75-72ca-4ddd-beea-f5acf84cf033
C,Group Stage,Morocco,Haiti,Gillette Stadium,Foxborough,USA,2026-06-24,21:00 ET,CAF,8.0,Walid Regragui,CONCACAF,83.0,Marc Collat,68aadab6-c09c-40d8-aeae-4937ee80b022,2026-08-14T11:38:32.189600,wc_2026_fixtures.csv,CSV,aa010f75-72ca-4ddd-beea-f5acf84cf033
D,Group Stage,USA,Paraguay,SoFi Stadium,Inglewood,USA,2026-06-12,21:00 ET,CONCACAF,16.0,Mauricio Pochettino,CONMEBOL,64.0,Gustavo Alfaro,991c6fa3-16d4-427f-99fd-f220c8b581ed,2026-08-14T11:38:32.189600,wc_2026_fixtures.csv,CSV,aa010f75-72ca-4ddd-beea-f5acf84cf033
D,Group Stage,Australia,Türkiye,MetLife Stadium,East Rutherford,USA,2026-06-13,12:00 ET,AFC,26.0,Tony Popovic,UEFA,42.0,Vincenzo Montella,bfb6147e-8c6d-4ba3-bdb1-53155ff0c753,2026-08-14T11:38:32.189600,wc_2026_fixtures.csv,CSV,aa010f75-72ca-4ddd-beea-f5acf84cf033
D,Group Stage,USA,Australia,Lincoln Financial Field,Philadelphia,USA,2026-06-19,15:00 ET,CONCACAF,16.0,Mauricio Pochettino,AFC,26.0,Tony Popovic,b30de0f7-b6f9-405d-9671-7ca47e7cef0c,2026-08-14T11:38:32.189600,wc_2026_fixtures.csv,CSV,aa010f75-72ca-4ddd-beea-f5acf84cf033
D,Group Stage,Türkiye,Paraguay,MetLife Stadium,East Rutherford,USA,2026-06-20,00:00 ET,UEFA,42.0,Vincenzo Montella,CONMEBOL,64.0,Gustavo Alfaro,2d9511fe-9453-4c22-9e01-5bc71b4806b3,2026-08-14T11:38:32.189600,wc_2026_fixtures.csv,CSV,aa010f75-72ca-4ddd-beea-f5acf84cf033
D,Group Stage,Türkiye,USA,AT&T Stadium,Arlington,USA,2026-06-25,21:00 ET,UEFA,42.0,Vincenzo Montella,CONCACAF,16.0,Mauricio Pochettino,5a1ff621-e903-4bda-8931-f01eecd5c019,2026-08-14T11:38:32.189600,wc_2026_fixtures.csv,CSV,aa010f75-72ca-4ddd-beea-f5acf84cf033
