group,stage,team1,team2,venue,city,country,date,kickoff_et,team1_confederation,team1_fifa_rank,team1_coach,team2_confederation,team2_fifa_rank,team2_coach,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
A,Group Stage,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,2026-06-11,20:00 ET,CONCACAF,15.0,Javier Aguirre,CAF,60.0,Hugo Broos,68c8d5e0-ce6c-4d72-851e-84693adf1493,2026-08-18T12:34:02.714848,wc_2026_fixtures.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
A,Group Stage,South Korea,Czechia,Estadio Akron,Guadalajara,Mexico,2026-06-11,22:00 ET,AFC,25.0,Hong Myung-bo,UEFA,41.0,Ivan Hasek,4968ceb1-21f5-476e-97ed-d6aa058cb2a3,2026-08-18T12:34:02.714848,wc_2026_fixtures.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
A,Group Stage,South Korea,Mexico,Estadio Akron,Guadalajara,Mexico,2026-06-18,21:00 ET,AFC,25.0,Hong Myung-bo,CONCACAF,15.0,Javier Aguirre,9a3cd586-f60c-4483-a3e9-3af8260ddfac,2026-08-18T12:34:02.714848,wc_2026_fixtures.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
A,Group Stage,Czechia,South Africa,Estadio Akron,Guadalajara,Mexico,2026-06-18,18:00 ET,UEFA,41.0,Ivan Hasek,CAF,60.0,Hugo Broos,ed1bd301-61ad-43ac-8931-36f6a2615fbe,2026-08-18T12:34:02.714848,wc_2026_fixtures.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
A,Group Stage,Czechia,Mexico,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,UEFA,41.0,Ivan Hasek,CONCACAF,15.0,Javier Aguirre,10defd3a-294e-4c9f-bb5d-6c09fe9ecef3,2026-08-18T12:34:02.714848,wc_2026_fixtures.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
A,Group Stage,South Africa,South Korea,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,CAF,60.0,Hugo Broos,AFC,25.0,Hong Myung-bo,41b37b6b-4ebf-4ec3-b806-b3310691a754,2026-08-18T12:34:02.714848,wc_2026_fixtures.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
B,Group Stage,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Canada,2026-06-12,15:00 ET,CONCACAF,30.0,Jesse Marsch,UEFA,52.0,Sergej Barbarez,5a6bfa61-1dc2-46ba-9c62-6a43a41770ed,2026-08-18T12:34:02.714848,wc_2026_fixtures.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
B,Group Stage,Qatar,Switzerland,Lumen Field,Seattle,USA,2026-06-13,15:00 ET,AFC,35.0,Marquez Lopez,UEFA,19.0,Murat Yakin,fc765d27-6048-4f61-9c32-48468b858a4e,2026-08-18T12:34:02.714848,wc_2026_fixtures.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
B,Group Stage,Switzerland,Bosnia and Herzegovina,BC Place,Vancouver,Canada,2026-06-18,15:00 ET,UEFA,19.0,Murat Yakin,UEFA,52.0,Sergej Barbarez,1af256c3-4d35-46ba-81d7-eff7eeaf0d20,2026-08-18T12:34:02.714848,wc_2026_fixtures.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
B,Group Stage,Canada,Qatar,BC Place,Vancouver,Canada,2026-06-19,18:00 ET,CONCACAF,30.0,Jesse Marsch,AFC,35.0,Marquez Lopez,3ed9f97b-6ab6-4347-8b5e-9b024d081121,2026-08-18T12:34:02.714848,wc_2026_fixtures.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
B,Group Stage,Switzerland,Canada,BC Place,Vancouver,Canada,2026-06-24,18:00 ET,UEFA,19.0,Murat Yakin,CONCACAF,30.0,Jesse Marsch,14d32131-4834-4931-8d9c-9764612b30e7,2026-08-18T12:34:02.714848,wc_2026_fixtures.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
B,Group Stage,Bosnia and Herzegovina,Qatar,BMO Field,Toronto,Canada,2026-06-24,18:00 ET,UEFA,52.0,Sergej Barbarez,AFC,35.0,Marquez Lopez,12e40381-bdaf-4823-9d5b-b012bea125fc,2026-08-18T12:34:02.714848,wc_2026_fixtures.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
C,Group Stage,Brazil,Morocco,MetLife Stadium,East Rutherford,USA,2026-06-13,18:00 ET,CONMEBOL,6.0,Dorival Júnior,CAF,8.0,Walid Regragui,22b0493c-4159-4193-aacf-5ddb1ebee7c5,2026-08-18T12:34:02.714848,wc_2026_fixtures.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
C,Group Stage,Haiti,Scotland,Gillette Stadium,Foxborough,USA,2026-06-13,21:00 ET,CONCACAF,83.0,Marc Collat,UEFA,47.0,Steve Clarke,9237ea88-2f06-4672-b7ff-78764a0346c2,2026-08-18T12:34:02.714848,wc_2026_fixtures.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
C,Group Stage,Brazil,Scotland,MetLife Stadium,East Rutherford,USA,2026-06-19,21:00 ET,CONMEBOL,6.0,Dorival Júnior,UEFA,47.0,Steve Clarke,432b54c0-776d-4b9b-b098-95008fe769b6,2026-08-18T12:34:02.714848,wc_2026_fixtures.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
C,Group Stage,Morocco,Haiti,MetLife Stadium,East Rutherford,USA,2026-06-19,21:00 ET,CAF,8.0,Walid Regragui,CONCACAF,83.0,Marc Collat,4a60b5e3-c4b9-4ee1-8a42-612d8cd8ed97,2026-08-18T12:34:02.714848,wc_2026_fixtures.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
C,Group Stage,Scotland,Brazil,Gillette Stadium,Foxborough,USA,2026-06-24,21:00 ET,UEFA,47.0,Steve Clarke,CONMEBOL,6.0,Dorival Júnior,5913db2e-fc83-43f5-8c90-8cd6e5987cde,2026-08-18T12:34:02.714848,wc_2026_fixtures.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
C,Group Stage,Morocco,Haiti,Gillette Stadium,Foxborough,USA,2026-06-24,21:00 ET,CAF,8.0,Walid Regragui,CONCACAF,83.0,Marc Collat,03664701-5142-497a-8fad-53706f2d42b5,2026-08-18T12:34:02.714848,wc_2026_fixtures.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
D,Group Stage,USA,Paraguay,SoFi Stadium,Inglewood,USA,2026-06-12,21:00 ET,CONCACAF,16.0,Mauricio Pochettino,CONMEBOL,64.0,Gustavo Alfaro,59a678d9-4ff4-430e-8bf9-15f2e1967d10,2026-08-18T12:34:02.714848,wc_2026_fixtures.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
D,Group Stage,Australia,Türkiye,MetLife Stadium,East Rutherford,USA,2026-06-13,12:00 ET,AFC,26.0,Tony Popovic,UEFA,42.0,Vincenzo Montella,2d5134e0-b34a-4b5d-9e4a-50aa152bac4b,2026-08-18T12:34:02.714848,wc_2026_fixtures.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
D,Group Stage,USA,Australia,Lincoln Financial Field,Philadelphia,USA,2026-06-19,15:00 ET,CONCACAF,16.0,Mauricio Pochettino,AFC,26.0,Tony Popovic,0815f931-4c92-4b8c-9fa5-5ab3c99eb8a3,2026-08-18T12:34:02.714848,wc_2026_fixtures.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
D,Group Stage,Türkiye,Paraguay,MetLife Stadium,East Rutherford,USA,2026-06-20,00:00 ET,UEFA,42.0,Vincenzo Montella,CONMEBOL,64.0,Gustavo Alfaro,dd38878b-559c-4bdb-9ac2-ccd34e66fd0d,2026-08-18T12:34:02.714848,wc_2026_fixtures.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
D,Group Stage,Türkiye,USA,AT&T Stadium,Arlington,USA,2026-06-25,21:00 ET,UEFA,42.0,Vincenzo Montella,CONCACAF,16.0,Mauricio Pochettino,5a690d7b-164e-45ad-b5f5-143b4edecf18,2026-08-18T12:34:02.714848,wc_2026_fixtures.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
D,Group Stage,Paraguay,Australia,AT&T Stadium,Arlington,USA,2026-06-25,21:00 ET,CONMEBOL,64.0,Gustavo Alfaro,AFC,26.0,Tony Popovic,9b1789c7-ccb5-4062-a0a3-b0875193b080,2026-08-18T12:34:02.714848,wc_2026_fixtures.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
E,Group Stage,Germany,Curaçao,NRG Stadium,Houston,USA,2026-06-14,13:00 ET,UEFA,10.0,Julian Nagelsmann,CONCACAF,81.0,Dick Advocaat,1c2d4b03-2b45-439b-8bab-b3df31532375,2026-08-18T12:34:02.714848,wc_2026_fixtures.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
E,Group Stage,Ivory Coast,Ecuador,Lincoln Financial Field,Philadelphia,USA,2026-06-14,19:00 ET,CAF,33.0,Emerse Faé,CONMEBOL,24.0,Sebastián Beccacece,b4d98e41-29a6-4f46-8536-7d2252d5f25b,2026-08-18T12:34:02.714848,wc_2026_fixtures.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
E,Group Stage,Germany,Ivory Coast,NRG Stadium,Houston,USA,2026-06-20,19:00 ET,UEFA,10.0,Julian Nagelsmann,CAF,33.0,Emerse Faé,812c269e-f032-45a7-8ee6-5fa557b00dd9,2026-08-18T12:34:02.714848,wc_2026_fixtures.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
E,Group Stage,Ecuador,Curaçao,Mercedes-Benz Stadium,Atlanta,USA,2026-06-20,22:00 ET,CONMEBOL,24.0,Sebastián Beccacece,CONCACAF,81.0,Dick Advocaat,76ff40f2-b006-40b3-bc2c-0165952e6480,2026-08-18T12:34:02.714848,wc_2026_fixtures.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
E,Group Stage,Ecuador,Germany,AT&T Stadium,Arlington,USA,2026-06-25,18:00 ET,CONMEBOL,24.0,Sebastián Beccacece,UEFA,10.0,Julian Nagelsmann,d20d91bd-6124-4c0d-bcdc-ede21234249d,2026-08-18T12:34:02.714848,wc_2026_fixtures.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
