group,stage,team1,team2,venue,city,country,date,kickoff_et,team1_confederation,team1_fifa_rank,team1_coach,team2_confederation,team2_fifa_rank,team2_coach,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
A,Group Stage,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,2026-06-11,20:00 ET,CONCACAF,15.0,Javier Aguirre,CAF,60.0,Hugo Broos,183b7ccd-e129-4af8-ac01-9e4c596dc72c,2026-08-18T15:31:16.982978,wc_2026_fixtures.csv,CSV,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
A,Group Stage,South Korea,Czechia,Estadio Akron,Guadalajara,Mexico,2026-06-11,22:00 ET,AFC,25.0,Hong Myung-bo,UEFA,41.0,Ivan Hasek,b770cacd-36b7-4fea-9b15-d4062d069ba4,2026-08-18T15:31:16.982978,wc_2026_fixtures.csv,CSV,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
A,Group Stage,South Korea,Mexico,Estadio Akron,Guadalajara,Mexico,2026-06-18,21:00 ET,AFC,25.0,Hong Myung-bo,CONCACAF,15.0,Javier Aguirre,705f509f-5463-4923-8063-4c9027f891a5,2026-08-18T15:31:16.982978,wc_2026_fixtures.csv,CSV,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
A,Group Stage,Czechia,South Africa,Estadio Akron,Guadalajara,Mexico,2026-06-18,18:00 ET,UEFA,41.0,Ivan Hasek,CAF,60.0,Hugo Broos,e3c252ab-98d0-492d-9df3-8216bad6f3c1,2026-08-18T15:31:16.982978,wc_2026_fixtures.csv,CSV,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
A,Group Stage,Czechia,Mexico,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,UEFA,41.0,Ivan Hasek,CONCACAF,15.0,Javier Aguirre,538f3145-d779-4eb0-b26a-572994c5e493,2026-08-18T15:31:16.982978,wc_2026_fixtures.csv,CSV,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
A,Group Stage,South Africa,South Korea,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,CAF,60.0,Hugo Broos,AFC,25.0,Hong Myung-bo,5b81ae9f-05cd-4084-a28e-1aa360523195,2026-08-18T15:31:16.982978,wc_2026_fixtures.csv,CSV,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
B,Group Stage,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Canada,2026-06-12,15:00 ET,CONCACAF,30.0,Jesse Marsch,UEFA,52.0,Sergej Barbarez,881a2d39-3333-4baa-ab3c-fb263eb50d7a,2026-08-18T15:31:16.982978,wc_2026_fixtures.csv,CSV,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
B,Group Stage,Qatar,Switzerland,Lumen Field,Seattle,USA,2026-06-13,15:00 ET,AFC,35.0,Marquez Lopez,UEFA,19.0,Murat Yakin,3a152657-8351-407d-8d09-50dda85645b5,2026-08-18T15:31:16.982978,wc_2026_fixtures.csv,CSV,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
B,Group Stage,Switzerland,Bosnia and Herzegovina,BC Place,Vancouver,Canada,2026-06-18,15:00 ET,UEFA,19.0,Murat Yakin,UEFA,52.0,Sergej Barbarez,09a43e6f-e250-475c-880b-ba479b874575,2026-08-18T15:31:16.982978,wc_2026_fixtures.csv,CSV,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
B,Group Stage,Canada,Qatar,BC Place,Vancouver,Canada,2026-06-19,18:00 ET,CONCACAF,30.0,Jesse Marsch,AFC,35.0,Marquez Lopez,ffbf9f3b-babd-43f5-bfc1-a25d96937baf,2026-08-18T15:31:16.982978,wc_2026_fixtures.csv,CSV,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
B,Group Stage,Switzerland,Canada,BC Place,Vancouver,Canada,2026-06-24,18:00 ET,UEFA,19.0,Murat Yakin,CONCACAF,30.0,Jesse Marsch,462a0fac-a249-462c-8192-8f38cc5d418f,2026-08-18T15:31:16.982978,wc_2026_fixtures.csv,CSV,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
