group,stage,team1,team2,venue,city,country,date,kickoff_et,team1_confederation,team1_fifa_rank,team1_coach,team2_confederation,team2_fifa_rank,team2_coach,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
A,Group Stage,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,2026-06-11,20:00 ET,CONCACAF,15.0,Javier Aguirre,CAF,60.0,Hugo Broos,7385252b-80c8-4323-b088-ca1e68abeef6,2026-08-18T12:29:01.809720,wc_2026_fixtures.csv,CSV,ebe3b807-d2d8-40c0-b202-60f947e7efea
A,Group Stage,South Korea,Czechia,Estadio Akron,Guadalajara,Mexico,2026-06-11,22:00 ET,AFC,25.0,Hong Myung-bo,UEFA,41.0,Ivan Hasek,b9ec8000-951a-4548-9594-bbc6053805f9,2026-08-18T12:29:01.809720,wc_2026_fixtures.csv,CSV,ebe3b807-d2d8-40c0-b202-60f947e7efea
A,Group Stage,South Korea,Mexico,Estadio Akron,Guadalajara,Mexico,2026-06-18,21:00 ET,AFC,25.0,Hong Myung-bo,CONCACAF,15.0,Javier Aguirre,6c08da48-572c-4afd-877a-2a76041dd32e,2026-08-18T12:29:01.809720,wc_2026_fixtures.csv,CSV,ebe3b807-d2d8-40c0-b202-60f947e7efea
A,Group Stage,Czechia,South Africa,Estadio Akron,Guadalajara,Mexico,2026-06-18,18:00 ET,UEFA,41.0,Ivan Hasek,CAF,60.0,Hugo Broos,e92fa570-9e85-490d-96b3-7c4bdbeb0fc7,2026-08-18T12:29:01.809720,wc_2026_fixtures.csv,CSV,ebe3b807-d2d8-40c0-b202-60f947e7efea
A,Group Stage,Czechia,Mexico,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,UEFA,41.0,Ivan Hasek,CONCACAF,15.0,Javier Aguirre,8f708580-0e23-4414-a79a-c25e01bcaf6a,2026-08-18T12:29:01.809720,wc_2026_fixtures.csv,CSV,ebe3b807-d2d8-40c0-b202-60f947e7efea
A,Group Stage,South Africa,South Korea,Estadio Azteca,Mexico City,Mexico,2026-06-24,21:00 ET,CAF,60.0,Hugo Broos,AFC,25.0,Hong Myung-bo,13ccc427-7632-421d-80d0-685eb3a81a38,2026-08-18T12:29:01.809720,wc_2026_fixtures.csv,CSV,ebe3b807-d2d8-40c0-b202-60f947e7efea
B,Group Stage,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Canada,2026-06-12,15:00 ET,CONCACAF,30.0,Jesse Marsch,UEFA,52.0,Sergej Barbarez,75a698e2-a4e7-4636-81b4-b74ad1cd94f7,2026-08-18T12:29:01.809720,wc_2026_fixtures.csv,CSV,ebe3b807-d2d8-40c0-b202-60f947e7efea
B,Group Stage,Qatar,Switzerland,Lumen Field,Seattle,USA,2026-06-13,15:00 ET,AFC,35.0,Marquez Lopez,UEFA,19.0,Murat Yakin,d156095b-71a7-4c4a-8e0c-903d5c9492b6,2026-08-18T12:29:01.809720,wc_2026_fixtures.csv,CSV,ebe3b807-d2d8-40c0-b202-60f947e7efea
B,Group Stage,Switzerland,Bosnia and Herzegovina,BC Place,Vancouver,Canada,2026-06-18,15:00 ET,UEFA,19.0,Murat Yakin,UEFA,52.0,Sergej Barbarez,8f3693f9-d716-4000-a5a1-b9a32d1c55f6,2026-08-18T12:29:01.809720,wc_2026_fixtures.csv,CSV,ebe3b807-d2d8-40c0-b202-60f947e7efea
B,Group Stage,Canada,Qatar,BC Place,Vancouver,Canada,2026-06-19,18:00 ET,CONCACAF,30.0,Jesse Marsch,AFC,35.0,Marquez Lopez,f383f352-2ba6-4c2f-82dd-f373d41defef,2026-08-18T12:29:01.809720,wc_2026_fixtures.csv,CSV,ebe3b807-d2d8-40c0-b202-60f947e7efea
