year,stage,team1,score1,score2,team2,venue,city,country,date,notes,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1930,Group Stage,France,4,1,Mexico,Estadio Centenario,Montevideo,Uruguay,1930-07-13,First ever WC match,310cb465-2eb8-4a9d-ae0c-c1f1830473bd,2026-07-15T20:10:40.086774,wc_all_matches.csv,CSV,2d1aee6b-dfeb-415b-9968-aba30c977e75
1930,Group Stage,USA,3,0,Belgium,Estadio Centenario,Montevideo,Uruguay,1930-07-13,nan,fdb58575-1159-4585-b7c9-9378024b61e1,2026-07-15T20:10:40.086774,wc_all_matches.csv,CSV,2d1aee6b-dfeb-415b-9968-aba30c977e75
1930,Group Stage,Yugoslavia,2,1,Brazil,Estadio Centenario,Montevideo,Uruguay,1930-07-14,nan,2976dcf4-263d-4953-9077-71ff347d684c,2026-07-15T20:10:40.086774,wc_all_matches.csv,CSV,2d1aee6b-dfeb-415b-9968-aba30c977e75
1930,Group Stage,Uruguay,1,0,Peru,Estadio Centenario,Montevideo,Uruguay,1930-07-18,nan,554f75fd-71a2-453a-aed9-69b8de6be8d4,2026-07-15T20:10:40.086774,wc_all_matches.csv,CSV,2d1aee6b-dfeb-415b-9968-aba30c977e75
1930,Group Stage,Argentina,6,3,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,e19a7c0d-0dda-47a3-8c11-65f96aef8234,2026-07-15T20:10:40.086774,wc_all_matches.csv,CSV,2d1aee6b-dfeb-415b-9968-aba30c977e75
1930,Semi-final,Uruguay,6,1,Yugoslavia,Estadio Centenario,Montevideo,Uruguay,1930-07-27,nan,87f5efa2-8350-45f8-8b58-45631d5ce344,2026-07-15T20:10:40.086774,wc_all_matches.csv,CSV,2d1aee6b-dfeb-415b-9968-aba30c977e75
1930,Semi-final,Argentina,6,1,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,0ee43f1f-5684-40c7-88b0-a7767e1997e1,2026-07-15T20:10:40.086774,wc_all_matches.csv,CSV,2d1aee6b-dfeb-415b-9968-aba30c977e75
1930,Final,Uruguay,4,2,Argentina,Estadio Centenario,Montevideo,Uruguay,1930-07-30,First WC Final,d9944ad9-1f9f-49bd-9dfa-c070a0ea6f5b,2026-07-15T20:10:40.086774,wc_all_matches.csv,CSV,2d1aee6b-dfeb-415b-9968-aba30c977e75
1934,Round of 16,Italy,7,1,USA,PNF Stadium,Rome,Italy,1934-05-27,nan,0a7c76ba-5b3d-4d3b-b7e7-11f07091332a,2026-07-15T20:10:40.086774,wc_all_matches.csv,CSV,2d1aee6b-dfeb-415b-9968-aba30c977e75
1934,Round of 16,Germany,5,2,Belgium,PNF Stadium,Florence,Italy,1934-05-27,nan,f622e05c-91ea-4bc9-a905-7d45d08f1ff5,2026-07-15T20:10:40.086774,wc_all_matches.csv,CSV,2d1aee6b-dfeb-415b-9968-aba30c977e75
1934,Quarter-final,Italy,1,1,Spain,PNF Stadium,Florence,Italy,1934-05-31,AET - replay,067d846f-8b14-47d5-83ea-24164be2a19d,2026-07-15T20:10:40.086774,wc_all_matches.csv,CSV,2d1aee6b-dfeb-415b-9968-aba30c977e75
1934,Semi-final,Italy,1,0,Austria,San Siro,Milan,Italy,1934-06-03,nan,84445263-f66a-45a3-abda-c65ce19d2055,2026-07-15T20:10:40.086774,wc_all_matches.csv,CSV,2d1aee6b-dfeb-415b-9968-aba30c977e75
1934,Semi-final,Germany,3,1,Sweden,Stadio Bentegodi,Bologna,Italy,1934-06-03,nan,8bd4d703-96b1-49a0-a558-e7d665457efe,2026-07-15T20:10:40.086774,wc_all_matches.csv,CSV,2d1aee6b-dfeb-415b-9968-aba30c977e75
1934,3rd Place,Germany,3,2,Austria,Stadio Bentegodi,Naples,Italy,1934-06-07,nan,fe8c3c5e-a798-4d91-b458-583b4f47677e,2026-07-15T20:10:40.086774,wc_all_matches.csv,CSV,2d1aee6b-dfeb-415b-9968-aba30c977e75
1934,Final,Italy,2,1,Czechoslovakia,PNF Stadium,Rome,Italy,1934-06-10,AET,8dce2d99-fe65-4e5d-ae13-8faa78b56d6e,2026-07-15T20:10:40.086774,wc_all_matches.csv,CSV,2d1aee6b-dfeb-415b-9968-aba30c977e75
1938,Round of 16,Brazil,6,5,Poland,Stade de la Meinau,Strasbourg,France,1938-06-05,AET - 11 goals!,ff19eb1b-98f7-4133-9c23-9f5fb29b254e,2026-07-15T20:10:40.086774,wc_all_matches.csv,CSV,2d1aee6b-dfeb-415b-9968-aba30c977e75
1938,Round of 16,Italy,2,1,Norway,Stade de Gerland,Lyon,France,1938-06-05,AET,8d1f2ab3-2b26-445f-948f-2c3496704192,2026-07-15T20:10:40.086774,wc_all_matches.csv,CSV,2d1aee6b-dfeb-415b-9968-aba30c977e75
1938,Quarter-final,Brazil,1,1,Czechoslovakia,Stade de la Meinau,Bordeaux,France,1938-06-12,Replay,abf0a868-c84d-4517-91e2-006c7af6bef4,2026-07-15T20:10:40.086774,wc_all_matches.csv,CSV,2d1aee6b-dfeb-415b-9968-aba30c977e75
1938,Semi-final,Italy,2,1,Brazil,Stade de Colombes,Paris,France,1938-06-16,nan,6da60a19-2793-4b32-80d4-2d363032f2c6,2026-07-15T20:10:40.086774,wc_all_matches.csv,CSV,2d1aee6b-dfeb-415b-9968-aba30c977e75
1938,Semi-final,Hungary,5,1,Sweden,Stade Olympique,Paris,France,1938-06-16,nan,6beb944a-7b9e-4ee6-8611-43a42b5b4274,2026-07-15T20:10:40.086774,wc_all_matches.csv,CSV,2d1aee6b-dfeb-415b-9968-aba30c977e75
1938,3rd Place,Brazil,4,2,Sweden,Stade de Bordeaux,Bordeaux,France,1938-06-19,nan,a6b9e7b9-a613-40b2-8907-020afa2e829e,2026-07-15T20:10:40.086774,wc_all_matches.csv,CSV,2d1aee6b-dfeb-415b-9968-aba30c977e75
1938,Final,Italy,4,2,Hungary,Stade de Colombes,Paris,France,1938-06-19,nan,8fe3eeac-a5c7-4676-8fac-81943c26f93d,2026-07-15T20:10:40.086774,wc_all_matches.csv,CSV,2d1aee6b-dfeb-415b-9968-aba30c977e75
1950,Group Stage,Brazil,4,0,Mexico,Estádio do Maracanã,Rio de Janeiro,Brazil,1950-06-24,nan,597e1cfd-6dda-4edf-ab1a-5ca638f004eb,2026-07-15T20:10:40.086774,wc_all_matches.csv,CSV,2d1aee6b-dfeb-415b-9968-aba30c977e75
1950,Group Stage,England,0,1,USA,Estádio Independência,Belo Horizonte,Brazil,1950-06-29,Greatest WC upset ever,2a96cef1-9955-43c6-9756-13c20498be66,2026-07-15T20:10:40.086774,wc_all_matches.csv,CSV,2d1aee6b-dfeb-415b-9968-aba30c977e75
