year,stage,team1,score1,score2,team2,venue,city,country,date,notes,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1930,Group Stage,France,4,1,Mexico,Estadio Centenario,Montevideo,Uruguay,1930-07-13,First ever WC match,5c721f02-2a94-404e-8d1e-bbea00a79346,2026-07-15T20:07:05.280825,wc_all_matches.csv,CSV,a0c057a4-b088-4e07-b92e-24af0610a303
1930,Group Stage,USA,3,0,Belgium,Estadio Centenario,Montevideo,Uruguay,1930-07-13,nan,9ade735c-3903-46fe-8d57-2e94f65710f9,2026-07-15T20:07:05.280825,wc_all_matches.csv,CSV,a0c057a4-b088-4e07-b92e-24af0610a303
1930,Group Stage,Yugoslavia,2,1,Brazil,Estadio Centenario,Montevideo,Uruguay,1930-07-14,nan,25962196-a3dd-42e2-b0ad-b668ec63b1d2,2026-07-15T20:07:05.280825,wc_all_matches.csv,CSV,a0c057a4-b088-4e07-b92e-24af0610a303
1930,Group Stage,Uruguay,1,0,Peru,Estadio Centenario,Montevideo,Uruguay,1930-07-18,nan,c33b3450-0d37-4c1f-ace9-e0a3c0ff2ae8,2026-07-15T20:07:05.280825,wc_all_matches.csv,CSV,a0c057a4-b088-4e07-b92e-24af0610a303
1930,Group Stage,Argentina,6,3,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,669c18fc-fbbd-457f-b757-137774f6fc0e,2026-07-15T20:07:05.280825,wc_all_matches.csv,CSV,a0c057a4-b088-4e07-b92e-24af0610a303
1930,Semi-final,Uruguay,6,1,Yugoslavia,Estadio Centenario,Montevideo,Uruguay,1930-07-27,nan,24abc580-aac5-468d-8fb8-636ac3f1e58d,2026-07-15T20:07:05.280825,wc_all_matches.csv,CSV,a0c057a4-b088-4e07-b92e-24af0610a303
1930,Semi-final,Argentina,6,1,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,44087799-0d1b-4dfd-ba3c-4e70c993056c,2026-07-15T20:07:05.280825,wc_all_matches.csv,CSV,a0c057a4-b088-4e07-b92e-24af0610a303
1930,Final,Uruguay,4,2,Argentina,Estadio Centenario,Montevideo,Uruguay,1930-07-30,First WC Final,f0b7514b-82f9-41c6-b921-b9937cfbe3b6,2026-07-15T20:07:05.280825,wc_all_matches.csv,CSV,a0c057a4-b088-4e07-b92e-24af0610a303
1934,Round of 16,Italy,7,1,USA,PNF Stadium,Rome,Italy,1934-05-27,nan,5afaa28c-1cb4-41f8-952b-545a87c58337,2026-07-15T20:07:05.280825,wc_all_matches.csv,CSV,a0c057a4-b088-4e07-b92e-24af0610a303
1934,Round of 16,Germany,5,2,Belgium,PNF Stadium,Florence,Italy,1934-05-27,nan,b4032331-b9fe-458b-83d6-4adf37c9269a,2026-07-15T20:07:05.280825,wc_all_matches.csv,CSV,a0c057a4-b088-4e07-b92e-24af0610a303
1934,Quarter-final,Italy,1,1,Spain,PNF Stadium,Florence,Italy,1934-05-31,AET - replay,6e7cd5c1-6132-4888-b461-3b5c10f7b6ed,2026-07-15T20:07:05.280825,wc_all_matches.csv,CSV,a0c057a4-b088-4e07-b92e-24af0610a303
1934,Semi-final,Italy,1,0,Austria,San Siro,Milan,Italy,1934-06-03,nan,751f7166-5876-439c-a627-de7e752e4aba,2026-07-15T20:07:05.280825,wc_all_matches.csv,CSV,a0c057a4-b088-4e07-b92e-24af0610a303
1934,Semi-final,Germany,3,1,Sweden,Stadio Bentegodi,Bologna,Italy,1934-06-03,nan,2b4faa4a-e8a9-4b7b-8ed0-17536ab7cfab,2026-07-15T20:07:05.280825,wc_all_matches.csv,CSV,a0c057a4-b088-4e07-b92e-24af0610a303
1934,3rd Place,Germany,3,2,Austria,Stadio Bentegodi,Naples,Italy,1934-06-07,nan,99530a31-f976-4944-9982-311c24f284b6,2026-07-15T20:07:05.280825,wc_all_matches.csv,CSV,a0c057a4-b088-4e07-b92e-24af0610a303
1934,Final,Italy,2,1,Czechoslovakia,PNF Stadium,Rome,Italy,1934-06-10,AET,faa0e9c5-bf49-470d-ba22-6cc6bd8ce849,2026-07-15T20:07:05.280825,wc_all_matches.csv,CSV,a0c057a4-b088-4e07-b92e-24af0610a303
1938,Round of 16,Brazil,6,5,Poland,Stade de la Meinau,Strasbourg,France,1938-06-05,AET - 11 goals!,46ca6527-c6e3-476a-8c2c-0a461e7f6df6,2026-07-15T20:07:05.280825,wc_all_matches.csv,CSV,a0c057a4-b088-4e07-b92e-24af0610a303
1938,Round of 16,Italy,2,1,Norway,Stade de Gerland,Lyon,France,1938-06-05,AET,058adcec-683c-441a-b573-062f34ff9833,2026-07-15T20:07:05.280825,wc_all_matches.csv,CSV,a0c057a4-b088-4e07-b92e-24af0610a303
1938,Quarter-final,Brazil,1,1,Czechoslovakia,Stade de la Meinau,Bordeaux,France,1938-06-12,Replay,7190d659-eef8-4826-8bf1-5be7258c8482,2026-07-15T20:07:05.280825,wc_all_matches.csv,CSV,a0c057a4-b088-4e07-b92e-24af0610a303
1938,Semi-final,Italy,2,1,Brazil,Stade de Colombes,Paris,France,1938-06-16,nan,24a8b593-6ed2-4377-9b5a-92029c968d4f,2026-07-15T20:07:05.280825,wc_all_matches.csv,CSV,a0c057a4-b088-4e07-b92e-24af0610a303
1938,Semi-final,Hungary,5,1,Sweden,Stade Olympique,Paris,France,1938-06-16,nan,402885c6-cb67-4440-b438-75469a979a9d,2026-07-15T20:07:05.280825,wc_all_matches.csv,CSV,a0c057a4-b088-4e07-b92e-24af0610a303
1938,3rd Place,Brazil,4,2,Sweden,Stade de Bordeaux,Bordeaux,France,1938-06-19,nan,b020e862-cce2-4285-8c46-278faf4c50ec,2026-07-15T20:07:05.280825,wc_all_matches.csv,CSV,a0c057a4-b088-4e07-b92e-24af0610a303
1938,Final,Italy,4,2,Hungary,Stade de Colombes,Paris,France,1938-06-19,nan,768316ef-df03-4eb8-b7ab-bdddcf052ec3,2026-07-15T20:07:05.280825,wc_all_matches.csv,CSV,a0c057a4-b088-4e07-b92e-24af0610a303
