year,stage,team1,score1,score2,team2,venue,city,country,date,notes,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1930,Group Stage,France,4,1,Mexico,Estadio Centenario,Montevideo,Uruguay,1930-07-13,First ever WC match,7714fb1f-715e-41a4-9c0e-a8c405b8085c,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1930,Group Stage,USA,3,0,Belgium,Estadio Centenario,Montevideo,Uruguay,1930-07-13,nan,b92dc864-66bc-4a52-8c81-f2470ea3400b,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1930,Group Stage,Yugoslavia,2,1,Brazil,Estadio Centenario,Montevideo,Uruguay,1930-07-14,nan,238c57d9-0b30-4e37-aa7c-74e858f83dbd,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1930,Group Stage,Uruguay,1,0,Peru,Estadio Centenario,Montevideo,Uruguay,1930-07-18,nan,0aad9851-d918-4eb4-adae-0cb81222e6e3,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1930,Group Stage,Argentina,6,3,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,c7333a83-3cd0-428a-bb8e-526d101e4102,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1930,Semi-final,Uruguay,6,1,Yugoslavia,Estadio Centenario,Montevideo,Uruguay,1930-07-27,nan,494c2832-e10d-4c91-9286-16f5922709fa,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1930,Semi-final,Argentina,6,1,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,a56fb5f0-1fa2-433e-a0b5-e14770a76b86,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1930,Final,Uruguay,4,2,Argentina,Estadio Centenario,Montevideo,Uruguay,1930-07-30,First WC Final,84fb44c4-2d37-4ec5-8f8a-453453bc75a4,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1934,Round of 16,Italy,7,1,USA,PNF Stadium,Rome,Italy,1934-05-27,nan,d5bd5ec5-a078-4ca2-a214-c0dec9a9aebb,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1934,Round of 16,Germany,5,2,Belgium,PNF Stadium,Florence,Italy,1934-05-27,nan,68f55000-f100-457e-936b-cb5f32c47ae8,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1934,Quarter-final,Italy,1,1,Spain,PNF Stadium,Florence,Italy,1934-05-31,AET - replay,26672916-a68e-486f-8453-7695446e8c39,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1934,Semi-final,Italy,1,0,Austria,San Siro,Milan,Italy,1934-06-03,nan,f365eb00-fc0e-4725-8935-ebb13b85a740,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1934,Semi-final,Germany,3,1,Sweden,Stadio Bentegodi,Bologna,Italy,1934-06-03,nan,36ee55ea-7613-4400-a1b5-38f9a6b74ba7,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1934,3rd Place,Germany,3,2,Austria,Stadio Bentegodi,Naples,Italy,1934-06-07,nan,26df6a8f-fb86-4f3e-a2ad-a67f27f44709,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1934,Final,Italy,2,1,Czechoslovakia,PNF Stadium,Rome,Italy,1934-06-10,AET,82c18c58-ac00-4bec-8539-07f057f5f79f,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1938,Round of 16,Brazil,6,5,Poland,Stade de la Meinau,Strasbourg,France,1938-06-05,AET - 11 goals!,aa071d2f-c379-4768-8bf8-eb232b829053,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1938,Round of 16,Italy,2,1,Norway,Stade de Gerland,Lyon,France,1938-06-05,AET,e0ce4bc4-2696-4862-ab6a-6967a0ed0c31,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1938,Quarter-final,Brazil,1,1,Czechoslovakia,Stade de la Meinau,Bordeaux,France,1938-06-12,Replay,b2b60cf9-b152-4d75-a9e4-3b080710bfd9,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1938,Semi-final,Italy,2,1,Brazil,Stade de Colombes,Paris,France,1938-06-16,nan,e14f56ef-70dd-4b76-b66a-d92a487f5198,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1938,Semi-final,Hungary,5,1,Sweden,Stade Olympique,Paris,France,1938-06-16,nan,ba705423-56b0-4ee2-a010-2ed593f1b2f8,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1938,3rd Place,Brazil,4,2,Sweden,Stade de Bordeaux,Bordeaux,France,1938-06-19,nan,991f5479-84d2-4151-9fce-ee3c403a349c,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1938,Final,Italy,4,2,Hungary,Stade de Colombes,Paris,France,1938-06-19,nan,457478d0-3b1e-4401-9fa2-edb6b37abd51,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1950,Group Stage,Brazil,4,0,Mexico,Estádio do Maracanã,Rio de Janeiro,Brazil,1950-06-24,nan,5c4c504d-b4ac-48c2-b4c9-709ed662dc5b,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1950,Group Stage,England,0,1,USA,Estádio Independência,Belo Horizonte,Brazil,1950-06-29,Greatest WC upset ever,6d8c1113-7df2-41d4-87d9-fbd0ee141bf2,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1950,Final Round,Brazil,7,1,Sweden,Estádio do Maracanã,Rio de Janeiro,Brazil,1950-07-09,nan,696fb872-5659-4c09-8a9c-2397c8f1e652,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1950,Final Round,Uruguay,3,2,Sweden,Estádio do Maracanã,São Paulo,Brazil,1950-07-09,nan,3417c1e0-e8a1-42e0-a216-a5c183fa4b64,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1950,Final Round,Uruguay,2,1,Brazil,Estádio do Maracanã,Rio de Janeiro,Brazil,1950-07-16,Maracanazo,9b8f9c29-0e7a-418c-b8d8-89698a2d6bff,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1954,Group Stage,Hungary,9,0,South Korea,Hardturm,Zürich,Switzerland,1954-06-17,nan,1a771e3c-3578-4078-9f5d-e907d61bd6ee,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1954,Group Stage,West Germany,3,8,Hungary,Wankdorf,Bern,Switzerland,1954-06-20,nan,774d1abd-1d63-497c-88d9-8ed36b918d51,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1954,Quarter-final,Austria,7,5,Switzerland,Hardturm,Lausanne,Switzerland,1954-06-26,Highest scoring WC match ever,8c568b05-864a-4a3f-a624-65c3fa3522bb,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1954,Semi-final,West Germany,6,1,Austria,Wankdorf,Basel,Switzerland,1954-06-30,nan,cb356821-087b-4e63-b65c-8a44a5bdfb37,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1954,Semi-final,Hungary,4,2,Uruguay,Stade Olympique,Lausanne,Switzerland,1954-06-30,nan,975b6b12-eddc-4041-982e-97454cb99ab9,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1954,3rd Place,Austria,3,1,Uruguay,Hardturm,Zürich,Switzerland,1954-07-03,nan,6bcef6f2-fa48-411d-a41d-16f3649c9b7a,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1954,Final,West Germany,3,2,Hungary,Wankdorf,Bern,Switzerland,1954-07-04,Miracle of Bern,a4fd4e24-0ceb-4cad-8cd1-40a23d92dc33,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1958,Group Stage,Brazil,3,0,Austria,Ryavallen,Borås,Sweden,1958-06-08,nan,91f64fee-69b6-466d-90a7-0b0868133b9a,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1958,Group Stage,France,7,3,Paraguay,Idrottsparken,Norrköping,Sweden,1958-06-08,Fontaine hat-trick,24153695-ec69-408b-ae96-6f0b05330651,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
1958,Quarter-final,France,4,0,Northern Ireland,Ullevi,Gothenburg,Sweden,1958-06-19,nan,87394d66-03ee-4624-9a90-30ef6ba83ff2,2026-07-15T20:14:47.883855,wc_all_matches.csv,CSV,b97edeeb-cc73-4418-bed7-e4f144505a5b
