year,stage,team1,score1,score2,team2,venue,city,country,date,notes,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1930,Group Stage,France,4,1,Mexico,Estadio Centenario,Montevideo,Uruguay,1930-07-13,First ever WC match,9c8e06ff-cfc6-4a99-85b5-7fbdb4be8a5e,2026-07-16T12:03:58.029324,wc_all_matches.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
1930,Group Stage,USA,3,0,Belgium,Estadio Centenario,Montevideo,Uruguay,1930-07-13,nan,4cb4c930-22a4-47d2-a29d-c8161e53c69a,2026-07-16T12:03:58.029324,wc_all_matches.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
1930,Group Stage,Yugoslavia,2,1,Brazil,Estadio Centenario,Montevideo,Uruguay,1930-07-14,nan,47985e5c-3c65-4e5d-873f-b3ac713787fd,2026-07-16T12:03:58.029324,wc_all_matches.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
1930,Group Stage,Uruguay,1,0,Peru,Estadio Centenario,Montevideo,Uruguay,1930-07-18,nan,eca7bb5b-177f-4e51-a837-681220ab0e7c,2026-07-16T12:03:58.029324,wc_all_matches.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
1930,Group Stage,Argentina,6,3,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,fd4a0c4f-783c-4332-a1be-7bbce6d8068c,2026-07-16T12:03:58.029324,wc_all_matches.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
1930,Semi-final,Uruguay,6,1,Yugoslavia,Estadio Centenario,Montevideo,Uruguay,1930-07-27,nan,c549fab1-9422-4915-87e9-c652f14d8f8e,2026-07-16T12:03:58.029324,wc_all_matches.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
1930,Semi-final,Argentina,6,1,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,96945e55-2158-412b-91f3-45a192475869,2026-07-16T12:03:58.029324,wc_all_matches.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
1930,Final,Uruguay,4,2,Argentina,Estadio Centenario,Montevideo,Uruguay,1930-07-30,First WC Final,c538d3e9-0a44-40af-9d9b-b9505bcc1155,2026-07-16T12:03:58.029324,wc_all_matches.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
1934,Round of 16,Italy,7,1,USA,PNF Stadium,Rome,Italy,1934-05-27,nan,7454c7ba-853e-4441-9ef3-9e53febe6b58,2026-07-16T12:03:58.029324,wc_all_matches.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
1934,Round of 16,Germany,5,2,Belgium,PNF Stadium,Florence,Italy,1934-05-27,nan,af2c16c4-dc90-46b4-8c91-1cc68a60c569,2026-07-16T12:03:58.029324,wc_all_matches.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
1934,Quarter-final,Italy,1,1,Spain,PNF Stadium,Florence,Italy,1934-05-31,AET - replay,c057a901-159f-4a6a-b44c-484778b6f3bc,2026-07-16T12:03:58.029324,wc_all_matches.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
1934,Semi-final,Italy,1,0,Austria,San Siro,Milan,Italy,1934-06-03,nan,a150721f-92b1-4732-b646-d311f0383cf4,2026-07-16T12:03:58.029324,wc_all_matches.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
1934,Semi-final,Germany,3,1,Sweden,Stadio Bentegodi,Bologna,Italy,1934-06-03,nan,8c533b2f-dec9-4507-96cc-ec1a456e3a1d,2026-07-16T12:03:58.029324,wc_all_matches.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
1934,3rd Place,Germany,3,2,Austria,Stadio Bentegodi,Naples,Italy,1934-06-07,nan,55a2c995-fb4b-43d2-be91-587fb5757975,2026-07-16T12:03:58.029324,wc_all_matches.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
1934,Final,Italy,2,1,Czechoslovakia,PNF Stadium,Rome,Italy,1934-06-10,AET,d531a716-c3a8-44f1-ad19-1415686857af,2026-07-16T12:03:58.029324,wc_all_matches.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
1938,Round of 16,Brazil,6,5,Poland,Stade de la Meinau,Strasbourg,France,1938-06-05,AET - 11 goals!,c3f067ad-faa0-49a7-b5f2-ee1bedec6c91,2026-07-16T12:03:58.029324,wc_all_matches.csv,CSV,5da7bfee-8ea8-4657-bec3-981f66c30d55
