year,stage,team1,score1,score2,team2,venue,city,country,date,notes,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1930,Group Stage,France,4,1,Mexico,Estadio Centenario,Montevideo,Uruguay,1930-07-13,First ever WC match,c3067998-f1d5-4c5a-b728-5e60fecf5ea5,2026-07-16T12:05:21.638528,wc_all_matches.csv,CSV,62695da6-0afe-45a5-bf99-759e008fc2a3
1930,Group Stage,USA,3,0,Belgium,Estadio Centenario,Montevideo,Uruguay,1930-07-13,nan,94bb323f-4e5d-4b71-9907-53b9dd0b54f2,2026-07-16T12:05:21.638528,wc_all_matches.csv,CSV,62695da6-0afe-45a5-bf99-759e008fc2a3
1930,Group Stage,Yugoslavia,2,1,Brazil,Estadio Centenario,Montevideo,Uruguay,1930-07-14,nan,89c1d308-9622-4f15-a95b-fd1d22964e65,2026-07-16T12:05:21.638528,wc_all_matches.csv,CSV,62695da6-0afe-45a5-bf99-759e008fc2a3
1930,Group Stage,Uruguay,1,0,Peru,Estadio Centenario,Montevideo,Uruguay,1930-07-18,nan,9d2b62e7-b7e5-4f58-b715-d517d75f322e,2026-07-16T12:05:21.638528,wc_all_matches.csv,CSV,62695da6-0afe-45a5-bf99-759e008fc2a3
1930,Group Stage,Argentina,6,3,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,5bb9f2d9-63e3-4bf9-b8e0-d3fb36422eb2,2026-07-16T12:05:21.638528,wc_all_matches.csv,CSV,62695da6-0afe-45a5-bf99-759e008fc2a3
1930,Semi-final,Uruguay,6,1,Yugoslavia,Estadio Centenario,Montevideo,Uruguay,1930-07-27,nan,eb72db66-24b9-4fe8-9bbd-d8e0bce4fe67,2026-07-16T12:05:21.638528,wc_all_matches.csv,CSV,62695da6-0afe-45a5-bf99-759e008fc2a3
1930,Semi-final,Argentina,6,1,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,17deb685-5e8d-4cc1-bc3e-6e396a4979a9,2026-07-16T12:05:21.638528,wc_all_matches.csv,CSV,62695da6-0afe-45a5-bf99-759e008fc2a3
1930,Final,Uruguay,4,2,Argentina,Estadio Centenario,Montevideo,Uruguay,1930-07-30,First WC Final,99abef3d-e555-447f-a07a-76dc194c1e7f,2026-07-16T12:05:21.638528,wc_all_matches.csv,CSV,62695da6-0afe-45a5-bf99-759e008fc2a3
1934,Round of 16,Italy,7,1,USA,PNF Stadium,Rome,Italy,1934-05-27,nan,54e8b53b-95f4-41c6-b5e6-3bc07b5e9069,2026-07-16T12:05:21.638528,wc_all_matches.csv,CSV,62695da6-0afe-45a5-bf99-759e008fc2a3
1934,Round of 16,Germany,5,2,Belgium,PNF Stadium,Florence,Italy,1934-05-27,nan,ec786744-5d73-41ee-9add-43e899027a60,2026-07-16T12:05:21.638528,wc_all_matches.csv,CSV,62695da6-0afe-45a5-bf99-759e008fc2a3
