year,stage,team1,score1,score2,team2,venue,city,country,date,notes,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1930,Group Stage,France,4,1,Mexico,Estadio Centenario,Montevideo,Uruguay,1930-07-13,First ever WC match,9aadad56-60da-41ac-9560-71c1b606f8f3,2026-07-18T10:35:46.648058,wc_all_matches.csv,CSV,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
1930,Group Stage,USA,3,0,Belgium,Estadio Centenario,Montevideo,Uruguay,1930-07-13,nan,e8d56075-7b3d-435c-9a19-79c2c206f36a,2026-07-18T10:35:46.648058,wc_all_matches.csv,CSV,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
1930,Group Stage,Yugoslavia,2,1,Brazil,Estadio Centenario,Montevideo,Uruguay,1930-07-14,nan,5a6916d5-dfd4-48a3-ab3d-c50d54e24259,2026-07-18T10:35:46.648058,wc_all_matches.csv,CSV,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
1930,Group Stage,Uruguay,1,0,Peru,Estadio Centenario,Montevideo,Uruguay,1930-07-18,nan,d1c97d13-6d3b-473a-9dcd-d25312b2ef61,2026-07-18T10:35:46.648058,wc_all_matches.csv,CSV,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
1930,Group Stage,Argentina,6,3,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,ad9294e4-e94d-4dfd-9ec8-b05e078b7520,2026-07-18T10:35:46.648058,wc_all_matches.csv,CSV,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
1930,Semi-final,Uruguay,6,1,Yugoslavia,Estadio Centenario,Montevideo,Uruguay,1930-07-27,nan,305341ad-7ad4-45b1-bff0-0f9f1a3f0738,2026-07-18T10:35:46.648058,wc_all_matches.csv,CSV,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
1930,Semi-final,Argentina,6,1,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,2a530eca-1a38-48bb-b6f5-b0c7e9e1f582,2026-07-18T10:35:46.648058,wc_all_matches.csv,CSV,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
1930,Final,Uruguay,4,2,Argentina,Estadio Centenario,Montevideo,Uruguay,1930-07-30,First WC Final,5f5899be-2df1-49d1-87a9-eb5b8bb12458,2026-07-18T10:35:46.648058,wc_all_matches.csv,CSV,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
1934,Round of 16,Italy,7,1,USA,PNF Stadium,Rome,Italy,1934-05-27,nan,33ed1a0e-c8cc-445e-96cd-a401cc09ab20,2026-07-18T10:35:46.648058,wc_all_matches.csv,CSV,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
1934,Round of 16,Germany,5,2,Belgium,PNF Stadium,Florence,Italy,1934-05-27,nan,652cc766-c705-4f69-9282-0132bcdf0cc6,2026-07-18T10:35:46.648058,wc_all_matches.csv,CSV,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
1934,Quarter-final,Italy,1,1,Spain,PNF Stadium,Florence,Italy,1934-05-31,AET - replay,99656d33-5370-43ee-883d-c7d2b470e744,2026-07-18T10:35:46.648058,wc_all_matches.csv,CSV,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
