year,stage,team1,score1,score2,team2,venue,city,country,date,notes,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1930,Group Stage,France,4,1,Mexico,Estadio Centenario,Montevideo,Uruguay,1930-07-13,First ever WC match,cdc57538-7aec-4ef6-805a-6ed26ce65774,2026-07-18T10:34:10.878029,wc_all_matches.csv,CSV,8a8f68d0-e75c-49df-b397-b290425459a3
1930,Group Stage,USA,3,0,Belgium,Estadio Centenario,Montevideo,Uruguay,1930-07-13,nan,b5a80988-9d5a-4887-b669-9a268db8efbe,2026-07-18T10:34:10.878029,wc_all_matches.csv,CSV,8a8f68d0-e75c-49df-b397-b290425459a3
1930,Group Stage,Yugoslavia,2,1,Brazil,Estadio Centenario,Montevideo,Uruguay,1930-07-14,nan,2a88bb07-50dd-499d-b57b-a85e124cf59b,2026-07-18T10:34:10.878029,wc_all_matches.csv,CSV,8a8f68d0-e75c-49df-b397-b290425459a3
1930,Group Stage,Uruguay,1,0,Peru,Estadio Centenario,Montevideo,Uruguay,1930-07-18,nan,e6a62d5f-6e22-4f8a-ad9d-d4bf46fbe811,2026-07-18T10:34:10.878029,wc_all_matches.csv,CSV,8a8f68d0-e75c-49df-b397-b290425459a3
1930,Group Stage,Argentina,6,3,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,a1e0cece-7d04-45d3-8478-e13f51c54631,2026-07-18T10:34:10.878029,wc_all_matches.csv,CSV,8a8f68d0-e75c-49df-b397-b290425459a3
1930,Semi-final,Uruguay,6,1,Yugoslavia,Estadio Centenario,Montevideo,Uruguay,1930-07-27,nan,8a9a32c0-1452-4758-be4b-19f41994d2c2,2026-07-18T10:34:10.878029,wc_all_matches.csv,CSV,8a8f68d0-e75c-49df-b397-b290425459a3
1930,Semi-final,Argentina,6,1,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,5a1cdc5e-da7c-4af4-b3eb-2d3715da7039,2026-07-18T10:34:10.878029,wc_all_matches.csv,CSV,8a8f68d0-e75c-49df-b397-b290425459a3
1930,Final,Uruguay,4,2,Argentina,Estadio Centenario,Montevideo,Uruguay,1930-07-30,First WC Final,788d4733-72bb-4ffd-9573-b9f4cd441c49,2026-07-18T10:34:10.878029,wc_all_matches.csv,CSV,8a8f68d0-e75c-49df-b397-b290425459a3
1934,Round of 16,Italy,7,1,USA,PNF Stadium,Rome,Italy,1934-05-27,nan,01d4358d-7272-405b-a6ee-20e51e3c60aa,2026-07-18T10:34:10.878029,wc_all_matches.csv,CSV,8a8f68d0-e75c-49df-b397-b290425459a3
1934,Round of 16,Germany,5,2,Belgium,PNF Stadium,Florence,Italy,1934-05-27,nan,27573d0e-6106-4df0-9ab1-4ef3fa84c8f5,2026-07-18T10:34:10.878029,wc_all_matches.csv,CSV,8a8f68d0-e75c-49df-b397-b290425459a3
1934,Quarter-final,Italy,1,1,Spain,PNF Stadium,Florence,Italy,1934-05-31,AET - replay,c4c87a17-91e3-49b5-91a1-1793af86fd77,2026-07-18T10:34:10.878029,wc_all_matches.csv,CSV,8a8f68d0-e75c-49df-b397-b290425459a3
1934,Semi-final,Italy,1,0,Austria,San Siro,Milan,Italy,1934-06-03,nan,45fe722e-8beb-49b4-8aec-f20c846315fd,2026-07-18T10:34:10.878029,wc_all_matches.csv,CSV,8a8f68d0-e75c-49df-b397-b290425459a3
1934,Semi-final,Germany,3,1,Sweden,Stadio Bentegodi,Bologna,Italy,1934-06-03,nan,e1ef8a15-d6e9-4238-a017-b2966cab7062,2026-07-18T10:34:10.878029,wc_all_matches.csv,CSV,8a8f68d0-e75c-49df-b397-b290425459a3
1934,3rd Place,Germany,3,2,Austria,Stadio Bentegodi,Naples,Italy,1934-06-07,nan,c13e08ff-3836-4af5-bfe8-f738ce6415c5,2026-07-18T10:34:10.878029,wc_all_matches.csv,CSV,8a8f68d0-e75c-49df-b397-b290425459a3
1934,Final,Italy,2,1,Czechoslovakia,PNF Stadium,Rome,Italy,1934-06-10,AET,962feb83-f992-4933-9ab0-37b3499de12a,2026-07-18T10:34:10.878029,wc_all_matches.csv,CSV,8a8f68d0-e75c-49df-b397-b290425459a3
1938,Round of 16,Brazil,6,5,Poland,Stade de la Meinau,Strasbourg,France,1938-06-05,AET - 11 goals!,03dbaf6c-0f28-4729-8a72-e6fc9e60a57f,2026-07-18T10:34:10.878029,wc_all_matches.csv,CSV,8a8f68d0-e75c-49df-b397-b290425459a3
1938,Round of 16,Italy,2,1,Norway,Stade de Gerland,Lyon,France,1938-06-05,AET,4b9be0df-73fc-4807-91c3-9e79460eb8e6,2026-07-18T10:34:10.878029,wc_all_matches.csv,CSV,8a8f68d0-e75c-49df-b397-b290425459a3
1938,Quarter-final,Brazil,1,1,Czechoslovakia,Stade de la Meinau,Bordeaux,France,1938-06-12,Replay,a38f7c73-284b-4838-8b73-2b003202681f,2026-07-18T10:34:10.878029,wc_all_matches.csv,CSV,8a8f68d0-e75c-49df-b397-b290425459a3
