year,stage,team1,score1,score2,team2,venue,city,country,date,notes,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1930,Group Stage,France,4,1,Mexico,Estadio Centenario,Montevideo,Uruguay,1930-07-13,First ever WC match,ab1dce1d-db58-4d06-aeef-fbf9ff5c9773,2026-07-18T11:00:28.423023,wc_all_matches.csv,CSV,d718908e-5365-4276-87bb-adf3cf5aa870
1930,Group Stage,USA,3,0,Belgium,Estadio Centenario,Montevideo,Uruguay,1930-07-13,nan,8cfbab66-40f9-411b-9877-b3d0602329a3,2026-07-18T11:00:28.423023,wc_all_matches.csv,CSV,d718908e-5365-4276-87bb-adf3cf5aa870
1930,Group Stage,Yugoslavia,2,1,Brazil,Estadio Centenario,Montevideo,Uruguay,1930-07-14,nan,6a06c5c6-2f5b-4fff-b9ab-4e7dd2616ce7,2026-07-18T11:00:28.423023,wc_all_matches.csv,CSV,d718908e-5365-4276-87bb-adf3cf5aa870
1930,Group Stage,Uruguay,1,0,Peru,Estadio Centenario,Montevideo,Uruguay,1930-07-18,nan,0c93a006-1903-4d02-bfd2-7a2f68cb079b,2026-07-18T11:00:28.423023,wc_all_matches.csv,CSV,d718908e-5365-4276-87bb-adf3cf5aa870
1930,Group Stage,Argentina,6,3,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,16596f0a-e3ad-4a38-873f-339af7c8dea3,2026-07-18T11:00:28.423023,wc_all_matches.csv,CSV,d718908e-5365-4276-87bb-adf3cf5aa870
1930,Semi-final,Uruguay,6,1,Yugoslavia,Estadio Centenario,Montevideo,Uruguay,1930-07-27,nan,b4f9b21a-8a68-48d9-8b6c-e8f74af6d66c,2026-07-18T11:00:28.423023,wc_all_matches.csv,CSV,d718908e-5365-4276-87bb-adf3cf5aa870
1930,Semi-final,Argentina,6,1,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,975cd1b2-e2d6-40e1-9b64-b80a7e925f6c,2026-07-18T11:00:28.423023,wc_all_matches.csv,CSV,d718908e-5365-4276-87bb-adf3cf5aa870
1930,Final,Uruguay,4,2,Argentina,Estadio Centenario,Montevideo,Uruguay,1930-07-30,First WC Final,123fa36d-c416-4937-8f0c-d4638c193837,2026-07-18T11:00:28.423023,wc_all_matches.csv,CSV,d718908e-5365-4276-87bb-adf3cf5aa870
1934,Round of 16,Italy,7,1,USA,PNF Stadium,Rome,Italy,1934-05-27,nan,b7a12c2d-4b48-485b-aa81-128c01dca78f,2026-07-18T11:00:28.423023,wc_all_matches.csv,CSV,d718908e-5365-4276-87bb-adf3cf5aa870
1934,Round of 16,Germany,5,2,Belgium,PNF Stadium,Florence,Italy,1934-05-27,nan,f3378869-9856-4472-ba5a-494386f3c966,2026-07-18T11:00:28.423023,wc_all_matches.csv,CSV,d718908e-5365-4276-87bb-adf3cf5aa870
1934,Quarter-final,Italy,1,1,Spain,PNF Stadium,Florence,Italy,1934-05-31,AET - replay,c66e42c5-a1d1-420c-bd96-51fde3f23524,2026-07-18T11:00:28.423023,wc_all_matches.csv,CSV,d718908e-5365-4276-87bb-adf3cf5aa870
1934,Semi-final,Italy,1,0,Austria,San Siro,Milan,Italy,1934-06-03,nan,e98bb566-c62a-43c9-a5f0-72d12a6dc8fe,2026-07-18T11:00:28.423023,wc_all_matches.csv,CSV,d718908e-5365-4276-87bb-adf3cf5aa870
1934,Semi-final,Germany,3,1,Sweden,Stadio Bentegodi,Bologna,Italy,1934-06-03,nan,b490e511-923b-424a-8aad-16e31d52702c,2026-07-18T11:00:28.423023,wc_all_matches.csv,CSV,d718908e-5365-4276-87bb-adf3cf5aa870
1934,3rd Place,Germany,3,2,Austria,Stadio Bentegodi,Naples,Italy,1934-06-07,nan,6daa16b0-45d7-4b7d-9473-41638f1f2427,2026-07-18T11:00:28.423023,wc_all_matches.csv,CSV,d718908e-5365-4276-87bb-adf3cf5aa870
