year,stage,team1,score1,score2,team2,venue,city,country,date,notes,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1930,Group Stage,France,4,1,Mexico,Estadio Centenario,Montevideo,Uruguay,1930-07-13,First ever WC match,4c25eb78-a8fd-4f37-b4f2-67b4eec2f5ae,2026-07-18T10:55:44.718144,wc_all_matches.csv,CSV,f4baacd1-078b-4952-a47b-082060e69a66
1930,Group Stage,USA,3,0,Belgium,Estadio Centenario,Montevideo,Uruguay,1930-07-13,nan,95ad4b58-21ef-4138-a3cc-587e8ee9cde6,2026-07-18T10:55:44.718144,wc_all_matches.csv,CSV,f4baacd1-078b-4952-a47b-082060e69a66
1930,Group Stage,Yugoslavia,2,1,Brazil,Estadio Centenario,Montevideo,Uruguay,1930-07-14,nan,74d857e5-1fde-420a-8ed7-2f5bd9103dc1,2026-07-18T10:55:44.718144,wc_all_matches.csv,CSV,f4baacd1-078b-4952-a47b-082060e69a66
1930,Group Stage,Uruguay,1,0,Peru,Estadio Centenario,Montevideo,Uruguay,1930-07-18,nan,fbcdba06-c18d-4642-96d9-a0d6495ac59f,2026-07-18T10:55:44.718144,wc_all_matches.csv,CSV,f4baacd1-078b-4952-a47b-082060e69a66
1930,Group Stage,Argentina,6,3,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,0387f17e-0c0a-4c25-9c81-09ce0997a94d,2026-07-18T10:55:44.718144,wc_all_matches.csv,CSV,f4baacd1-078b-4952-a47b-082060e69a66
1930,Semi-final,Uruguay,6,1,Yugoslavia,Estadio Centenario,Montevideo,Uruguay,1930-07-27,nan,5fa73f8e-f409-4fb6-8981-f94767aaea70,2026-07-18T10:55:44.718144,wc_all_matches.csv,CSV,f4baacd1-078b-4952-a47b-082060e69a66
1930,Semi-final,Argentina,6,1,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,88f80d95-c4cd-4ad0-9993-702df5e97482,2026-07-18T10:55:44.718144,wc_all_matches.csv,CSV,f4baacd1-078b-4952-a47b-082060e69a66
1930,Final,Uruguay,4,2,Argentina,Estadio Centenario,Montevideo,Uruguay,1930-07-30,First WC Final,b09d7fdd-cbb3-4bc0-9687-35e4d02af2f5,2026-07-18T10:55:44.718144,wc_all_matches.csv,CSV,f4baacd1-078b-4952-a47b-082060e69a66
1934,Round of 16,Italy,7,1,USA,PNF Stadium,Rome,Italy,1934-05-27,nan,ceda55ca-0818-45fb-b92a-917bf7843083,2026-07-18T10:55:44.718144,wc_all_matches.csv,CSV,f4baacd1-078b-4952-a47b-082060e69a66
1934,Round of 16,Germany,5,2,Belgium,PNF Stadium,Florence,Italy,1934-05-27,nan,c5eb76af-f8d7-42bf-923f-6be0c9be2b71,2026-07-18T10:55:44.718144,wc_all_matches.csv,CSV,f4baacd1-078b-4952-a47b-082060e69a66
