year,stage,team1,score1,score2,team2,venue,city,country,date,notes,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1930,Group Stage,France,4,1,Mexico,Estadio Centenario,Montevideo,Uruguay,1930-07-13,First ever WC match,7556d87c-f321-488d-b249-a42cdafe6d63,2026-07-21T14:40:52.144440,wc_all_matches.csv,CSV,28b06e72-2989-4cb8-aeb1-1b9b1708057b
1930,Group Stage,USA,3,0,Belgium,Estadio Centenario,Montevideo,Uruguay,1930-07-13,nan,65482155-98a5-401d-befc-7153bc199514,2026-07-21T14:40:52.144440,wc_all_matches.csv,CSV,28b06e72-2989-4cb8-aeb1-1b9b1708057b
1930,Group Stage,Yugoslavia,2,1,Brazil,Estadio Centenario,Montevideo,Uruguay,1930-07-14,nan,c42e58e6-cb22-4d6c-9447-a3d13f4e82f7,2026-07-21T14:40:52.144440,wc_all_matches.csv,CSV,28b06e72-2989-4cb8-aeb1-1b9b1708057b
1930,Group Stage,Uruguay,1,0,Peru,Estadio Centenario,Montevideo,Uruguay,1930-07-18,nan,ac3cd581-c54f-4fa8-91d2-f54d068580b9,2026-07-21T14:40:52.144440,wc_all_matches.csv,CSV,28b06e72-2989-4cb8-aeb1-1b9b1708057b
1930,Group Stage,Argentina,6,3,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,9c4b0a32-7a4a-4c3a-8b98-7bc86d8b6936,2026-07-21T14:40:52.144440,wc_all_matches.csv,CSV,28b06e72-2989-4cb8-aeb1-1b9b1708057b
1930,Semi-final,Uruguay,6,1,Yugoslavia,Estadio Centenario,Montevideo,Uruguay,1930-07-27,nan,216fa350-8ac9-4539-8726-6f2b59ca658a,2026-07-21T14:40:52.144440,wc_all_matches.csv,CSV,28b06e72-2989-4cb8-aeb1-1b9b1708057b
1930,Semi-final,Argentina,6,1,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,031dc4fb-27bf-4257-b2d2-dd8ebd0d3085,2026-07-21T14:40:52.144440,wc_all_matches.csv,CSV,28b06e72-2989-4cb8-aeb1-1b9b1708057b
1930,Final,Uruguay,4,2,Argentina,Estadio Centenario,Montevideo,Uruguay,1930-07-30,First WC Final,3f0ec14d-0f22-49cb-80d9-7346944beb13,2026-07-21T14:40:52.144440,wc_all_matches.csv,CSV,28b06e72-2989-4cb8-aeb1-1b9b1708057b
1934,Round of 16,Italy,7,1,USA,PNF Stadium,Rome,Italy,1934-05-27,nan,b827fefe-0291-47f9-81d8-ff59196eb7a1,2026-07-21T14:40:52.144440,wc_all_matches.csv,CSV,28b06e72-2989-4cb8-aeb1-1b9b1708057b
1934,Round of 16,Germany,5,2,Belgium,PNF Stadium,Florence,Italy,1934-05-27,nan,31e35c9a-83dc-43b7-b226-4421901a0e21,2026-07-21T14:40:52.144440,wc_all_matches.csv,CSV,28b06e72-2989-4cb8-aeb1-1b9b1708057b
1934,Quarter-final,Italy,1,1,Spain,PNF Stadium,Florence,Italy,1934-05-31,AET - replay,c8220ea8-368b-401c-9502-f53156e75501,2026-07-21T14:40:52.144440,wc_all_matches.csv,CSV,28b06e72-2989-4cb8-aeb1-1b9b1708057b
1934,Semi-final,Italy,1,0,Austria,San Siro,Milan,Italy,1934-06-03,nan,5bf663d4-8286-4b8b-b924-514fa5af423e,2026-07-21T14:40:52.144440,wc_all_matches.csv,CSV,28b06e72-2989-4cb8-aeb1-1b9b1708057b
