year,stage,team1,score1,score2,team2,venue,city,country,date,notes,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1930,Group Stage,France,4,1,Mexico,Estadio Centenario,Montevideo,Uruguay,1930-07-13,First ever WC match,c1c44c3c-a3ce-4052-8c26-6d1ca06cba2a,2026-07-21T14:38:48.423280,wc_all_matches.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
1930,Group Stage,USA,3,0,Belgium,Estadio Centenario,Montevideo,Uruguay,1930-07-13,nan,55b8717d-ce5e-4518-b7e4-8c7837f8985b,2026-07-21T14:38:48.423280,wc_all_matches.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
1930,Group Stage,Yugoslavia,2,1,Brazil,Estadio Centenario,Montevideo,Uruguay,1930-07-14,nan,cf801174-960c-4606-8ae2-a459ed014cce,2026-07-21T14:38:48.423280,wc_all_matches.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
1930,Group Stage,Uruguay,1,0,Peru,Estadio Centenario,Montevideo,Uruguay,1930-07-18,nan,e4bba7a6-6926-4fe1-838f-d108a65eefbc,2026-07-21T14:38:48.423280,wc_all_matches.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
1930,Group Stage,Argentina,6,3,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,26b32b1a-06d1-4440-8a91-c2c8a5032f5c,2026-07-21T14:38:48.423280,wc_all_matches.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
1930,Semi-final,Uruguay,6,1,Yugoslavia,Estadio Centenario,Montevideo,Uruguay,1930-07-27,nan,f74acdbe-d788-493d-b115-541821d63f7b,2026-07-21T14:38:48.423280,wc_all_matches.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
1930,Semi-final,Argentina,6,1,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,d69b1580-4da4-450f-9f9d-ed5b49c0db1a,2026-07-21T14:38:48.423280,wc_all_matches.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
1930,Final,Uruguay,4,2,Argentina,Estadio Centenario,Montevideo,Uruguay,1930-07-30,First WC Final,4bf6a2dc-fc20-41e4-908b-ad8f79bb785f,2026-07-21T14:38:48.423280,wc_all_matches.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
1934,Round of 16,Italy,7,1,USA,PNF Stadium,Rome,Italy,1934-05-27,nan,4afd5bbe-4e74-4096-a1f2-843ea50c84b9,2026-07-21T14:38:48.423280,wc_all_matches.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
1934,Round of 16,Germany,5,2,Belgium,PNF Stadium,Florence,Italy,1934-05-27,nan,c128b600-81db-433d-8a14-c8dced2a4d32,2026-07-21T14:38:48.423280,wc_all_matches.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
1934,Quarter-final,Italy,1,1,Spain,PNF Stadium,Florence,Italy,1934-05-31,AET - replay,42d4edad-f5f3-4757-83a0-e0032dff4a39,2026-07-21T14:38:48.423280,wc_all_matches.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
1934,Semi-final,Italy,1,0,Austria,San Siro,Milan,Italy,1934-06-03,nan,2db2a92a-1614-4fbc-9f78-bcb08bd5ff6c,2026-07-21T14:38:48.423280,wc_all_matches.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
1934,Semi-final,Germany,3,1,Sweden,Stadio Bentegodi,Bologna,Italy,1934-06-03,nan,baeabf4b-9707-44bf-b011-f3c308be8635,2026-07-21T14:38:48.423280,wc_all_matches.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
1934,3rd Place,Germany,3,2,Austria,Stadio Bentegodi,Naples,Italy,1934-06-07,nan,f093eb63-db1d-41c1-a222-30e1bc9265b9,2026-07-21T14:38:48.423280,wc_all_matches.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
1934,Final,Italy,2,1,Czechoslovakia,PNF Stadium,Rome,Italy,1934-06-10,AET,592376ea-d420-4c71-aa0f-78fcf97719f1,2026-07-21T14:38:48.423280,wc_all_matches.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
1938,Round of 16,Brazil,6,5,Poland,Stade de la Meinau,Strasbourg,France,1938-06-05,AET - 11 goals!,550e5754-c7a7-4edc-a9af-497550c546f6,2026-07-21T14:38:48.423280,wc_all_matches.csv,CSV,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
