year,stage,team1,score1,score2,team2,venue,city,country,date,notes,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1930,Group Stage,France,4,1,Mexico,Estadio Centenario,Montevideo,Uruguay,1930-07-13,First ever WC match,10bf9efb-abec-4710-88dc-209cbe92ed1a,2026-07-26T12:10:06.423964,wc_all_matches.csv,CSV,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
1930,Group Stage,USA,3,0,Belgium,Estadio Centenario,Montevideo,Uruguay,1930-07-13,nan,b8fe78c9-b572-427b-b630-0fc8188f87bb,2026-07-26T12:10:06.423964,wc_all_matches.csv,CSV,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
1930,Group Stage,Yugoslavia,2,1,Brazil,Estadio Centenario,Montevideo,Uruguay,1930-07-14,nan,71db1646-3bfb-48ca-b99a-09a6c3a2c786,2026-07-26T12:10:06.423964,wc_all_matches.csv,CSV,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
1930,Group Stage,Uruguay,1,0,Peru,Estadio Centenario,Montevideo,Uruguay,1930-07-18,nan,7e708bec-6137-4296-8729-bdc5e283ab6e,2026-07-26T12:10:06.423964,wc_all_matches.csv,CSV,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
1930,Group Stage,Argentina,6,3,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,e8a97329-0577-4b1a-85d3-7d8310d0ca60,2026-07-26T12:10:06.423964,wc_all_matches.csv,CSV,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
1930,Semi-final,Uruguay,6,1,Yugoslavia,Estadio Centenario,Montevideo,Uruguay,1930-07-27,nan,2a7e4383-7954-4ed3-8f8d-e10a9e691db6,2026-07-26T12:10:06.423964,wc_all_matches.csv,CSV,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
1930,Semi-final,Argentina,6,1,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,449a8f2b-49e4-4526-94e9-b1ecc952c7cb,2026-07-26T12:10:06.423964,wc_all_matches.csv,CSV,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
1930,Final,Uruguay,4,2,Argentina,Estadio Centenario,Montevideo,Uruguay,1930-07-30,First WC Final,7a3f404d-c7cd-48fa-88a0-bcef639617f1,2026-07-26T12:10:06.423964,wc_all_matches.csv,CSV,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
1934,Round of 16,Italy,7,1,USA,PNF Stadium,Rome,Italy,1934-05-27,nan,c8dc51ac-fefa-4a68-bbc0-9a6376f8a69f,2026-07-26T12:10:06.423964,wc_all_matches.csv,CSV,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
1934,Round of 16,Germany,5,2,Belgium,PNF Stadium,Florence,Italy,1934-05-27,nan,ebdaa99a-bf65-429a-9af6-db1f30eeb378,2026-07-26T12:10:06.423964,wc_all_matches.csv,CSV,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
1934,Quarter-final,Italy,1,1,Spain,PNF Stadium,Florence,Italy,1934-05-31,AET - replay,63eb00c0-fa79-40c9-a0af-518f6a835d61,2026-07-26T12:10:06.423964,wc_all_matches.csv,CSV,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
1934,Semi-final,Italy,1,0,Austria,San Siro,Milan,Italy,1934-06-03,nan,e44223c2-4722-4d42-80b6-f2341114c644,2026-07-26T12:10:06.423964,wc_all_matches.csv,CSV,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
1934,Semi-final,Germany,3,1,Sweden,Stadio Bentegodi,Bologna,Italy,1934-06-03,nan,dd79b23d-fb8c-4a48-b2a6-e3faf241f093,2026-07-26T12:10:06.423964,wc_all_matches.csv,CSV,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
1934,3rd Place,Germany,3,2,Austria,Stadio Bentegodi,Naples,Italy,1934-06-07,nan,602d3662-3b01-4cd5-bb6e-2a2ce66d67c9,2026-07-26T12:10:06.423964,wc_all_matches.csv,CSV,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
1934,Final,Italy,2,1,Czechoslovakia,PNF Stadium,Rome,Italy,1934-06-10,AET,5f7e117f-1a16-40dc-a50f-586205e58c12,2026-07-26T12:10:06.423964,wc_all_matches.csv,CSV,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
1938,Round of 16,Brazil,6,5,Poland,Stade de la Meinau,Strasbourg,France,1938-06-05,AET - 11 goals!,d2d650d2-d2c6-4fc4-b884-11f7261a5ea6,2026-07-26T12:10:06.423964,wc_all_matches.csv,CSV,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
1938,Round of 16,Italy,2,1,Norway,Stade de Gerland,Lyon,France,1938-06-05,AET,68c112f6-1eb6-4ae7-af06-fa59972a3cbf,2026-07-26T12:10:06.423964,wc_all_matches.csv,CSV,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
1938,Quarter-final,Brazil,1,1,Czechoslovakia,Stade de la Meinau,Bordeaux,France,1938-06-12,Replay,0624c0da-e98b-4ab4-8b74-1547361229e9,2026-07-26T12:10:06.423964,wc_all_matches.csv,CSV,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
1938,Semi-final,Italy,2,1,Brazil,Stade de Colombes,Paris,France,1938-06-16,nan,831dc89c-ae78-44ba-8fbb-187bd84acf34,2026-07-26T12:10:06.423964,wc_all_matches.csv,CSV,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
1938,Semi-final,Hungary,5,1,Sweden,Stade Olympique,Paris,France,1938-06-16,nan,1fff816b-68be-445b-b51e-b311bb113868,2026-07-26T12:10:06.423964,wc_all_matches.csv,CSV,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
1938,3rd Place,Brazil,4,2,Sweden,Stade de Bordeaux,Bordeaux,France,1938-06-19,nan,767770f7-744b-49eb-b5fd-27eb1ec459a5,2026-07-26T12:10:06.423964,wc_all_matches.csv,CSV,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
1938,Final,Italy,4,2,Hungary,Stade de Colombes,Paris,France,1938-06-19,nan,4b6080b6-d725-463a-bb57-80745d9563e3,2026-07-26T12:10:06.423964,wc_all_matches.csv,CSV,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
1950,Group Stage,Brazil,4,0,Mexico,Estádio do Maracanã,Rio de Janeiro,Brazil,1950-06-24,nan,9c5b9549-6ebe-4d22-820d-a5a9a9014ff4,2026-07-26T12:10:06.423964,wc_all_matches.csv,CSV,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
1950,Group Stage,England,0,1,USA,Estádio Independência,Belo Horizonte,Brazil,1950-06-29,Greatest WC upset ever,5439f099-6535-4380-bd45-859f19eeea6e,2026-07-26T12:10:06.423964,wc_all_matches.csv,CSV,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
